Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
gavinmcinnes,0,0,0,Unavailable,2020-09-29,17:38:32,Panasonic,,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-J15L93Rt04D1.json,J1,RREEPPLLAACCEE/J1/5L/J15L93Rt04D1.mp4,RREEPPLLAACCEE/J1/5L/J15L93Rt04D1_small.mp4
Mark,0,0,0,Unavailable,2017-09-09,04:22:49,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-J1eGJw3BBciV.json,J1,RREEPPLLAACCEE/J1/eG/J1eGJw3BBciV.mp4,RREEPPLLAACCEE/J1/eG/J1eGJw3BBciV_small.mp4
markstout,0,0,0,Unavailable,2020-12-15,20:28:52,Unavailable,,Unavailable,Unavailable,markstout,markstout,markstout,meta-j1UoCPbLemS2.json,j1,RREEPPLLAACCEE/j1/Uo/j1UoCPbLemS2.mp4,RREEPPLLAACCEE/j1/Uo/j1UoCPbLemS2_small.mp4
user,0,0,0,Unavailable,2020-12-01,13:11:32,Unavailable,Unavailable,Unavailable,Unavailable,user,user,user,meta-j1X2fwojEeQY.json,j1,RREEPPLLAACCEE/j1/X2/j1X2fwojEeQY.mp4,RREEPPLLAACCEE/j1/X2/j1X2fwojEeQY_small.mp4
joe-p,0,0,0,Unavailable,2020-07-21,23:16:40,Unavailable,Unavailable,Unavailable,Unavailable,joe-p,joe-p,joe-p,meta-j1lSshi7nZVu.json,j1,RREEPPLLAACCEE/j1/lS/j1lSshi7nZVu.mp4,RREEPPLLAACCEE/j1/lS/j1lSshi7nZVu_small.mp4
setayesh,0,0,0,Unavailable,2021-01-08,08:36:04,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-j1qi03K1R8R2.json,j1,RREEPPLLAACCEE/j1/qi/j1qi03K1R8R2.mp4,RREEPPLLAACCEE/j1/qi/j1qi03K1R8R2_small.mp4
Unavailable,28.8417,81.8133,28.335,Above Sea Level,2020-11-10,02:02:21,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J10Upqsfck65.json,J1,RREEPPLLAACCEE/J1/0U/J10Upqsfck65.mp4,RREEPPLLAACCEE/J1/0U/J10Upqsfck65_small.mp4
Unavailable,39.9830,105.0823,1580.418,Above Sea Level,2020-08-22,02:39:34,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J10XROIQdTVz.json,J1,RREEPPLLAACCEE/J1/0X/J10XROIQdTVz.mp4,RREEPPLLAACCEE/J1/0X/J10XROIQdTVz_small.mp4
Unavailable,53.1979,4.1178,59.879,Above Sea Level,2020-12-05,16:51:08,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J19yX1FfWBlE.json,J1,RREEPPLLAACCEE/J1/9y/J19yX1FfWBlE.mp4,RREEPPLLAACCEE/J1/9y/J19yX1FfWBlE_small.mp4
Unavailable,29.9625,95.1788,12.094,Above Sea Level,2020-11-12,05:40:27,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1BGYcJZ5l3M.json,J1,RREEPPLLAACCEE/J1/BG/J1BGYcJZ5l3M.mp4,RREEPPLLAACCEE/J1/BG/J1BGYcJZ5l3M_small.mp4
Unavailable,39.6220,106.4856,2315.808,Above Sea Level,2020-08-04,15:54:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1O34u7j6TWc.json,J1,RREEPPLLAACCEE/J1/O3/J1O34u7j6TWc.mp4,RREEPPLLAACCEE/J1/O3/J1O34u7j6TWc_small.mp4
Unavailable,34.3966,119.5160,15.654,Above Sea Level,2020-11-01,01:37:33,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1P6J9J7a4LR.json,J1,RREEPPLLAACCEE/J1/P6/J1P6J9J7a4LR.mp4,RREEPPLLAACCEE/J1/P6/J1P6J9J7a4LR_small.mp4
Unavailable,32.9770,96.9737,142.951,Above Sea Level,2020-11-16,00:27:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1U4SUEYm5tt.json,J1,RREEPPLLAACCEE/J1/U4/J1U4SUEYm5tt.mp4,RREEPPLLAACCEE/J1/U4/J1U4SUEYm5tt_small.mp4
Unavailable,38.8959,77.0312,6.199,Above Sea Level,2020-12-12,17:14:24,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1WLCOrbnRK0.json,J1,RREEPPLLAACCEE/J1/WL/J1WLCOrbnRK0.mp4,RREEPPLLAACCEE/J1/WL/J1WLCOrbnRK0_small.mp4
Unavailable,40.0133,74.2219,22.387,Above Sea Level,2020-08-18,16:41:15,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1YWQpJQG1sN.json,J1,RREEPPLLAACCEE/J1/YW/J1YWQpJQG1sN.mp4,RREEPPLLAACCEE/J1/YW/J1YWQpJQG1sN_small.mp4
Unavailable,30.2185,95.4350,39.561,Above Sea Level,2020-11-20,13:55:08,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1aBDiYMOmNE.json,J1,RREEPPLLAACCEE/J1/aB/J1aBDiYMOmNE.mp4,RREEPPLLAACCEE/J1/aB/J1aBDiYMOmNE_small.mp4
Unavailable,30.5994,87.1798,16.548,Above Sea Level,2020-12-31,04:13:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1cEC0c2OAcR.json,J1,RREEPPLLAACCEE/J1/cE/J1cEC0c2OAcR.mp4,RREEPPLLAACCEE/J1/cE/J1cEC0c2OAcR_small.mp4
Unavailable,10.6945,61.5525,12.891,Above Sea Level,2020-11-26,10:50:32,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1eFeWTZt275.json,J1,RREEPPLLAACCEE/J1/eF/J1eFeWTZt275.mp4,RREEPPLLAACCEE/J1/eF/J1eFeWTZt275_small.mp4
Unavailable,40.2119,74.4434,73.332,Above Sea Level,2020-11-12,16:52:14,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1nw65rXO2O7.json,J1,RREEPPLLAACCEE/J1/nw/J1nw65rXO2O7.mp4,RREEPPLLAACCEE/J1/nw/J1nw65rXO2O7_small.mp4
Unavailable,32.6804,97.6540,267.4,Above Sea Level,2020-08-22,23:16:06,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1ouwgyze7Ny.json,J1,RREEPPLLAACCEE/J1/ou/J1ouwgyze7Ny.mp4,RREEPPLLAACCEE/J1/ou/J1ouwgyze7Ny_small.mp4
Unavailable,40.7271,73.8687,19.375,Above Sea Level,2020-11-25,23:57:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1rKplUgrB6p.json,J1,RREEPPLLAACCEE/J1/rK/J1rKplUgrB6p.mp4,RREEPPLLAACCEE/J1/rK/J1rKplUgrB6p_small.mp4
Unavailable,40.5848,124.1575,15.563,Above Sea Level,2020-11-10,08:14:11,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1sDOzZA5SkH.json,J1,RREEPPLLAACCEE/J1/sD/J1sDOzZA5SkH.mp4,RREEPPLLAACCEE/J1/sD/J1sDOzZA5SkH_small.mp4
Unavailable,39.7544,75.5691,0,Unavailable,2020-11-03,01:39:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1wxfC3D0ZW2.json,J1,RREEPPLLAACCEE/J1/wx/J1wxfC3D0ZW2.mp4,RREEPPLLAACCEE/J1/wx/J1wxfC3D0ZW2_small.mp4
Unavailable,39.3074,75.6900,24.941,Above Sea Level,2020-08-28,20:29:08,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J1ysWCtEt0q7.json,J1,RREEPPLLAACCEE/J1/ys/J1ysWCtEt0q7.mp4,RREEPPLLAACCEE/J1/ys/J1ysWCtEt0q7_small.mp4
Unavailable,40.8272,73.8155,6.311,Above Sea Level,2020-11-10,15:16:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j10keCjxsMqV.json,j1,RREEPPLLAACCEE/j1/0k/j10keCjxsMqV.mp4,RREEPPLLAACCEE/j1/0k/j10keCjxsMqV_small.mp4
Unavailable,38.1235,77.7233,110.13,Above Sea Level,2020-07-14,01:20:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j13LAVGJ6fY6.json,j1,RREEPPLLAACCEE/j1/3L/j13LAVGJ6fY6.mp4,RREEPPLLAACCEE/j1/3L/j13LAVGJ6fY6_small.mp4
Unavailable,42.5099,83.2375,214.44,Above Sea Level,2020-12-25,17:57:17,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j13NlZvRKiVa.json,j1,RREEPPLLAACCEE/j1/3N/j13NlZvRKiVa.mp4,RREEPPLLAACCEE/j1/3N/j13NlZvRKiVa_small.mp4
Unavailable,34.0719,118.4036,77.495,Above Sea Level,2020-10-11,00:45:58,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j13SoQa4JQxh.json,j1,RREEPPLLAACCEE/j1/3S/j13SoQa4JQxh.mp4,RREEPPLLAACCEE/j1/3S/j13SoQa4JQxh_small.mp4
Unavailable,29.4957,95.5031,17.441,Above Sea Level,2020-11-25,04:48:20,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1674f2PqZAm.json,j1,RREEPPLLAACCEE/j1/67/j1674f2PqZAm.mp4,RREEPPLLAACCEE/j1/67/j1674f2PqZAm_small.mp4
Unavailable,27.2081,80.2607,2.809,Above Sea Level,2020-06-07,07:30:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1DcwoLJ9sVI.json,j1,RREEPPLLAACCEE/j1/Dc/j1DcwoLJ9sVI.mp4,RREEPPLLAACCEE/j1/Dc/j1DcwoLJ9sVI_small.mp4
Unavailable,44.9412,93.1430,257.375,Above Sea Level,2020-11-14,19:33:45,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1Fi6LdZ7cih.json,j1,RREEPPLLAACCEE/j1/Fi/j1Fi6LdZ7cih.mp4,RREEPPLLAACCEE/j1/Fi/j1Fi6LdZ7cih_small.mp4
Unavailable,39.5569,110.3797,2014.622,Above Sea Level,2020-11-13,22:36:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1Q7ymiYSwVA.json,j1,RREEPPLLAACCEE/j1/Q7/j1Q7ymiYSwVA.mp4,RREEPPLLAACCEE/j1/Q7/j1Q7ymiYSwVA_small.mp4
Unavailable,40.4968,80.2202,0,Unavailable,2020-09-22,23:54:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1WinQfDUg4v.json,j1,RREEPPLLAACCEE/j1/Wi/j1WinQfDUg4v.mp4,RREEPPLLAACCEE/j1/Wi/j1WinQfDUg4v_small.mp4
Unavailable,51.6245,.0819,19.54,Above Sea Level,2020-05-26,05:48:48,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1aaxfDB5SjR.json,j1,RREEPPLLAACCEE/j1/aa/j1aaxfDB5SjR.mp4,RREEPPLLAACCEE/j1/aa/j1aaxfDB5SjR_small.mp4
Unavailable,40.6969,73.9064,20.69,Above Sea Level,2020-10-10,06:12:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1bplgfOjIFe.json,j1,RREEPPLLAACCEE/j1/bp/j1bplgfOjIFe.mp4,RREEPPLLAACCEE/j1/bp/j1bplgfOjIFe_small.mp4
Unavailable,29.6777,95.4099,0,Unavailable,2020-11-01,17:00:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1ckjizfygKQ.json,j1,RREEPPLLAACCEE/j1/ck/j1ckjizfygKQ.mp4,RREEPPLLAACCEE/j1/ck/j1ckjizfygKQ_small.mp4
Unavailable,34.4783,117.3487,959.961,Above Sea Level,2020-11-01,02:32:34,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1coPBzA4JcG.json,j1,RREEPPLLAACCEE/j1/co/j1coPBzA4JcG.mp4,RREEPPLLAACCEE/j1/co/j1coPBzA4JcG_small.mp4
Unavailable,29.2678,81.1328,2.782,Below Sea Level,2020-11-09,15:38:09,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1gRtW2JSy0h.json,j1,RREEPPLLAACCEE/j1/gR/j1gRtW2JSy0h.mp4,RREEPPLLAACCEE/j1/gR/j1gRtW2JSy0h_small.mp4
Unavailable,40.6028,74.3149,27.641,Above Sea Level,2020-09-02,21:07:46,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1gq7kit1oUa.json,j1,RREEPPLLAACCEE/j1/gq/j1gq7kit1oUa.mp4,RREEPPLLAACCEE/j1/gq/j1gq7kit1oUa_small.mp4
Unavailable,33.8368,84.3688,294.318,Above Sea Level,2020-09-29,14:09:40,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1oLIW1McoPT.json,j1,RREEPPLLAACCEE/j1/oL/j1oLIW1McoPT.mp4,RREEPPLLAACCEE/j1/oL/j1oLIW1McoPT_small.mp4
Unavailable,38.9826,84.4967,248.166,Above Sea Level,2020-10-31,02:19:49,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1qWtgQbNU5I.json,j1,RREEPPLLAACCEE/j1/qW/j1qWtgQbNU5I.mp4,RREEPPLLAACCEE/j1/qW/j1qWtgQbNU5I_small.mp4
Unavailable,43.9804,70.2963,0,Unavailable,2020-12-04,20:40:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1r9Z1NsboQK.json,j1,RREEPPLLAACCEE/j1/r9/j1r9Z1NsboQK.mp4,RREEPPLLAACCEE/j1/r9/j1r9Z1NsboQK_small.mp4
Unavailable,46.6939,92.0310,189.43,Above Sea Level,2020-09-28,22:01:25,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1tAYYwFgaiJ.json,j1,RREEPPLLAACCEE/j1/tA/j1tAYYwFgaiJ.mp4,RREEPPLLAACCEE/j1/tA/j1tAYYwFgaiJ_small.mp4
Unavailable,36.7735,76.0754,0.36,Above Sea Level,2020-05-31,19:34:42,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-j1zLzQ67BiWF.json,j1,RREEPPLLAACCEE/j1/zL/j1zLzQ67BiWF.mp4,RREEPPLLAACCEE/j1/zL/j1zLzQ67BiWF_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-J101NCd6pmSS.json,J1,RREEPPLLAACCEE/J1/01/J101NCd6pmSS.mp4,RREEPPLLAACCEE/J1/01/J101NCd6pmSS_small.mp4
