Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
5STARLINE,0,0,0,Unavailable,2020-11-03,05:38:18,Unavailable,Unavailable,Unavailable,Unavailable,5STARLINE,5STARLINE,5STARLINE,meta-RmQ3qlbehB6e.json,Rm,RREEPPLLAACCEE/Rm/Q3/RmQ3qlbehB6e.mp4,RREEPPLLAACCEE/Rm/Q3/RmQ3qlbehB6e_small.mp4
jordi,0,0,0,Unavailable,2020-07-23,10:41:57,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-rmQiKsnSWzNm.json,rm,RREEPPLLAACCEE/rm/Qi/rmQiKsnSWzNm.mp4,RREEPPLLAACCEE/rm/Qi/rmQiKsnSWzNm_small.mp4
ascheidler,0,0,0,Unavailable,2020-06-30,14:03:36,Unavailable,Unavailable,Unavailable,Unavailable,ascheidler,ascheidler,ascheidler,meta-rmXEhRzFmMBv.json,rm,RREEPPLLAACCEE/rm/XE/rmXEhRzFmMBv.mp4,RREEPPLLAACCEE/rm/XE/rmXEhRzFmMBv_small.mp4
Unavailable,36.4483,94.2711,0,Unavailable,2020-12-06,00:05:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RM58H8nkB60u.json,RM,RREEPPLLAACCEE/RM/58/RM58H8nkB60u.mp4,RREEPPLLAACCEE/RM/58/RM58H8nkB60u_small.mp4
Unavailable,40.3196,79.9065,285.256,Above Sea Level,2020-12-23,00:27:43,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMCLFn8gDqCQ.json,RM,RREEPPLLAACCEE/RM/CL/RMCLFn8gDqCQ.mp4,RREEPPLLAACCEE/RM/CL/RMCLFn8gDqCQ_small.mp4
Unavailable,34.0724,84.3022,337.298,Above Sea Level,2020-12-02,19:31:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMF1GvdyAQXN.json,RM,RREEPPLLAACCEE/RM/F1/RMF1GvdyAQXN.mp4,RREEPPLLAACCEE/RM/F1/RMF1GvdyAQXN_small.mp4
Unavailable,38.7939,83.5483,292.286,Above Sea Level,2020-09-18,19:14:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMF4cd4kLvET.json,RM,RREEPPLLAACCEE/RM/F4/RMF4cd4kLvET.mp4,RREEPPLLAACCEE/RM/F4/RMF4cd4kLvET_small.mp4
Unavailable,32.7771,96.7982,142.314,Above Sea Level,2020-11-14,20:18:26,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMIXnWOU5kXU.json,RM,RREEPPLLAACCEE/RM/IX/RMIXnWOU5kXU.mp4,RREEPPLLAACCEE/RM/IX/RMIXnWOU5kXU_small.mp4
Unavailable,26.1993,98.2895,0,Unavailable,2020-11-08,20:43:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMPjir0gke9t.json,RM,RREEPPLLAACCEE/RM/Pj/RMPjir0gke9t.mp4,RREEPPLLAACCEE/RM/Pj/RMPjir0gke9t_small.mp4
Unavailable,33.4906,117.6682,22.833,Above Sea Level,2020-07-08,02:19:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RMYTLTQkChIz.json,RM,RREEPPLLAACCEE/RM/YT/RMYTLTQkChIz.mp4,RREEPPLLAACCEE/RM/YT/RMYTLTQkChIz_small.mp4
