Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mateussposito,0,0,0,Unavailable,2020-08-19,19:54:33,Unavailable,Unavailable,Unavailable,Unavailable,mateussposito,mateussposito,mateussposito,meta-3CgKSD4dXiRL.json,3C,RREEPPLLAACCEE/3C/gK/3CgKSD4dXiRL.mp4,RREEPPLLAACCEE/3C/gK/3CgKSD4dXiRL_small.mp4
HP,0,0,0,Unavailable,2020-11-22,22:11:29,Panasonic,,,Unavailable,HP,HP,HP,meta-3c21hX8tyFba.json,3c,RREEPPLLAACCEE/3c/21/3c21hX8tyFba.mp4,RREEPPLLAACCEE/3c/21/3c21hX8tyFba_small.mp4
AIZAWA tetsuya,0,0,0,Unavailable,2021-01-05,08:34:31,Unavailable,Unavailable,Unavailable,Unavailable,AIZAWA tetsuya,AIZAWA tetsuya,AIZAWA tetsuya,meta-3c8SNi020Ijz.json,3c,RREEPPLLAACCEE/3c/8S/3c8SNi020Ijz.mp4,RREEPPLLAACCEE/3c/8S/3c8SNi020Ijz_small.mp4
8086,0,0,0,Unavailable,2020-12-26,09:44:37,Unavailable,Unavailable,Unavailable,Unavailable,8086,8086,8086,meta-3cmFsefALTvc.json,3c,RREEPPLLAACCEE/3c/mF/3cmFsefALTvc.mp4,RREEPPLLAACCEE/3c/mF/3cmFsefALTvc_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-17,06:29:47,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-3cthY4Kz6C0Q.json,3c,RREEPPLLAACCEE/3c/th/3cthY4Kz6C0Q.mp4,RREEPPLLAACCEE/3c/th/3cthY4Kz6C0Q_small.mp4
Unavailable,47.7166,122.2859,0,Unavailable,2019-11-06,23:51:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3C1FD10vteIr.json,3C,RREEPPLLAACCEE/3C/1F/3C1FD10vteIr.mp4,RREEPPLLAACCEE/3C/1F/3C1FD10vteIr_small.mp4
Unavailable,33.6584,114.1672,300.871,Above Sea Level,2020-12-30,01:03:18,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3C3s4eN3v22S.json,3C,RREEPPLLAACCEE/3C/3s/3C3s4eN3v22S.mp4,RREEPPLLAACCEE/3C/3s/3C3s4eN3v22S_small.mp4
Unavailable,28.4630,82.3676,29.499,Above Sea Level,2020-11-16,13:27:13,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3C5eN9nrpUZu.json,3C,RREEPPLLAACCEE/3C/5e/3C5eN9nrpUZu.mp4,RREEPPLLAACCEE/3C/5e/3C5eN9nrpUZu_small.mp4
Unavailable,33.8138,117.5450,386.469,Above Sea Level,2020-08-16,00:08:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3C6hrzMhkW52.json,3C,RREEPPLLAACCEE/3C/6h/3C6hrzMhkW52.mp4,RREEPPLLAACCEE/3C/6h/3C6hrzMhkW52_small.mp4
Unavailable,44.7010,73.4521,40.672,Above Sea Level,2020-12-03,03:15:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3C7VNARLKfEs.json,3C,RREEPPLLAACCEE/3C/7V/3C7VNARLKfEs.mp4,RREEPPLLAACCEE/3C/7V/3C7VNARLKfEs_small.mp4
