Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
imac6475,0,0,0,Unavailable,2020-08-05,20:46:17,Unavailable,Unavailable,Unavailable,Unavailable,imac6475,imac6475,imac6475,meta-b3MM1MoyQKWk.json,b3,RREEPPLLAACCEE/b3/MM/b3MM1MoyQKWk.mp4,RREEPPLLAACCEE/b3/MM/b3MM1MoyQKWk_small.mp4
kennethkohmbp4,0,0,0,Unavailable,2019-02-24,14:11:38,Unavailable,Unavailable,Unavailable,Unavailable,kennethkohmbp4,kennethkohmbp4,kennethkohmbp4,meta-b3n947JPBcX8.json,b3,RREEPPLLAACCEE/b3/n9/b3n947JPBcX8.mp4,RREEPPLLAACCEE/b3/n9/b3n947JPBcX8_small.mp4
Unavailable,34.0686,84.3091,337.196,Above Sea Level,2020-12-02,19:27:42,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B36RPOyoSu1t.json,B3,RREEPPLLAACCEE/B3/6R/B36RPOyoSu1t.mp4,RREEPPLLAACCEE/B3/6R/B36RPOyoSu1t_small.mp4
Unavailable,33.7849,116.2876,34.237,Above Sea Level,2020-10-26,00:10:15,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3HHuH940S3V.json,B3,RREEPPLLAACCEE/B3/HH/B3HHuH940S3V.mp4,RREEPPLLAACCEE/B3/HH/B3HHuH940S3V_small.mp4
Unavailable,40.7151,73.1851,4.55,Above Sea Level,2020-11-05,00:21:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3Hnwk6428Xz.json,B3,RREEPPLLAACCEE/B3/Hn/B3Hnwk6428Xz.mp4,RREEPPLLAACCEE/B3/Hn/B3Hnwk6428Xz_small.mp4
Unavailable,32.9816,96.6730,182.368,Above Sea Level,2020-09-03,00:19:33,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3IZUiR6HRhP.json,B3,RREEPPLLAACCEE/B3/IZ/B3IZUiR6HRhP.mp4,RREEPPLLAACCEE/B3/IZ/B3IZUiR6HRhP_small.mp4
Unavailable,31.9442,98.1177,390.721,Above Sea Level,2020-11-21,23:36:31,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3KnMiGS1A4F.json,B3,RREEPPLLAACCEE/B3/Kn/B3KnMiGS1A4F.mp4,RREEPPLLAACCEE/B3/Kn/B3KnMiGS1A4F_small.mp4
Unavailable,33.1822,111.5770,454.469,Above Sea Level,2020-12-23,21:23:14,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3VnAwbT7pak.json,B3,RREEPPLLAACCEE/B3/Vn/B3VnAwbT7pak.mp4,RREEPPLLAACCEE/B3/Vn/B3VnAwbT7pak_small.mp4
Unavailable,36.1692,115.1409,608.889,Above Sea Level,2019-04-14,01:40:03,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3ZLM4SAI7RT.json,B3,RREEPPLLAACCEE/B3/ZL/B3ZLM4SAI7RT.mp4,RREEPPLLAACCEE/B3/ZL/B3ZLM4SAI7RT_small.mp4
Unavailable,26.1192,80.1384,1.029,Above Sea Level,2020-12-27,00:07:45,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3ajjfEafY6v.json,B3,RREEPPLLAACCEE/B3/aj/B3ajjfEafY6v.mp4,RREEPPLLAACCEE/B3/aj/B3ajjfEafY6v_small.mp4
Unavailable,27.5317,82.5803,4.13,Above Sea Level,2020-12-05,03:06:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3lTidt6aLM7.json,B3,RREEPPLLAACCEE/B3/lT/B3lTidt6aLM7.mp4,RREEPPLLAACCEE/B3/lT/B3lTidt6aLM7_small.mp4
Unavailable,35.8513,86.8871,236.956,Above Sea Level,2020-11-18,23:14:36,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3qYERVBdav5.json,B3,RREEPPLLAACCEE/B3/qY/B3qYERVBdav5.mp4,RREEPPLLAACCEE/B3/qY/B3qYERVBdav5_small.mp4
Unavailable,39.0283,77.2152,117.422,Above Sea Level,2020-12-26,21:29:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3vwfJ0FcN4P.json,B3,RREEPPLLAACCEE/B3/vw/B3vwfJ0FcN4P.mp4,RREEPPLLAACCEE/B3/vw/B3vwfJ0FcN4P_small.mp4
Unavailable,38.7239,90.2941,176.709,Above Sea Level,2020-11-23,14:00:59,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-B3xkOeBpukl5.json,B3,RREEPPLLAACCEE/B3/xk/B3xkOeBpukl5.mp4,RREEPPLLAACCEE/B3/xk/B3xkOeBpukl5_small.mp4
Unavailable,26.3116,80.2538,6.261,Above Sea Level,2020-11-26,16:27:04,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b301orJ1XDKi.json,b3,RREEPPLLAACCEE/b3/01/b301orJ1XDKi.mp4,RREEPPLLAACCEE/b3/01/b301orJ1XDKi_small.mp4
Unavailable,38.8939,94.5049,306.123,Above Sea Level,2020-11-20,10:12:15,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b322636ZT18P.json,b3,RREEPPLLAACCEE/b3/22/b322636ZT18P.mp4,RREEPPLLAACCEE/b3/22/b322636ZT18P_small.mp4
Unavailable,42.9744,85.6606,210.921,Above Sea Level,2020-12-27,07:10:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b3Cq79YujNZI.json,b3,RREEPPLLAACCEE/b3/Cq/b3Cq79YujNZI.mp4,RREEPPLLAACCEE/b3/Cq/b3Cq79YujNZI_small.mp4
Unavailable,37.9752,122.5287,29.14,Above Sea Level,2020-10-15,23:04:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-b3GHM4Gu1iHj.json,b3,RREEPPLLAACCEE/b3/GH/b3GHM4Gu1iHj.mp4,RREEPPLLAACCEE/b3/GH/b3GHM4Gu1iHj_small.mp4
