Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mikemerkt,0,0,0,Unavailable,2020-08-21,19:40:32,Unavailable,Unavailable,Unavailable,Unavailable,mikemerkt,mikemerkt,mikemerkt,meta-Dwt5CvGpkR7n.json,Dw,RREEPPLLAACCEE/Dw/t5/Dwt5CvGpkR7n.mp4,RREEPPLLAACCEE/Dw/t5/Dwt5CvGpkR7n_small.mp4
Zoaltann,0,0,0,Unavailable,2020-10-24,13:41:26,Unavailable,Unavailable,Unavailable,Unavailable,Zoaltann,Zoaltann,Zoaltann,meta-dW1Y6rOUAnHA.json,dW,RREEPPLLAACCEE/dW/1Y/dW1Y6rOUAnHA.mp4,RREEPPLLAACCEE/dW/1Y/dW1Y6rOUAnHA_small.mp4
beenj,0,0,0,Unavailable,2020-11-30,03:45:37,Unavailable,Unavailable,Unavailable,Unavailable,beenj,beenj,beenj,meta-dWUtHskOqwFG.json,dW,RREEPPLLAACCEE/dW/Ut/dWUtHskOqwFG.mp4,RREEPPLLAACCEE/dW/Ut/dWUtHskOqwFG_small.mp4
macbook,0,0,0,Unavailable,2020-09-05,00:07:34,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-dWugrde56wbG.json,dW,RREEPPLLAACCEE/dW/ug/dWugrde56wbG.mp4,RREEPPLLAACCEE/dW/ug/dWugrde56wbG_small.mp4
americansforlimitedgovernment,0,0,0,Unavailable,2020-11-25,19:07:07,Unavailable,Unavailable,Unavailable,Unavailable,americansforlimitedgovernment,americansforlimitedgovernment,americansforlimitedgovernment,meta-dw7i5btBNZCs.json,dw,RREEPPLLAACCEE/dw/7i/dw7i5btBNZCs.mp4,RREEPPLLAACCEE/dw/7i/dw7i5btBNZCs_small.mp4
BlakeShipman,0,0,0,Unavailable,2020-04-08,21:01:38,Unavailable,Unavailable,Unavailable,Unavailable,BlakeShipman,BlakeShipman,BlakeShipman,meta-dwUzdCX1dxYI.json,dw,RREEPPLLAACCEE/dw/Uz/dwUzdCX1dxYI.mp4,RREEPPLLAACCEE/dw/Uz/dwUzdCX1dxYI_small.mp4
Unavailable,10.4459,66.8301,1114.84,Above Sea Level,2020-11-21,12:04:46,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DWCm91r4kOYi.json,DW,RREEPPLLAACCEE/DW/Cm/DWCm91r4kOYi.mp4,RREEPPLLAACCEE/DW/Cm/DWCm91r4kOYi_small.mp4
Unavailable,32.8384,97.5196,234.419,Above Sea Level,2020-11-17,01:13:53,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DWE53JL5LjSa.json,DW,RREEPPLLAACCEE/DW/E5/DWE53JL5LjSa.mp4,RREEPPLLAACCEE/DW/E5/DWE53JL5LjSa_small.mp4
Unavailable,38.8899,77.0099,25.369,Above Sea Level,2021-01-06,19:46:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DWGQ3kX1t1bF.json,DW,RREEPPLLAACCEE/DW/GQ/DWGQ3kX1t1bF.mp4,RREEPPLLAACCEE/DW/GQ/DWGQ3kX1t1bF_small.mp4
Unavailable,42.5755,114.4587,1128.403,Above Sea Level,2020-12-29,16:57:26,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DWQWxztfwbiy.json,DW,RREEPPLLAACCEE/DW/QW/DWQWxztfwbiy.mp4,RREEPPLLAACCEE/DW/QW/DWQWxztfwbiy_small.mp4
