Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
David,0,0,0,Unavailable,2020-11-11,22:32:19,Apple,,Unavailable,Unavailable,kenmorepro,danielpeters,danielpeters,meta-s5WZ026dtB2D.json,s5,RREEPPLLAACCEE/s5/WZ/s5WZ026dtB2D.mp4,RREEPPLLAACCEE/s5/WZ/s5WZ026dtB2D_small.mp4
Unavailable,33.5048,101.9312,0,Unavailable,2020-11-12,00:22:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S51ezQTHmqDH.json,S5,RREEPPLLAACCEE/S5/1e/S51ezQTHmqDH.mp4,RREEPPLLAACCEE/S5/1e/S51ezQTHmqDH_small.mp4
Unavailable,37.8077,145.0391,74.472,Above Sea Level,2020-11-19,23:35:33,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S52RHuzfTrr1.json,S5,RREEPPLLAACCEE/S5/2R/S52RHuzfTrr1.mp4,RREEPPLLAACCEE/S5/2R/S52RHuzfTrr1_small.mp4
Unavailable,41.6064,87.8500,0,Unavailable,2021-01-09,21:07:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S53TX4FmiKKH.json,S5,RREEPPLLAACCEE/S5/3T/S53TX4FmiKKH.mp4,RREEPPLLAACCEE/S5/3T/S53TX4FmiKKH_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-08-31,04:25:11,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S54rSac6pZlg.json,S5,RREEPPLLAACCEE/S5/4r/S54rSac6pZlg.mp4,RREEPPLLAACCEE/S5/4r/S54rSac6pZlg_small.mp4
Unavailable,41.7396,87.6026,179.769,Above Sea Level,2020-03-16,22:45:53,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S5DjKaHRdZeC.json,S5,RREEPPLLAACCEE/S5/Dj/S5DjKaHRdZeC.mp4,RREEPPLLAACCEE/S5/Dj/S5DjKaHRdZeC_small.mp4
Unavailable,28.8261,82.2784,16.249,Above Sea Level,2020-11-12,13:10:56,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S5GDkljb4WMD.json,S5,RREEPPLLAACCEE/S5/GD/S5GDkljb4WMD.mp4,RREEPPLLAACCEE/S5/GD/S5GDkljb4WMD_small.mp4
Unavailable,25.9695,80.1872,3.586,Above Sea Level,2020-11-05,20:51:08,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S5GeVEgGbIq9.json,S5,RREEPPLLAACCEE/S5/Ge/S5GeVEgGbIq9.mp4,RREEPPLLAACCEE/S5/Ge/S5GeVEgGbIq9_small.mp4
Unavailable,41.8896,71.3325,0,Unavailable,2020-11-03,14:15:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S5HCgSW0b6Vs.json,S5,RREEPPLLAACCEE/S5/HC/S5HCgSW0b6Vs.mp4,RREEPPLLAACCEE/S5/HC/S5HCgSW0b6Vs_small.mp4
Unavailable,34.1437,114.2930,127.71,Above Sea Level,2020-12-01,01:30:14,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S5OKJt63eqRA.json,S5,RREEPPLLAACCEE/S5/OK/S5OKJt63eqRA.mp4,RREEPPLLAACCEE/S5/OK/S5OKJt63eqRA_small.mp4
