Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
edmundo.rubio,0,0,0,Unavailable,2019-07-18,16:36:40,Unavailable,Unavailable,Unavailable,Unavailable,edmundo.rubio,edmundo.rubio,edmundo.rubio,meta-WR1Qf0umPuII.json,WR,RREEPPLLAACCEE/WR/1Q/WR1Qf0umPuII.mp4,RREEPPLLAACCEE/WR/1Q/WR1Qf0umPuII_small.mp4
Admin,0,0,0,Unavailable,2021-01-07,00:20:09,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-WR4ZolFcUvMU.json,WR,RREEPPLLAACCEE/WR/4Z/WR4ZolFcUvMU.mp4,RREEPPLLAACCEE/WR/4Z/WR4ZolFcUvMU_small.mp4
irenegabuardi,0,0,0,Unavailable,2020-12-11,21:13:11,Unavailable,Unavailable,Unavailable,Unavailable,irenegabuardi,irenegabuardi,irenegabuardi,meta-WRAhKuoFoKU2.json,WR,RREEPPLLAACCEE/WR/Ah/WRAhKuoFoKU2.mp4,RREEPPLLAACCEE/WR/Ah/WRAhKuoFoKU2_small.mp4
RTX-1,0,0,0,Unavailable,2020-12-31,01:21:02,Unavailable,Unavailable,Unavailable,Unavailable,RTX-1,RTX-1,RTX-1,meta-WRDGZq0kVU3a.json,WR,RREEPPLLAACCEE/WR/DG/WRDGZq0kVU3a.mp4,RREEPPLLAACCEE/WR/DG/WRDGZq0kVU3a_small.mp4
Unavailable,34.1897,86.1833,324.393,Above Sea Level,2020-07-15,13:05:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WR5nqBm1WpLx.json,WR,RREEPPLLAACCEE/WR/5n/WR5nqBm1WpLx.mp4,RREEPPLLAACCEE/WR/5n/WR5nqBm1WpLx_small.mp4
Unavailable,43.6877,79.3992,144.439,Above Sea Level,2020-11-17,06:07:00,Apple,iPad Pro (11-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WR85Bcxq6iWd.json,WR,RREEPPLLAACCEE/WR/85/WR85Bcxq6iWd.mp4,RREEPPLLAACCEE/WR/85/WR85Bcxq6iWd_small.mp4
Unavailable,45.5794,94.2159,0,Unavailable,2020-11-10,16:49:03,Apple,iPhone12_1,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRDEg9C14u42.json,WR,RREEPPLLAACCEE/WR/DE/WRDEg9C14u42.mp4,RREEPPLLAACCEE/WR/DE/WRDEg9C14u42_small.mp4
Unavailable,35.3022,80.8032,247.038,Above Sea Level,2020-11-11,00:10:25,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRECdjMOX5PM.json,WR,RREEPPLLAACCEE/WR/EC/WRECdjMOX5PM.mp4,RREEPPLLAACCEE/WR/EC/WRECdjMOX5PM_small.mp4
Unavailable,35.5554,78.7962,93,Above Sea Level,2020-11-20,18:58:13,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRGIeSR0NlAW.json,WR,RREEPPLLAACCEE/WR/GI/WRGIeSR0NlAW.mp4,RREEPPLLAACCEE/WR/GI/WRGIeSR0NlAW_small.mp4
Unavailable,22.9766,109.7689,10.3,Above Sea Level,2021-01-01,08:17:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRGbWfeNfWxf.json,WR,RREEPPLLAACCEE/WR/Gb/WRGbWfeNfWxf.mp4,RREEPPLLAACCEE/WR/Gb/WRGbWfeNfWxf_small.mp4
Unavailable,29.9966,95.5781,42.273,Above Sea Level,2020-11-08,17:30:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRKAYG5H8RYm.json,WR,RREEPPLLAACCEE/WR/KA/WRKAYG5H8RYm.mp4,RREEPPLLAACCEE/WR/KA/WRKAYG5H8RYm_small.mp4
Unavailable,51.5082,.1280,0,Unavailable,2020-09-26,12:11:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRO7R0EMDTFp.json,WR,RREEPPLLAACCEE/WR/O7/WRO7R0EMDTFp.mp4,RREEPPLLAACCEE/WR/O7/WRO7R0EMDTFp_small.mp4
Unavailable,32.5407,89.9071,89.451,Above Sea Level,2020-06-11,12:08:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WROpYubVCWYF.json,WR,RREEPPLLAACCEE/WR/Op/WROpYubVCWYF.mp4,RREEPPLLAACCEE/WR/Op/WROpYubVCWYF_small.mp4
Unavailable,26.0427,81.6692,2.355,Above Sea Level,2020-11-23,14:52:10,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRUcXN4M2WyI.json,WR,RREEPPLLAACCEE/WR/Uc/WRUcXN4M2WyI.mp4,RREEPPLLAACCEE/WR/Uc/WRUcXN4M2WyI_small.mp4
Unavailable,30.1115,98.1854,381.963,Above Sea Level,2020-11-08,15:33:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRZ1HGlzHK25.json,WR,RREEPPLLAACCEE/WR/Z1/WRZ1HGlzHK25.mp4,RREEPPLLAACCEE/WR/Z1/WRZ1HGlzHK25_small.mp4
Unavailable,33.7491,84.3891,318.587,Above Sea Level,2020-11-08,22:40:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WRd7UdnM5iG5.json,WR,RREEPPLLAACCEE/WR/d7/WRd7UdnM5iG5.mp4,RREEPPLLAACCEE/WR/d7/WRd7UdnM5iG5_small.mp4
