Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
zhangxiaorui,0,0,0,Unavailable,2020-11-16,06:06:19,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-QWHkeWsb89I2.json,QW,RREEPPLLAACCEE/QW/Hk/QWHkeWsb89I2.mp4,RREEPPLLAACCEE/QW/Hk/QWHkeWsb89I2_small.mp4
jessicaweiner,0,0,0,Unavailable,2020-11-17,18:06:55,Unavailable,Unavailable,Unavailable,Unavailable,jessicaweiner,jessicaweiner,jessicaweiner,meta-QWs5BN6B2LLe.json,QW,RREEPPLLAACCEE/QW/s5/QWs5BN6B2LLe.mp4,RREEPPLLAACCEE/QW/s5/QWs5BN6B2LLe_small.mp4
jotac,0,0,0,Unavailable,2020-08-14,11:24:05,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-QWz03LSBlNLD.json,QW,RREEPPLLAACCEE/QW/z0/QWz03LSBlNLD.mp4,RREEPPLLAACCEE/QW/z0/QWz03LSBlNLD_small.mp4
sq,0,0,0,Unavailable,2019-01-25,11:14:51,Unavailable,Unavailable,Unavailable,Unavailable,sq,sq,sq,meta-QwGXzbvCixgL.json,Qw,RREEPPLLAACCEE/Qw/GX/QwGXzbvCixgL.mp4,RREEPPLLAACCEE/Qw/GX/QwGXzbvCixgL_small.mp4
Mark,0,0,0,Unavailable,2017-10-14,05:12:20,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-QwxD5uQfODM6.json,Qw,RREEPPLLAACCEE/Qw/xD/QwxD5uQfODM6.mp4,RREEPPLLAACCEE/Qw/xD/QwxD5uQfODM6_small.mp4
hernandez,0,0,0,Unavailable,2019-11-05,18:40:02,Unavailable,,Unavailable,Unavailable,hernandez,hernandez,hernandez,meta-qwlTHlJF4b6c.json,qw,RREEPPLLAACCEE/qw/lT/qwlTHlJF4b6c.mp4,RREEPPLLAACCEE/qw/lT/qwlTHlJF4b6c_small.mp4
theci_000,0,0,0,Unavailable,2020-11-18,23:56:11,Unavailable,,Unavailable,Unavailable,michaeljames,michaeljames,michaeljames,meta-qwqskilHpsmf.json,qw,RREEPPLLAACCEE/qw/qs/qwqskilHpsmf.mp4,RREEPPLLAACCEE/qw/qs/qwqskilHpsmf_small.mp4
Unavailable,29.7385,95.4926,20.336,Above Sea Level,2020-11-09,13:50:24,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QW2BKtQsGgPX.json,QW,RREEPPLLAACCEE/QW/2B/QW2BKtQsGgPX.mp4,RREEPPLLAACCEE/QW/2B/QW2BKtQsGgPX_small.mp4
Unavailable,38.7239,90.2941,177.349,Above Sea Level,2020-12-19,04:41:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QW2x013xcRQz.json,QW,RREEPPLLAACCEE/QW/2x/QW2x013xcRQz.mp4,RREEPPLLAACCEE/QW/2x/QW2x013xcRQz_small.mp4
Unavailable,34.4752,77.5620,12.182,Above Sea Level,2020-11-17,11:54:54,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QW3EWyX9aytU.json,QW,RREEPPLLAACCEE/QW/3E/QW3EWyX9aytU.mp4,RREEPPLLAACCEE/QW/3E/QW3EWyX9aytU_small.mp4
Unavailable,39.6512,78.7638,186.168,Above Sea Level,2020-12-12,21:12:52,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QW45FW8mcz4b.json,QW,RREEPPLLAACCEE/QW/45/QW45FW8mcz4b.mp4,RREEPPLLAACCEE/QW/45/QW45FW8mcz4b_small.mp4
Unavailable,38.8962,77.0474,19.238,Above Sea Level,2021-01-07,14:53:19,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QW7rTDjQrqW5.json,QW,RREEPPLLAACCEE/QW/7r/QW7rTDjQrqW5.mp4,RREEPPLLAACCEE/QW/7r/QW7rTDjQrqW5_small.mp4
Unavailable,31.7857,35.2047,0,Unavailable,2020-11-13,08:53:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWAAuabD96TP.json,QW,RREEPPLLAACCEE/QW/AA/QWAAuabD96TP.mp4,RREEPPLLAACCEE/QW/AA/QWAAuabD96TP_small.mp4
Unavailable,27.3638,82.3993,15.531,Above Sea Level,2020-09-24,15:33:52,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWG52K3sH1dZ.json,QW,RREEPPLLAACCEE/QW/G5/QWG52K3sH1dZ.mp4,RREEPPLLAACCEE/QW/G5/QWG52K3sH1dZ_small.mp4
Unavailable,36.1001,83.7427,299.78,Above Sea Level,2020-03-31,12:53:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWITgXVvHPzV.json,QW,RREEPPLLAACCEE/QW/IT/QWITgXVvHPzV.mp4,RREEPPLLAACCEE/QW/IT/QWITgXVvHPzV_small.mp4
Unavailable,35.7334,81.6716,349.56,Above Sea Level,2020-04-20,14:18:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWLyOdiSbHkS.json,QW,RREEPPLLAACCEE/QW/Ly/QWLyOdiSbHkS.mp4,RREEPPLLAACCEE/QW/Ly/QWLyOdiSbHkS_small.mp4
Unavailable,45.1154,93.4020,271.054,Above Sea Level,2020-12-29,20:32:03,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWPYfkgG3GYu.json,QW,RREEPPLLAACCEE/QW/PY/QWPYfkgG3GYu.mp4,RREEPPLLAACCEE/QW/PY/QWPYfkgG3GYu_small.mp4
Unavailable,39.9353,83.0810,249.867,Above Sea Level,2021-01-03,00:54:56,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QWRbEEnnrsj9.json,QW,RREEPPLLAACCEE/QW/Rb/QWRbEEnnrsj9.mp4,RREEPPLLAACCEE/QW/Rb/QWRbEEnnrsj9_small.mp4
