Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Nutrimais,0,0,0,Unavailable,2020-10-29,11:54:22,Unavailable,Unavailable,Unavailable,Unavailable,Nutrimais,Nutrimais,Nutrimais,meta-UYPjhXxmibw5.json,UY,RREEPPLLAACCEE/UY/Pj/UYPjhXxmibw5.mp4,RREEPPLLAACCEE/UY/Pj/UYPjhXxmibw5_small.mp4
daliahyppolite,0,0,0,Unavailable,2020-12-03,23:37:00,Unavailable,Unavailable,Unavailable,Unavailable,daliahyppolite,daliahyppolite,daliahyppolite,meta-uYAjWBgNDmvp.json,uY,RREEPPLLAACCEE/uY/Aj/uYAjWBgNDmvp.mp4,RREEPPLLAACCEE/uY/Aj/uYAjWBgNDmvp_small.mp4
clydelucas,0,0,0,Unavailable,2020-09-13,23:33:39,Unavailable,Unavailable,Unavailable,Unavailable,clydelucas,clydelucas,clydelucas,meta-uYJBsyHWV8dP.json,uY,RREEPPLLAACCEE/uY/JB/uYJBsyHWV8dP.mp4,RREEPPLLAACCEE/uY/JB/uYJBsyHWV8dP_small.mp4
nicole,0,0,0,Unavailable,2020-11-13,18:52:08,Unavailable,Unavailable,Unavailable,Unavailable,nicole,nicole,nicole,meta-uYlGc7LCszo8.json,uY,RREEPPLLAACCEE/uY/lG/uYlGc7LCszo8.mp4,RREEPPLLAACCEE/uY/lG/uYlGc7LCszo8_small.mp4
rees,0,0,0,Unavailable,2020-10-11,16:11:45,Unavailable,Unavailable,Unavailable,Unavailable,Rwhalliday,Rwhalliday,Rwhalliday,meta-uyA3SKGhYXoX.json,uy,RREEPPLLAACCEE/uy/A3/uyA3SKGhYXoX.mp4,RREEPPLLAACCEE/uy/A3/uyA3SKGhYXoX_small.mp4
Video Team,0,0,0,Unavailable,2020-12-23,18:07:17,Unavailable,Unavailable,Unavailable,Unavailable,Video Team,Video Team,Video Team,meta-uye5DTW37DiA.json,uy,RREEPPLLAACCEE/uy/e5/uye5DTW37DiA.mp4,RREEPPLLAACCEE/uy/e5/uye5DTW37DiA_small.mp4
lwestby,0,0,0,Unavailable,2020-12-21,20:35:50,Unavailable,Unavailable,Unavailable,Unavailable,lwestby,lwestby,lwestby,meta-uykq6WM2gP0J.json,uy,RREEPPLLAACCEE/uy/kq/uykq6WM2gP0J.mp4,RREEPPLLAACCEE/uy/kq/uykq6WM2gP0J_small.mp4
ckSynergy,0,0,0,Unavailable,2021-01-08,14:12:44,Unavailable,Unavailable,Unavailable,Unavailable,ckSynergy,ckSynergy,ckSynergy,meta-uytgcj00Kct0.json,uy,RREEPPLLAACCEE/uy/tg/uytgcj00Kct0.mp4,RREEPPLLAACCEE/uy/tg/uytgcj00Kct0_small.mp4
Unavailable,40.7797,73.4081,40.29,Above Sea Level,2020-10-19,13:54:57,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UY1pu2xOj70P.json,UY,RREEPPLLAACCEE/UY/1p/UY1pu2xOj70P.mp4,RREEPPLLAACCEE/UY/1p/UY1pu2xOj70P_small.mp4
Unavailable,33.8378,98.7235,317.641,Above Sea Level,2020-07-17,18:55:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UY6l3yKnFRZK.json,UY,RREEPPLLAACCEE/UY/6l/UY6l3yKnFRZK.mp4,RREEPPLLAACCEE/UY/6l/UY6l3yKnFRZK_small.mp4
Unavailable,40.7369,73.5167,31.27,Above Sea Level,2020-12-02,05:26:35,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UY9gZSuJ7QTx.json,UY,RREEPPLLAACCEE/UY/9g/UY9gZSuJ7QTx.mp4,RREEPPLLAACCEE/UY/9g/UY9gZSuJ7QTx_small.mp4
Unavailable,53.4353,2.9685,0,Unavailable,2020-11-23,19:00:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYFqu6Su9eH8.json,UY,RREEPPLLAACCEE/UY/Fq/UYFqu6Su9eH8.mp4,RREEPPLLAACCEE/UY/Fq/UYFqu6Su9eH8_small.mp4
Unavailable,38.2581,120.3366,1310.166,Above Sea Level,2020-11-09,15:50:46,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYIpQp1EcRaJ.json,UY,RREEPPLLAACCEE/UY/Ip/UYIpQp1EcRaJ.mp4,RREEPPLLAACCEE/UY/Ip/UYIpQp1EcRaJ_small.mp4
Unavailable,15.7911,48.1336,0,Unavailable,2020-09-13,01:06:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYK7ESIECG7v.json,UY,RREEPPLLAACCEE/UY/K7/UYK7ESIECG7v.mp4,RREEPPLLAACCEE/UY/K7/UYK7ESIECG7v_small.mp4
Unavailable,29.5184,98.3982,233.827,Above Sea Level,2020-11-15,20:04:23,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYNBzJhKSPlO.json,UY,RREEPPLLAACCEE/UY/NB/UYNBzJhKSPlO.mp4,RREEPPLLAACCEE/UY/NB/UYNBzJhKSPlO_small.mp4
Unavailable,30.6570,87.1577,48.461,Above Sea Level,2020-12-27,12:36:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYTTdHOyzLZ7.json,UY,RREEPPLLAACCEE/UY/TT/UYTTdHOyzLZ7.mp4,RREEPPLLAACCEE/UY/TT/UYTTdHOyzLZ7_small.mp4
Unavailable,30.6572,88.8984,0,Unavailable,2021-01-07,14:50:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYY2OQvG192S.json,UY,RREEPPLLAACCEE/UY/Y2/UYY2OQvG192S.mp4,RREEPPLLAACCEE/UY/Y2/UYY2OQvG192S_small.mp4
Unavailable,38.5774,121.4946,0,Unavailable,2020-11-14,20:02:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYhdhY32oSrc.json,UY,RREEPPLLAACCEE/UY/hd/UYhdhY32oSrc.mp4,RREEPPLLAACCEE/UY/hd/UYhdhY32oSrc_small.mp4
Unavailable,33.0740,111.3391,460.413,Above Sea Level,2019-05-12,17:37:06,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYou51p1EWLo.json,UY,RREEPPLLAACCEE/UY/ou/UYou51p1EWLo.mp4,RREEPPLLAACCEE/UY/ou/UYou51p1EWLo_small.mp4
Unavailable,38.8957,77.0310,6.539,Above Sea Level,2020-11-14,16:49:34,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYr1sURCwN2w.json,UY,RREEPPLLAACCEE/UY/r1/UYr1sURCwN2w.mp4,RREEPPLLAACCEE/UY/r1/UYr1sURCwN2w_small.mp4
Unavailable,23.4421,47.4574,548.613,Above Sea Level,2020-07-11,19:19:22,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYsfU1VEPSP5.json,UY,RREEPPLLAACCEE/UY/sf/UYsfU1VEPSP5.mp4,RREEPPLLAACCEE/UY/sf/UYsfU1VEPSP5_small.mp4
Unavailable,40.3197,79.9066,309.38,Above Sea Level,2020-12-04,17:02:16,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYxPsYIPSp1T.json,UY,RREEPPLLAACCEE/UY/xP/UYxPsYIPSp1T.mp4,RREEPPLLAACCEE/UY/xP/UYxPsYIPSp1T_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-08-17,16:45:26,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UYxwti3BVK9T.json,UY,RREEPPLLAACCEE/UY/xw/UYxwti3BVK9T.mp4,RREEPPLLAACCEE/UY/xw/UYxwti3BVK9T_small.mp4
Unavailable,35.2701,90.4770,0,Unavailable,2021-01-08,21:04:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Uy0pbn34wQac.json,Uy,RREEPPLLAACCEE/Uy/0p/Uy0pbn34wQac.mp4,RREEPPLLAACCEE/Uy/0p/Uy0pbn34wQac_small.mp4
Unavailable,38.0955,85.8513,140.225,Above Sea Level,2020-07-02,02:21:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyAbyJnyojJq.json,Uy,RREEPPLLAACCEE/Uy/Ab/UyAbyJnyojJq.mp4,RREEPPLLAACCEE/Uy/Ab/UyAbyJnyojJq_small.mp4
Unavailable,41.7835,87.9093,202.122,Above Sea Level,2020-11-20,02:01:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyEn2UClSxF5.json,Uy,RREEPPLLAACCEE/Uy/En/UyEn2UClSxF5.mp4,RREEPPLLAACCEE/Uy/En/UyEn2UClSxF5_small.mp4
Unavailable,39.9102,76.6514,0,Unavailable,2020-08-15,01:39:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyGO65UyCVIE.json,Uy,RREEPPLLAACCEE/Uy/GO/UyGO65UyCVIE.mp4,RREEPPLLAACCEE/Uy/GO/UyGO65UyCVIE_small.mp4
Unavailable,30.6363,88.1551,25.71,Above Sea Level,2020-11-10,21:11:55,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyL9Vu2sa8HP.json,Uy,RREEPPLLAACCEE/Uy/L9/UyL9Vu2sa8HP.mp4,RREEPPLLAACCEE/Uy/L9/UyL9Vu2sa8HP_small.mp4
Unavailable,38.3794,81.8131,171.502,Above Sea Level,2020-09-11,15:01:04,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyNlnTgghkfB.json,Uy,RREEPPLLAACCEE/Uy/Nl/UyNlnTgghkfB.mp4,RREEPPLLAACCEE/Uy/Nl/UyNlnTgghkfB_small.mp4
Unavailable,30.1574,95.4744,39.579,Above Sea Level,2020-11-10,03:11:45,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyNublQMceyM.json,Uy,RREEPPLLAACCEE/Uy/Nu/UyNublQMceyM.mp4,RREEPPLLAACCEE/Uy/Nu/UyNublQMceyM_small.mp4
Unavailable,32.9823,117.2684,25.91,Above Sea Level,2020-06-11,17:21:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UyQNRcoykOdS.json,Uy,RREEPPLLAACCEE/Uy/QN/UyQNRcoykOdS.mp4,RREEPPLLAACCEE/Uy/QN/UyQNRcoykOdS_small.mp4
