Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
u397742,0,0,0,Unavailable,2020-09-29,04:04:59,Unavailable,Unavailable,Unavailable,Unavailable,u397742,u397742,u397742,meta-YVPr0OwiBM1U.json,YV,RREEPPLLAACCEE/YV/Pr/YVPr0OwiBM1U.mp4,RREEPPLLAACCEE/YV/Pr/YVPr0OwiBM1U_small.mp4
Daniel,0,0,0,Unavailable,2020-09-24,23:16:29,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-YVmr1da7lrzO.json,YV,RREEPPLLAACCEE/YV/mr/YVmr1da7lrzO.mp4,RREEPPLLAACCEE/YV/mr/YVmr1da7lrzO_small.mp4
MOHAMMAD,0,0,0,Unavailable,2020-12-06,16:01:39,Unavailable,Unavailable,Unavailable,Unavailable,MOHAMMAD,MOHAMMAD,MOHAMMAD,meta-Yv8yaj3xSH4R.json,Yv,RREEPPLLAACCEE/Yv/8y/Yv8yaj3xSH4R.mp4,RREEPPLLAACCEE/Yv/8y/Yv8yaj3xSH4R_small.mp4
blanca,0,0,0,Unavailable,2020-08-21,23:19:40,Unavailable,Unavailable,Unavailable,Unavailable,blanca,blanca,blanca,meta-YvUKxLlPAIe4.json,Yv,RREEPPLLAACCEE/Yv/UK/YvUKxLlPAIe4.mp4,RREEPPLLAACCEE/Yv/UK/YvUKxLlPAIe4_small.mp4
Bgregg,0,0,0,Unavailable,2020-11-18,17:23:27,Unavailable,,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-yVrfgD4nLqc4.json,yV,RREEPPLLAACCEE/yV/rf/yVrfgD4nLqc4.mp4,RREEPPLLAACCEE/yV/rf/yVrfgD4nLqc4_small.mp4
SAJJAD,0,0,0,Unavailable,2020-09-07,10:57:47,Unavailable,Unavailable,Unavailable,Unavailable,SAJJAD,SAJJAD,SAJJAD,meta-yvOMyw1JpY0L.json,yv,RREEPPLLAACCEE/yv/OM/yvOMyw1JpY0L.mp4,RREEPPLLAACCEE/yv/OM/yvOMyw1JpY0L_small.mp4
Mr.Shades,0,0,0,Unavailable,2021-01-09,12:14:50,Unavailable,Unavailable,Unavailable,Unavailable,Mr.Shades,Mr.Shades,Mr.Shades,meta-yvOTgbPmZpWD.json,yv,RREEPPLLAACCEE/yv/OT/yvOTgbPmZpWD.mp4,RREEPPLLAACCEE/yv/OT/yvOTgbPmZpWD_small.mp4
Unavailable,38.8973,77.0272,11.189,Above Sea Level,2020-12-12,23:03:15,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV0vDCdjVhCS.json,YV,RREEPPLLAACCEE/YV/0v/YV0vDCdjVhCS.mp4,RREEPPLLAACCEE/YV/0v/YV0vDCdjVhCS_small.mp4
Unavailable,40.7648,73.9594,17.739,Above Sea Level,2020-11-13,03:06:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV476CqtitR6.json,YV,RREEPPLLAACCEE/YV/47/YV476CqtitR6.mp4,RREEPPLLAACCEE/YV/47/YV476CqtitR6_small.mp4
Unavailable,47.1091,122.2191,50.091,Above Sea Level,2020-11-27,08:17:05,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV5ua110eAS5.json,YV,RREEPPLLAACCEE/YV/5u/YV5ua110eAS5.mp4,RREEPPLLAACCEE/YV/5u/YV5ua110eAS5_small.mp4
Unavailable,39.0926,84.3347,263.139,Above Sea Level,2020-11-30,22:18:17,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV71X9cSqtlK.json,YV,RREEPPLLAACCEE/YV/71/YV71X9cSqtlK.mp4,RREEPPLLAACCEE/YV/71/YV71X9cSqtlK_small.mp4
Unavailable,39.2804,76.4971,11.268,Above Sea Level,2021-01-01,19:51:04,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV7n13dRXPqV.json,YV,RREEPPLLAACCEE/YV/7n/YV7n13dRXPqV.mp4,RREEPPLLAACCEE/YV/7n/YV7n13dRXPqV_small.mp4
Unavailable,29.2722,94.8177,9.634,Above Sea Level,2020-12-27,01:37:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YV9ymwNeDwA4.json,YV,RREEPPLLAACCEE/YV/9y/YV9ymwNeDwA4.mp4,RREEPPLLAACCEE/YV/9y/YV9ymwNeDwA4_small.mp4
Unavailable,33.6282,78.9615,1.915,Above Sea Level,2020-11-13,22:37:17,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVB0SYZLbgcA.json,YV,RREEPPLLAACCEE/YV/B0/YVB0SYZLbgcA.mp4,RREEPPLLAACCEE/YV/B0/YVB0SYZLbgcA_small.mp4
Unavailable,35.4393,97.6489,380.9,Above Sea Level,2020-11-04,02:54:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVD170J0Ez43.json,YV,RREEPPLLAACCEE/YV/D1/YVD170J0Ez43.mp4,RREEPPLLAACCEE/YV/D1/YVD170J0Ez43_small.mp4
Unavailable,47.6178,122.3485,38.842,Above Sea Level,2020-11-13,01:25:04,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVL9PQCaxmww.json,YV,RREEPPLLAACCEE/YV/L9/YVL9PQCaxmww.mp4,RREEPPLLAACCEE/YV/L9/YVL9PQCaxmww_small.mp4
Unavailable,26.4640,80.1603,6.794,Above Sea Level,2020-10-31,16:26:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVNjyyVwazlQ.json,YV,RREEPPLLAACCEE/YV/Nj/YVNjyyVwazlQ.mp4,RREEPPLLAACCEE/YV/Nj/YVNjyyVwazlQ_small.mp4
Unavailable,30.5563,98.2938,236.301,Above Sea Level,2020-11-20,13:00:57,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVQrxSu9Kjmq.json,YV,RREEPPLLAACCEE/YV/Qr/YVQrxSu9Kjmq.mp4,RREEPPLLAACCEE/YV/Qr/YVQrxSu9Kjmq_small.mp4
Unavailable,30.7954,97.4284,178.007,Above Sea Level,2020-11-02,20:58:17,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVRbMJNJppz9.json,YV,RREEPPLLAACCEE/YV/Rb/YVRbMJNJppz9.mp4,RREEPPLLAACCEE/YV/Rb/YVRbMJNJppz9_small.mp4
Unavailable,43.1764,77.1761,164.684,Above Sea Level,2020-12-15,18:46:13,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVWpuozmXmNC.json,YV,RREEPPLLAACCEE/YV/Wp/YVWpuozmXmNC.mp4,RREEPPLLAACCEE/YV/Wp/YVWpuozmXmNC_small.mp4
Unavailable,39.9459,74.1242,2.306,Above Sea Level,2020-12-04,21:29:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVX60LUHz0UM.json,YV,RREEPPLLAACCEE/YV/X6/YVX60LUHz0UM.mp4,RREEPPLLAACCEE/YV/X6/YVX60LUHz0UM_small.mp4
Unavailable,28.6236,80.7936,5.674,Above Sea Level,2020-07-30,11:50:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVYvgXjw3p00.json,YV,RREEPPLLAACCEE/YV/Yv/YVYvgXjw3p00.mp4,RREEPPLLAACCEE/YV/Yv/YVYvgXjw3p00_small.mp4
Unavailable,29.4199,98.4723,211.929,Above Sea Level,2020-08-01,21:15:26,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVZGVAIvzGm9.json,YV,RREEPPLLAACCEE/YV/ZG/YVZGVAIvzGm9.mp4,RREEPPLLAACCEE/YV/ZG/YVZGVAIvzGm9_small.mp4
Unavailable,47.9218,122.0341,73.967,Above Sea Level,2020-06-28,22:41:37,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVaIPIvfuHoR.json,YV,RREEPPLLAACCEE/YV/aI/YVaIPIvfuHoR.mp4,RREEPPLLAACCEE/YV/aI/YVaIPIvfuHoR_small.mp4
Unavailable,44.0788,103.2580,0,Unavailable,2020-12-21,16:11:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVeifTO1EFtL.json,YV,RREEPPLLAACCEE/YV/ei/YVeifTO1EFtL.mp4,RREEPPLLAACCEE/YV/ei/YVeifTO1EFtL_small.mp4
Unavailable,32.7860,97.1060,150.855,Above Sea Level,2020-11-16,20:26:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVhqg47umYqY.json,YV,RREEPPLLAACCEE/YV/hq/YVhqg47umYqY.mp4,RREEPPLLAACCEE/YV/hq/YVhqg47umYqY_small.mp4
Unavailable,26.1697,80.1001,3.512,Above Sea Level,2020-10-05,12:51:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVko1NqGUCcd.json,YV,RREEPPLLAACCEE/YV/ko/YVko1NqGUCcd.mp4,RREEPPLLAACCEE/YV/ko/YVko1NqGUCcd_small.mp4
Unavailable,41.1044,74.1436,0,Unavailable,2020-03-16,21:51:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVlwnK7A1z0f.json,YV,RREEPPLLAACCEE/YV/lw/YVlwnK7A1z0f.mp4,RREEPPLLAACCEE/YV/lw/YVlwnK7A1z0f_small.mp4
Unavailable,32.4230,93.7446,64.427,Above Sea Level,2020-10-21,21:09:01,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVmGguwGtuO0.json,YV,RREEPPLLAACCEE/YV/mG/YVmGguwGtuO0.mp4,RREEPPLLAACCEE/YV/mG/YVmGguwGtuO0_small.mp4
Unavailable,33.8836,112.0394,0,Unavailable,2020-11-25,20:30:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YVnee73sv26E.json,YV,RREEPPLLAACCEE/YV/ne/YVnee73sv26E.mp4,RREEPPLLAACCEE/YV/ne/YVnee73sv26E_small.mp4
