Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mymac,0,0,0,Unavailable,2020-12-03,20:55:40,Unavailable,Unavailable,Unavailable,Unavailable,mymac,mymac,mymac,meta-0OL4DZjfDuQh.json,0O,RREEPPLLAACCEE/0O/L4/0OL4DZjfDuQh.mp4,RREEPPLLAACCEE/0O/L4/0OL4DZjfDuQh_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-09-30,18:19:37,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-0oEiCxCruPDC.json,0o,RREEPPLLAACCEE/0o/Ei/0oEiCxCruPDC.mp4,RREEPPLLAACCEE/0o/Ei/0oEiCxCruPDC_small.mp4
Unavailable,55.1882,118.7965,665.794,Above Sea Level,2020-12-18,00:34:50,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0O0CAmfs4ho5.json,0O,RREEPPLLAACCEE/0O/0C/0O0CAmfs4ho5.mp4,RREEPPLLAACCEE/0O/0C/0O0CAmfs4ho5_small.mp4
Unavailable,39.0610,76.7081,61.743,Above Sea Level,2020-06-20,07:31:28,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0O6WLenmavfS.json,0O,RREEPPLLAACCEE/0O/6W/0O6WLenmavfS.mp4,RREEPPLLAACCEE/0O/6W/0O6WLenmavfS_small.mp4
Unavailable,40.5840,73.6932,0,Unavailable,2020-11-09,01:07:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OBeJD08vGX2.json,0O,RREEPPLLAACCEE/0O/Be/0OBeJD08vGX2.mp4,RREEPPLLAACCEE/0O/Be/0OBeJD08vGX2_small.mp4
Unavailable,35.3836,97.6829,421.826,Above Sea Level,2020-11-08,16:30:44,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OLsaD2cUmFM.json,0O,RREEPPLLAACCEE/0O/Ls/0OLsaD2cUmFM.mp4,RREEPPLLAACCEE/0O/Ls/0OLsaD2cUmFM_small.mp4
Unavailable,33.4905,117.6682,22.79,Above Sea Level,2020-08-27,22:51:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OMNC4U9JU0M.json,0O,RREEPPLLAACCEE/0O/MN/0OMNC4U9JU0M.mp4,RREEPPLLAACCEE/0O/MN/0OMNC4U9JU0M_small.mp4
Unavailable,36.1034,79.5407,0,Unavailable,2020-11-15,17:00:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OOau9hwbzVs.json,0O,RREEPPLLAACCEE/0O/Oa/0OOau9hwbzVs.mp4,RREEPPLLAACCEE/0O/Oa/0OOau9hwbzVs_small.mp4
Unavailable,40.0708,75.0041,0,Unavailable,2020-10-22,22:38:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OSQpCXZ8zNg.json,0O,RREEPPLLAACCEE/0O/SQ/0OSQpCXZ8zNg.mp4,RREEPPLLAACCEE/0O/SQ/0OSQpCXZ8zNg_small.mp4
Unavailable,25.9041,80.2604,3.264,Above Sea Level,2020-11-02,03:25:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-0OVl9ewFbMgT.json,0O,RREEPPLLAACCEE/0O/Vl/0OVl9ewFbMgT.mp4,RREEPPLLAACCEE/0O/Vl/0OVl9ewFbMgT_small.mp4
