Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
michaeljanak,0,0,0,Unavailable,2020-10-16,06:20:30,Unavailable,Unavailable,Unavailable,Unavailable,michaeljanak,michaeljanak,michaeljanak,meta-JUsFvJe1e7AY.json,JU,RREEPPLLAACCEE/JU/sF/JUsFvJe1e7AY.mp4,RREEPPLLAACCEE/JU/sF/JUsFvJe1e7AY_small.mp4
Nathan,0,0,0,Unavailable,2020-10-05,17:26:54,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-Jue1ooTQ6TRR.json,Ju,RREEPPLLAACCEE/Ju/e1/Jue1ooTQ6TRR.mp4,RREEPPLLAACCEE/Ju/e1/Jue1ooTQ6TRR_small.mp4
jotac,0,0,0,Unavailable,2020-11-11,16:05:50,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-jUoqBYAWWmcz.json,jU,RREEPPLLAACCEE/jU/oq/jUoqBYAWWmcz.mp4,RREEPPLLAACCEE/jU/oq/jUoqBYAWWmcz_small.mp4
Ziggy Edit,0,0,0,Unavailable,2020-10-15,17:39:42,Unavailable,Unavailable,Unavailable,Unavailable,Ziggy Edit,Ziggy Edit,Ziggy Edit,meta-jUu8s7JBE1sb.json,jU,RREEPPLLAACCEE/jU/u8/jUu8s7JBE1sb.mp4,RREEPPLLAACCEE/jU/u8/jUu8s7JBE1sb_small.mp4
franklamont,0,0,0,Unavailable,2020-08-20,20:22:05,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-ju1JNByK1oB7.json,ju,RREEPPLLAACCEE/ju/1J/ju1JNByK1oB7.mp4,RREEPPLLAACCEE/ju/1J/ju1JNByK1oB7_small.mp4
bella,0,0,0,Unavailable,2020-06-29,21:10:24,Unavailable,Unavailable,Unavailable,Unavailable,bella,bella,bella,meta-juCUJSN1XW2a.json,ju,RREEPPLLAACCEE/ju/CU/juCUJSN1XW2a.mp4,RREEPPLLAACCEE/ju/CU/juCUJSN1XW2a_small.mp4
Unavailable,45.5048,73.6381,0,Unavailable,2020-10-09,21:22:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JU6qtwaofkYQ.json,JU,RREEPPLLAACCEE/JU/6q/JU6qtwaofkYQ.mp4,RREEPPLLAACCEE/JU/6q/JU6qtwaofkYQ_small.mp4
Unavailable,40.8244,77.8295,299.16,Above Sea Level,2020-11-10,20:01:32,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JU7BjmobmhRu.json,JU,RREEPPLLAACCEE/JU/7B/JU7BjmobmhRu.mp4,RREEPPLLAACCEE/JU/7B/JU7BjmobmhRu_small.mp4
Unavailable,35.9167,86.9080,212.451,Above Sea Level,2020-10-01,01:04:43,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUBNKf02VE8o.json,JU,RREEPPLLAACCEE/JU/BN/JUBNKf02VE8o.mp4,RREEPPLLAACCEE/JU/BN/JUBNKf02VE8o_small.mp4
Unavailable,32.1849,95.3229,144.978,Above Sea Level,2020-09-02,23:03:33,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUEloLxlNfAP.json,JU,RREEPPLLAACCEE/JU/El/JUEloLxlNfAP.mp4,RREEPPLLAACCEE/JU/El/JUEloLxlNfAP_small.mp4
Unavailable,38.8607,77.6424,126.797,Above Sea Level,2020-11-07,02:28:44,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JULB37zttsLf.json,JU,RREEPPLLAACCEE/JU/LB/JULB37zttsLf.mp4,RREEPPLLAACCEE/JU/LB/JULB37zttsLf_small.mp4
Unavailable,27.5286,152.8206,92.717,Above Sea Level,2020-11-10,04:06:06,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUasgTrjqp9G.json,JU,RREEPPLLAACCEE/JU/as/JUasgTrjqp9G.mp4,RREEPPLLAACCEE/JU/as/JUasgTrjqp9G_small.mp4
Unavailable,41.0398,73.7452,0,Unavailable,2020-08-23,18:18:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUgdy752l6Sm.json,JU,RREEPPLLAACCEE/JU/gd/JUgdy752l6Sm.mp4,RREEPPLLAACCEE/JU/gd/JUgdy752l6Sm_small.mp4
Unavailable,51.4991,.0793,5.106,Above Sea Level,2020-12-15,14:53:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUifVhRALCLJ.json,JU,RREEPPLLAACCEE/JU/if/JUifVhRALCLJ.mp4,RREEPPLLAACCEE/JU/if/JUifVhRALCLJ_small.mp4
Unavailable,39.0781,94.5861,285.348,Above Sea Level,2020-09-26,19:58:23,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUm2uy2uL7ug.json,JU,RREEPPLLAACCEE/JU/m2/JUm2uy2uL7ug.mp4,RREEPPLLAACCEE/JU/m2/JUm2uy2uL7ug_small.mp4
Unavailable,39.0639,94.8918,257.937,Above Sea Level,2020-11-07,16:54:00,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUnCibXZFKaj.json,JU,RREEPPLLAACCEE/JU/nC/JUnCibXZFKaj.mp4,RREEPPLLAACCEE/JU/nC/JUnCibXZFKaj_small.mp4
Unavailable,43.4449,113.5555,1838.794,Above Sea Level,2020-08-19,20:42:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUp6TE9hofgA.json,JU,RREEPPLLAACCEE/JU/p6/JUp6TE9hofgA.mp4,RREEPPLLAACCEE/JU/p6/JUp6TE9hofgA_small.mp4
Unavailable,33.2152,111.5659,448.886,Above Sea Level,2020-12-07,21:47:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUsWE31WHmKc.json,JU,RREEPPLLAACCEE/JU/sW/JUsWE31WHmKc.mp4,RREEPPLLAACCEE/JU/sW/JUsWE31WHmKc_small.mp4
Unavailable,21.2993,157.8181,25.171,Above Sea Level,2020-11-21,00:10:50,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUut1Ga5r1Vw.json,JU,RREEPPLLAACCEE/JU/ut/JUut1Ga5r1Vw.mp4,RREEPPLLAACCEE/JU/ut/JUut1Ga5r1Vw_small.mp4
Unavailable,47.7887,122.1563,94.086,Above Sea Level,2020-09-27,15:51:18,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JUv5n0y2bnbZ.json,JU,RREEPPLLAACCEE/JU/v5/JUv5n0y2bnbZ.mp4,RREEPPLLAACCEE/JU/v5/JUv5n0y2bnbZ_small.mp4
Unavailable,44.4605,123.0516,85.688,Above Sea Level,2020-05-23,21:04:58,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ju0IUUReax53.json,Ju,RREEPPLLAACCEE/Ju/0I/Ju0IUUReax53.mp4,RREEPPLLAACCEE/Ju/0I/Ju0IUUReax53_small.mp4
Unavailable,40.1187,75.0378,69.477,Above Sea Level,2020-10-04,18:56:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ju5HKOEa4nDw.json,Ju,RREEPPLLAACCEE/Ju/5H/Ju5HKOEa4nDw.mp4,RREEPPLLAACCEE/Ju/5H/Ju5HKOEa4nDw_small.mp4
Unavailable,33.6968,117.9093,10.826,Above Sea Level,2020-07-20,22:03:32,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ju66K08efzuU.json,Ju,RREEPPLLAACCEE/Ju/66/Ju66K08efzuU.mp4,RREEPPLLAACCEE/Ju/66/Ju66K08efzuU_small.mp4
Unavailable,38.9028,77.0368,18.789,Above Sea Level,2020-12-13,03:48:33,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JuAG3mQXufbJ.json,Ju,RREEPPLLAACCEE/Ju/AG/JuAG3mQXufbJ.mp4,RREEPPLLAACCEE/Ju/AG/JuAG3mQXufbJ_small.mp4
Unavailable,37.3884,121.8374,67.609,Above Sea Level,2020-10-14,04:11:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JuC0JgSHGLkn.json,Ju,RREEPPLLAACCEE/Ju/C0/JuC0JgSHGLkn.mp4,RREEPPLLAACCEE/Ju/C0/JuC0JgSHGLkn_small.mp4
Unavailable,42.7005,82.7267,181.84,Above Sea Level,2020-12-25,16:18:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JuGP5mn5a8S7.json,Ju,RREEPPLLAACCEE/Ju/GP/JuGP5mn5a8S7.mp4,RREEPPLLAACCEE/Ju/GP/JuGP5mn5a8S7_small.mp4
Unavailable,41.9039,87.6427,182.3,Above Sea Level,2020-06-02,22:41:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JuGbjXSotPUl.json,Ju,RREEPPLLAACCEE/Ju/Gb/JuGbjXSotPUl.mp4,RREEPPLLAACCEE/Ju/Gb/JuGbjXSotPUl_small.mp4
Unavailable,42.2915,83.3190,210.255,Above Sea Level,2020-07-27,19:45:07,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JuJ07RsAjgmp.json,Ju,RREEPPLLAACCEE/Ju/J0/JuJ07RsAjgmp.mp4,RREEPPLLAACCEE/Ju/J0/JuJ07RsAjgmp_small.mp4
