Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
AndyNgo,0,0,0,Unavailable,2021-01-02,05:36:42,Unavailable,Unavailable,Unavailable,Unavailable,AndyNgo,AndyNgo,AndyNgo,meta-WOVTIHpJKCrs.json,WO,RREEPPLLAACCEE/WO/VT/WOVTIHpJKCrs.mp4,RREEPPLLAACCEE/WO/VT/WOVTIHpJKCrs_small.mp4
minanginternational,0,0,0,Unavailable,2019-04-28,02:21:04,Unavailable,Unavailable,Unavailable,Unavailable,minanginternational,minanginternational,minanginternational,meta-WOmzmSHpk5hx.json,WO,RREEPPLLAACCEE/WO/mz/WOmzmSHpk5hx.mp4,RREEPPLLAACCEE/WO/mz/WOmzmSHpk5hx_small.mp4
Brannen,0,0,0,Unavailable,2020-09-06,03:03:12,Unavailable,Unavailable,Unavailable,Unavailable,Brannen,Brannen,Brannen,meta-WOx8OQcOGoIn.json,WO,RREEPPLLAACCEE/WO/x8/WOx8OQcOGoIn.mp4,RREEPPLLAACCEE/WO/x8/WOx8OQcOGoIn_small.mp4
vincefoxx,0,0,0,Unavailable,2020-09-29,19:51:02,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-wO7KKlxGDj1f.json,wO,RREEPPLLAACCEE/wO/7K/wO7KKlxGDj1f.mp4,RREEPPLLAACCEE/wO/7K/wO7KKlxGDj1f_small.mp4
andre,0,0,0,Unavailable,2020-11-11,00:19:06,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-wOvjRw4StlQg.json,wO,RREEPPLLAACCEE/wO/vj/wOvjRw4StlQg.mp4,RREEPPLLAACCEE/wO/vj/wOvjRw4StlQg_small.mp4
steffenwagener,0,0,0,Unavailable,2020-12-21,16:29:26,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-wOxKyo7LvcEN.json,wO,RREEPPLLAACCEE/wO/xK/wOxKyo7LvcEN.mp4,RREEPPLLAACCEE/wO/xK/wOxKyo7LvcEN_small.mp4
katherinelee,0,0,0,Unavailable,2020-09-08,01:02:21,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-wo3eqfTcsR3R.json,wo,RREEPPLLAACCEE/wo/3e/wo3eqfTcsR3R.mp4,RREEPPLLAACCEE/wo/3e/wo3eqfTcsR3R_small.mp4
Unavailable,40.2136,74.1028,21.464,Above Sea Level,2020-11-07,15:30:05,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WO2ZWsWp5ANu.json,WO,RREEPPLLAACCEE/WO/2Z/WO2ZWsWp5ANu.mp4,RREEPPLLAACCEE/WO/2Z/WO2ZWsWp5ANu_small.mp4
Unavailable,29.9864,93.9642,0,Unavailable,2020-08-26,18:07:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WOBCFeIZddDk.json,WO,RREEPPLLAACCEE/WO/BC/WOBCFeIZddDk.mp4,RREEPPLLAACCEE/WO/BC/WOBCFeIZddDk_small.mp4
Unavailable,22.9996,47.0828,0,Unavailable,2020-07-03,21:01:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WOBRauYyIHCn.json,WO,RREEPPLLAACCEE/WO/BR/WOBRauYyIHCn.mp4,RREEPPLLAACCEE/WO/BR/WOBRauYyIHCn_small.mp4
