Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
markstout,0,0,0,Unavailable,2020-12-16,01:09:18,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,markstout,meta-ECdI29HJtE3j.json,EC,RREEPPLLAACCEE/EC/dI/ECdI29HJtE3j.mp4,RREEPPLLAACCEE/EC/dI/ECdI29HJtE3j_small.mp4
cgreene34,0,0,0,Unavailable,2020-09-21,06:37:25,Unavailable,Unavailable,Unavailable,Unavailable,cgreene34,cgreene34,cgreene34,meta-EcgHvw7CVnKz.json,Ec,RREEPPLLAACCEE/Ec/gH/EcgHvw7CVnKz.mp4,RREEPPLLAACCEE/Ec/gH/EcgHvw7CVnKz_small.mp4
Owner,0,0,0,Unavailable,2020-10-27,02:05:11,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-eCIFpd6gaqmy.json,eC,RREEPPLLAACCEE/eC/IF/eCIFpd6gaqmy.mp4,RREEPPLLAACCEE/eC/IF/eCIFpd6gaqmy_small.mp4
Lucy,0,0,0,Unavailable,2020-05-27,08:54:30,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-eCjvcBG1KXMe.json,eC,RREEPPLLAACCEE/eC/jv/eCjvcBG1KXMe.mp4,RREEPPLLAACCEE/eC/jv/eCjvcBG1KXMe_small.mp4
marcstevens,0,0,0,Unavailable,2021-01-04,18:07:52,Canon,,,Unavailable,marcstevens,marcstevens,marcstevens,meta-eCtFKoYncGMo.json,eC,RREEPPLLAACCEE/eC/tF/eCtFKoYncGMo.mp4,RREEPPLLAACCEE/eC/tF/eCtFKoYncGMo_small.mp4
Bravo Capitan,0,0,0,Unavailable,2020-12-04,09:30:00,Unavailable,Unavailable,Unavailable,Unavailable,Bravo Capitan,Bravo Capitan,Bravo Capitan,meta-eccqm0bwerXV.json,ec,RREEPPLLAACCEE/ec/cq/eccqm0bwerXV.mp4,RREEPPLLAACCEE/ec/cq/eccqm0bwerXV_small.mp4
Unavailable,49.2302,124.0223,123.529,Above Sea Level,2020-10-20,17:42:15,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EC14XdmHnG4r.json,EC,RREEPPLLAACCEE/EC/14/EC14XdmHnG4r.mp4,RREEPPLLAACCEE/EC/14/EC14XdmHnG4r_small.mp4
Unavailable,39.7011,90.4671,171.401,Above Sea Level,2020-10-27,16:20:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EC1TQ1QFaned.json,EC,RREEPPLLAACCEE/EC/1T/EC1TQ1QFaned.mp4,RREEPPLLAACCEE/EC/1T/EC1TQ1QFaned_small.mp4
Unavailable,47.4255,8.3617,397.697,Above Sea Level,2020-11-12,17:19:59,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EC5VJh1fe6qm.json,EC,RREEPPLLAACCEE/EC/5V/EC5VJh1fe6qm.mp4,RREEPPLLAACCEE/EC/5V/EC5VJh1fe6qm_small.mp4
Unavailable,40.0129,75.1867,42.365,Above Sea Level,2020-12-02,05:56:33,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EC5e6mqIWk7V.json,EC,RREEPPLLAACCEE/EC/5e/EC5e6mqIWk7V.mp4,RREEPPLLAACCEE/EC/5e/EC5e6mqIWk7V_small.mp4
