Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Deco,0,0,0,Unavailable,2020-10-03,19:40:11,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-U28Dcx2S2x55.json,U2,RREEPPLLAACCEE/U2/8D/U28Dcx2S2x55.mp4,RREEPPLLAACCEE/U2/8D/U28Dcx2S2x55_small.mp4
NEW,0,0,0,Unavailable,2020-12-14,11:11:21,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-U2D0v9ZdJabI.json,U2,RREEPPLLAACCEE/U2/D0/U2D0v9ZdJabI.mp4,RREEPPLLAACCEE/U2/D0/U2D0v9ZdJabI_small.mp4
vince,0,0,0,Unavailable,2020-07-20,02:26:20,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-U2JCxO4pKm8H.json,U2,RREEPPLLAACCEE/U2/JC/U2JCxO4pKm8H.mp4,RREEPPLLAACCEE/U2/JC/U2JCxO4pKm8H_small.mp4
emilyjiao,0,0,0,Unavailable,2020-08-12,23:45:00,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-U2pYpjPJWWdR.json,U2,RREEPPLLAACCEE/U2/pY/U2pYpjPJWWdR.mp4,RREEPPLLAACCEE/U2/pY/U2pYpjPJWWdR_small.mp4
Valued Customer,0,0,0,Unavailable,2020-11-02,04:50:43,Unavailable,Unavailable,Unavailable,Unavailable,Valued Customer,Valued Customer,Valued Customer,meta-U2vlcsv1Xa5y.json,U2,RREEPPLLAACCEE/U2/vl/U2vlcsv1Xa5y.mp4,RREEPPLLAACCEE/U2/vl/U2vlcsv1Xa5y_small.mp4
orlandopulido,0,0,0,Unavailable,2020-12-24,18:00:59,Unavailable,Unavailable,Unavailable,Unavailable,orlandopulido,orlandopulido,orlandopulido,meta-u2VrdGyBUrS3.json,u2,RREEPPLLAACCEE/u2/Vr/u2VrdGyBUrS3.mp4,RREEPPLLAACCEE/u2/Vr/u2VrdGyBUrS3_small.mp4
Sem,0,0,0,Unavailable,2020-10-15,22:47:05,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-u2WDGdjR0pE2.json,u2,RREEPPLLAACCEE/u2/WD/u2WDGdjR0pE2.mp4,RREEPPLLAACCEE/u2/WD/u2WDGdjR0pE2_small.mp4
cgreene34,0,0,0,Unavailable,2020-12-29,04:43:08,Unavailable,Unavailable,Unavailable,Unavailable,cgreene34,cgreene34,cgreene34,meta-u2wnMtS53dpN.json,u2,RREEPPLLAACCEE/u2/wn/u2wnMtS53dpN.mp4,RREEPPLLAACCEE/u2/wn/u2wnMtS53dpN_small.mp4
Unavailable,34.0716,118.4036,80.017,Above Sea Level,2020-11-08,00:37:22,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U21HVbwBtSdk.json,U2,RREEPPLLAACCEE/U2/1H/U21HVbwBtSdk.mp4,RREEPPLLAACCEE/U2/1H/U21HVbwBtSdk_small.mp4
Unavailable,48.7690,122.4932,27.307,Above Sea Level,2020-11-18,15:15:10,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-U27WA4THI8DJ.json,U2,RREEPPLLAACCEE/U2/7W/U27WA4THI8DJ.mp4,RREEPPLLAACCEE/U2/7W/U27WA4THI8DJ_small.mp4
