Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
NEW,0,0,0,Unavailable,2020-12-04,14:55:25,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-BHAFOTUV0MTW.json,BH,RREEPPLLAACCEE/BH/AF/BHAFOTUV0MTW.mp4,RREEPPLLAACCEE/BH/AF/BHAFOTUV0MTW_small.mp4
kevinbatts,0,0,0,Unavailable,2020-10-30,22:31:33,Unavailable,,Unavailable,Unavailable,Miles,Miles,Miles,meta-Bh6i1Uoy9rdm.json,Bh,RREEPPLLAACCEE/Bh/6i/Bh6i1Uoy9rdm.mp4,RREEPPLLAACCEE/Bh/6i/Bh6i1Uoy9rdm_small.mp4
User,0,0,0,Unavailable,2020-11-17,22:28:14,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-BhYZjSitdj0K.json,Bh,RREEPPLLAACCEE/Bh/YZ/BhYZjSitdj0K.mp4,RREEPPLLAACCEE/Bh/YZ/BhYZjSitdj0K_small.mp4
josephdavidsantos,0,0,0,Unavailable,2020-09-16,18:53:12,Unavailable,Unavailable,Unavailable,Unavailable,josephdavidsantos,josephdavidsantos,josephdavidsantos,meta-Bhs0ZkJQTVb6.json,Bh,RREEPPLLAACCEE/Bh/s0/Bhs0ZkJQTVb6.mp4,RREEPPLLAACCEE/Bh/s0/Bhs0ZkJQTVb6_small.mp4
Melanie,0,0,0,Unavailable,2020-12-29,22:48:36,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-bHDmsP65uByU.json,bH,RREEPPLLAACCEE/bH/Dm/bHDmsP65uByU.mp4,RREEPPLLAACCEE/bH/Dm/bHDmsP65uByU_small.mp4
Highlander,0,0,0,Unavailable,2020-10-09,14:52:24,NIKON CORPORATION,,,,EDIÇÃO,EDIÇÃO,EDIÇÃO,meta-bHiOYeVAf2Aw.json,bH,RREEPPLLAACCEE/bH/iO/bHiOYeVAf2Aw.mp4,RREEPPLLAACCEE/bH/iO/bHiOYeVAf2Aw_small.mp4
Unavailable,40.6793,74.0359,1.68,Above Sea Level,2020-11-04,19:02:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BH4JcmWAKics.json,BH,RREEPPLLAACCEE/BH/4J/BH4JcmWAKics.mp4,RREEPPLLAACCEE/BH/4J/BH4JcmWAKics_small.mp4
Unavailable,32.6019,117.0274,86.5,Above Sea Level,2020-03-10,00:44:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BHIDLSFRimIz.json,BH,RREEPPLLAACCEE/BH/ID/BHIDLSFRimIz.mp4,RREEPPLLAACCEE/BH/ID/BHIDLSFRimIz_small.mp4
Unavailable,36.2794,115.1153,627.299,Above Sea Level,2020-06-25,23:12:51,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BHKZNGYqGhtR.json,BH,RREEPPLLAACCEE/BH/KZ/BHKZNGYqGhtR.mp4,RREEPPLLAACCEE/BH/KZ/BHKZNGYqGhtR_small.mp4
Unavailable,38.6732,121.2916,0,Unavailable,2020-12-15,00:08:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BHPTu33V9bq1.json,BH,RREEPPLLAACCEE/BH/PT/BHPTu33V9bq1.mp4,RREEPPLLAACCEE/BH/PT/BHPTu33V9bq1_small.mp4
