Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
keenanspc,0,0,0,Unavailable,2020-10-30,05:01:40,Unavailable,Unavailable,Unavailable,Unavailable,keenanspc,keenanspc,keenanspc,meta-y09CnaAXkIec.json,y0,RREEPPLLAACCEE/y0/9C/y09CnaAXkIec.mp4,RREEPPLLAACCEE/y0/9C/y09CnaAXkIec_small.mp4
prudy,0,0,0,Unavailable,2020-10-23,14:24:53,Unavailable,Unavailable,Unavailable,Unavailable,prudy,prudy,prudy,meta-y0Mgj7M6GA5m.json,y0,RREEPPLLAACCEE/y0/Mg/y0Mgj7M6GA5m.mp4,RREEPPLLAACCEE/y0/Mg/y0Mgj7M6GA5m_small.mp4
paulg,0,0,0,Unavailable,2020-09-16,23:54:16,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-y0Os1oLEJaJr.json,y0,RREEPPLLAACCEE/y0/Os/y0Os1oLEJaJr.mp4,RREEPPLLAACCEE/y0/Os/y0Os1oLEJaJr_small.mp4
Unavailable,33.9922,96.3861,0,Unavailable,2020-12-03,00:04:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y01Myg3r3os0.json,Y0,RREEPPLLAACCEE/Y0/1M/Y01Myg3r3os0.mp4,RREEPPLLAACCEE/Y0/1M/Y01Myg3r3os0_small.mp4
Unavailable,40.6958,80.0840,359.597,Above Sea Level,2020-12-19,00:39:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0CPO3aRm9bb.json,Y0,RREEPPLLAACCEE/Y0/CP/Y0CPO3aRm9bb.mp4,RREEPPLLAACCEE/Y0/CP/Y0CPO3aRm9bb_small.mp4
Unavailable,35.8198,82.1492,997.25,Above Sea Level,2018-10-22,16:17:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0EfJkk5rYmb.json,Y0,RREEPPLLAACCEE/Y0/Ef/Y0EfJkk5rYmb.mp4,RREEPPLLAACCEE/Y0/Ef/Y0EfJkk5rYmb_small.mp4
Unavailable,37.2232,79.7991,256.231,Above Sea Level,2020-11-10,23:02:39,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0I9Wb9n0QQs.json,Y0,RREEPPLLAACCEE/Y0/I9/Y0I9Wb9n0QQs.mp4,RREEPPLLAACCEE/Y0/I9/Y0I9Wb9n0QQs_small.mp4
Unavailable,29.7028,95.3659,13.566,Above Sea Level,2020-04-28,18:34:48,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0IZdk1mnzTY.json,Y0,RREEPPLLAACCEE/Y0/IZ/Y0IZdk1mnzTY.mp4,RREEPPLLAACCEE/Y0/IZ/Y0IZdk1mnzTY_small.mp4
Unavailable,39.0863,77.1636,140.667,Above Sea Level,2020-12-28,18:08:19,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0Kf9D4mKB55.json,Y0,RREEPPLLAACCEE/Y0/Kf/Y0Kf9D4mKB55.mp4,RREEPPLLAACCEE/Y0/Kf/Y0Kf9D4mKB55_small.mp4
Unavailable,40.3196,79.9065,313.469,Above Sea Level,2020-11-30,18:05:32,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0NKKusepNjm.json,Y0,RREEPPLLAACCEE/Y0/NK/Y0NKKusepNjm.mp4,RREEPPLLAACCEE/Y0/NK/Y0NKKusepNjm_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:54:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0O5iZui8RSh.json,Y0,RREEPPLLAACCEE/Y0/O5/Y0O5iZui8RSh.mp4,RREEPPLLAACCEE/Y0/O5/Y0O5iZui8RSh_small.mp4
Unavailable,40.6592,79.8533,0,Unavailable,2020-11-27,02:02:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0Rk2fLYngnj.json,Y0,RREEPPLLAACCEE/Y0/Rk/Y0Rk2fLYngnj.mp4,RREEPPLLAACCEE/Y0/Rk/Y0Rk2fLYngnj_small.mp4
Unavailable,28.9567,82.0144,22.867,Above Sea Level,2020-12-12,17:49:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0SsQNCBUH29.json,Y0,RREEPPLLAACCEE/Y0/Ss/Y0SsQNCBUH29.mp4,RREEPPLLAACCEE/Y0/Ss/Y0SsQNCBUH29_small.mp4
Unavailable,39.0262,84.5281,184.385,Above Sea Level,2020-09-12,15:36:56,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0VR57XWEogF.json,Y0,RREEPPLLAACCEE/Y0/VR/Y0VR57XWEogF.mp4,RREEPPLLAACCEE/Y0/VR/Y0VR57XWEogF_small.mp4
Unavailable,26.9698,82.0342,3.415,Above Sea Level,2020-07-26,22:57:52,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0XLxXaVzWvt.json,Y0,RREEPPLLAACCEE/Y0/XL/Y0XLxXaVzWvt.mp4,RREEPPLLAACCEE/Y0/XL/Y0XLxXaVzWvt_small.mp4
Unavailable,39.4045,119.7484,1394.561,Above Sea Level,2020-11-23,07:29:18,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0Y2aR7r1edy.json,Y0,RREEPPLLAACCEE/Y0/Y2/Y0Y2aR7r1edy.mp4,RREEPPLLAACCEE/Y0/Y2/Y0Y2aR7r1edy_small.mp4
Unavailable,44.5505,100.4872,0,Unavailable,2020-11-09,16:53:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0ZufZh55szq.json,Y0,RREEPPLLAACCEE/Y0/Zu/Y0ZufZh55szq.mp4,RREEPPLLAACCEE/Y0/Zu/Y0ZufZh55szq_small.mp4
Unavailable,28.5811,81.5116,41.66,Above Sea Level,2020-11-29,04:48:34,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0cTj9XtrFnA.json,Y0,RREEPPLLAACCEE/Y0/cT/Y0cTj9XtrFnA.mp4,RREEPPLLAACCEE/Y0/cT/Y0cTj9XtrFnA_small.mp4
Unavailable,33.5864,117.6937,153.818,Above Sea Level,2020-11-10,03:47:41,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0h6DnLF4QPh.json,Y0,RREEPPLLAACCEE/Y0/h6/Y0h6DnLF4QPh.mp4,RREEPPLLAACCEE/Y0/h6/Y0h6DnLF4QPh_small.mp4
Unavailable,35.1978,84.8576,258.66,Above Sea Level,2020-10-23,05:03:00,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0hZeNTGqWKd.json,Y0,RREEPPLLAACCEE/Y0/hZ/Y0hZeNTGqWKd.mp4,RREEPPLLAACCEE/Y0/hZ/Y0hZeNTGqWKd_small.mp4
Unavailable,44.0980,116.9128,669.138,Above Sea Level,2020-12-13,23:51:00,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0jO2wy1Z7RO.json,Y0,RREEPPLLAACCEE/Y0/jO/Y0jO2wy1Z7RO.mp4,RREEPPLLAACCEE/Y0/jO/Y0jO2wy1Z7RO_small.mp4
Unavailable,42.3779,75.8170,357.179,Above Sea Level,2021-01-08,16:27:44,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0lbtpkaZMh8.json,Y0,RREEPPLLAACCEE/Y0/lb/Y0lbtpkaZMh8.mp4,RREEPPLLAACCEE/Y0/lb/Y0lbtpkaZMh8_small.mp4
Unavailable,32.7884,96.8195,0,Unavailable,2019-11-11,02:14:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0m2htkmsNow.json,Y0,RREEPPLLAACCEE/Y0/m2/Y0m2htkmsNow.mp4,RREEPPLLAACCEE/Y0/m2/Y0m2htkmsNow_small.mp4
Unavailable,37.7988,122.2882,4.467,Above Sea Level,2020-10-27,12:47:57,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0m8oAUHmokh.json,Y0,RREEPPLLAACCEE/Y0/m8/Y0m8oAUHmokh.mp4,RREEPPLLAACCEE/Y0/m8/Y0m8oAUHmokh_small.mp4
Unavailable,40.6787,105.0586,1592.159,Above Sea Level,2021-01-07,00:46:15,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0xczgN197Z2.json,Y0,RREEPPLLAACCEE/Y0/xc/Y0xczgN197Z2.mp4,RREEPPLLAACCEE/Y0/xc/Y0xczgN197Z2_small.mp4
Unavailable,25.7687,80.3920,3.22,Above Sea Level,2020-11-21,18:23:40,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0yj29YsJxtA.json,Y0,RREEPPLLAACCEE/Y0/yj/Y0yj29YsJxtA.mp4,RREEPPLLAACCEE/Y0/yj/Y0yj29YsJxtA_small.mp4
Unavailable,40.6701,75.2260,105.02,Above Sea Level,2020-03-01,21:20:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y0zOnUHlIDb6.json,Y0,RREEPPLLAACCEE/Y0/zO/Y0zOnUHlIDb6.mp4,RREEPPLLAACCEE/Y0/zO/Y0zOnUHlIDb6_small.mp4
Unavailable,43.1306,86.1562,0,Unavailable,2020-07-29,03:21:43,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y03LeEAOIjtb.json,y0,RREEPPLLAACCEE/y0/3L/y03LeEAOIjtb.mp4,RREEPPLLAACCEE/y0/3L/y03LeEAOIjtb_small.mp4
Unavailable,34.1201,117.5370,0,Unavailable,2020-12-17,00:44:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y04A8xpHB8Uf.json,y0,RREEPPLLAACCEE/y0/4A/y04A8xpHB8Uf.mp4,RREEPPLLAACCEE/y0/4A/y04A8xpHB8Uf_small.mp4
Unavailable,30.5192,97.8650,330.508,Above Sea Level,2020-11-15,04:50:54,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y04TuRL5fZEn.json,y0,RREEPPLLAACCEE/y0/4T/y04TuRL5fZEn.mp4,RREEPPLLAACCEE/y0/4T/y04TuRL5fZEn_small.mp4
Unavailable,44.4145,103.5103,1048.777,Above Sea Level,2020-08-10,21:44:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y05nun585rrQ.json,y0,RREEPPLLAACCEE/y0/5n/y05nun585rrQ.mp4,RREEPPLLAACCEE/y0/5n/y05nun585rrQ_small.mp4
Unavailable,4.0873,63.1428,0,Unavailable,2020-09-20,22:32:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y07Qx9oMvMrh.json,y0,RREEPPLLAACCEE/y0/7Q/y07Qx9oMvMrh.mp4,RREEPPLLAACCEE/y0/7Q/y07Qx9oMvMrh_small.mp4
Unavailable,41.7077,87.7993,183.623,Above Sea Level,2020-11-26,17:43:40,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y07fhA0Krsos.json,y0,RREEPPLLAACCEE/y0/7f/y07fhA0Krsos.mp4,RREEPPLLAACCEE/y0/7f/y07fhA0Krsos_small.mp4
Unavailable,46.2770,119.2145,145.372,Above Sea Level,2020-10-10,18:27:34,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y09PFaSAT1ms.json,y0,RREEPPLLAACCEE/y0/9P/y09PFaSAT1ms.mp4,RREEPPLLAACCEE/y0/9P/y09PFaSAT1ms_small.mp4
Unavailable,29.6520,95.2329,10.723,Above Sea Level,2020-11-14,21:38:15,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0AWmwU9ClSZ.json,y0,RREEPPLLAACCEE/y0/AW/y0AWmwU9ClSZ.mp4,RREEPPLLAACCEE/y0/AW/y0AWmwU9ClSZ_small.mp4
Unavailable,38.2629,77.7325,120.514,Above Sea Level,2020-11-08,16:20:17,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0ER6BUTFBVM.json,y0,RREEPPLLAACCEE/y0/ER/y0ER6BUTFBVM.mp4,RREEPPLLAACCEE/y0/ER/y0ER6BUTFBVM_small.mp4
Unavailable,53.0479,7.3215,95.01,Above Sea Level,2020-07-24,16:25:09,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0I1qHT6q3Yr.json,y0,RREEPPLLAACCEE/y0/I1/y0I1qHT6q3Yr.mp4,RREEPPLLAACCEE/y0/I1/y0I1qHT6q3Yr_small.mp4
Unavailable,44.5577,75.7288,83.846,Above Sea Level,2020-12-11,05:23:38,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0KTIGCNS75z.json,y0,RREEPPLLAACCEE/y0/KT/y0KTIGCNS75z.mp4,RREEPPLLAACCEE/y0/KT/y0KTIGCNS75z_small.mp4
Unavailable,42.2266,83.2898,191.235,Above Sea Level,2020-07-24,06:44:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0MaOeKhPibT.json,y0,RREEPPLLAACCEE/y0/Ma/y0MaOeKhPibT.mp4,RREEPPLLAACCEE/y0/Ma/y0MaOeKhPibT_small.mp4
Unavailable,41.3393,75.7296,0,Unavailable,2020-11-02,20:04:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0PnfuVreYf1.json,y0,RREEPPLLAACCEE/y0/Pn/y0PnfuVreYf1.mp4,RREEPPLLAACCEE/y0/Pn/y0PnfuVreYf1_small.mp4
Unavailable,36.8341,89.5783,0,Unavailable,2020-11-21,01:39:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0PvUz6eP3m9.json,y0,RREEPPLLAACCEE/y0/Pv/y0PvUz6eP3m9.mp4,RREEPPLLAACCEE/y0/Pv/y0PvUz6eP3m9_small.mp4
Unavailable,40.5398,124.0392,115.223,Above Sea Level,2020-11-12,22:32:44,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0Rz03N9UxkW.json,y0,RREEPPLLAACCEE/y0/Rz/y0Rz03N9UxkW.mp4,RREEPPLLAACCEE/y0/Rz/y0Rz03N9UxkW_small.mp4
Unavailable,40.9328,124.1068,45.19,Above Sea Level,2021-01-06,00:04:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0drZm0Iwx3f.json,y0,RREEPPLLAACCEE/y0/dr/y0drZm0Iwx3f.mp4,RREEPPLLAACCEE/y0/dr/y0drZm0Iwx3f_small.mp4
Unavailable,33.6422,112.2512,368.825,Above Sea Level,2020-11-17,03:28:35,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0gWmItYKsAU.json,y0,RREEPPLLAACCEE/y0/gW/y0gWmItYKsAU.mp4,RREEPPLLAACCEE/y0/gW/y0gWmItYKsAU_small.mp4
Unavailable,40.0136,76.3090,98.781,Above Sea Level,2020-12-18,16:06:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0hj39deRrwA.json,y0,RREEPPLLAACCEE/y0/hj/y0hj39deRrwA.mp4,RREEPPLLAACCEE/y0/hj/y0hj39deRrwA_small.mp4
Unavailable,43.0814,78.9773,174.693,Above Sea Level,2020-11-19,15:19:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0i7B46Z91NO.json,y0,RREEPPLLAACCEE/y0/i7/y0i7B46Z91NO.mp4,RREEPPLLAACCEE/y0/i7/y0i7B46Z91NO_small.mp4
Unavailable,38.8959,77.0302,5.64,Above Sea Level,2020-11-15,04:40:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0jeK4lNrpwg.json,y0,RREEPPLLAACCEE/y0/je/y0jeK4lNrpwg.mp4,RREEPPLLAACCEE/y0/je/y0jeK4lNrpwg_small.mp4
Unavailable,26.7515,80.2427,6.388,Above Sea Level,2020-11-17,21:26:02,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0o98K4Hzph1.json,y0,RREEPPLLAACCEE/y0/o9/y0o98K4Hzph1.mp4,RREEPPLLAACCEE/y0/o9/y0o98K4Hzph1_small.mp4
Unavailable,38.8910,77.0148,0,Unavailable,2021-01-06,19:13:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0pBWrOfmauJ.json,y0,RREEPPLLAACCEE/y0/pB/y0pBWrOfmauJ.mp4,RREEPPLLAACCEE/y0/pB/y0pBWrOfmauJ_small.mp4
Unavailable,37.7376,121.1450,18.785,Above Sea Level,2020-12-13,19:45:24,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0rEK1W6v5x4.json,y0,RREEPPLLAACCEE/y0/rE/y0rEK1W6v5x4.mp4,RREEPPLLAACCEE/y0/rE/y0rEK1W6v5x4_small.mp4
Unavailable,41.5056,81.4668,324.966,Above Sea Level,2020-07-24,13:28:03,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0tmc2bJhYKM.json,y0,RREEPPLLAACCEE/y0/tm/y0tmc2bJhYKM.mp4,RREEPPLLAACCEE/y0/tm/y0tmc2bJhYKM_small.mp4
Unavailable,37.7759,89.1202,126.727,Above Sea Level,2020-11-18,02:13:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-y0xG2sx5rXPZ.json,y0,RREEPPLLAACCEE/y0/xG/y0xG2sx5rXPZ.mp4,RREEPPLLAACCEE/y0/xG/y0xG2sx5rXPZ_small.mp4
