Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
offli,0,0,0,Unavailable,2020-11-06,23:02:03,Unavailable,Unavailable,Unavailable,Unavailable,offli,offli,offli,meta-Z1YcSE6DI7Bd.json,Z1,RREEPPLLAACCEE/Z1/Yc/Z1YcSE6DI7Bd.mp4,RREEPPLLAACCEE/Z1/Yc/Z1YcSE6DI7Bd_small.mp4
zsr9c,0,0,0,Unavailable,2020-09-28,13:47:10,Unavailable,Unavailable,Unavailable,Unavailable,13479,13479,13479,meta-z13Hlmyt8foi.json,z1,RREEPPLLAACCEE/z1/3H/z13Hlmyt8foi.mp4,RREEPPLLAACCEE/z1/3H/z13Hlmyt8foi_small.mp4
Unavailable,54.3141,10.5751,89.993,Above Sea Level,2020-09-27,20:00:11,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z10W13AArX63.json,Z1,RREEPPLLAACCEE/Z1/0W/Z10W13AArX63.mp4,RREEPPLLAACCEE/Z1/0W/Z10W13AArX63_small.mp4
Unavailable,25.6497,80.3324,4.248,Above Sea Level,2021-01-08,17:02:36,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z154DMPR9xor.json,Z1,RREEPPLLAACCEE/Z1/54/Z154DMPR9xor.mp4,RREEPPLLAACCEE/Z1/54/Z154DMPR9xor_small.mp4
Unavailable,28.6169,81.4490,21.432,Above Sea Level,2020-12-01,22:10:53,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z15ceyqVmg8b.json,Z1,RREEPPLLAACCEE/Z1/5c/Z15ceyqVmg8b.mp4,RREEPPLLAACCEE/Z1/5c/Z15ceyqVmg8b_small.mp4
Unavailable,32.6960,117.0150,138.554,Above Sea Level,2020-11-24,23:56:15,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z1B95fjm85yI.json,Z1,RREEPPLLAACCEE/Z1/B9/Z1B95fjm85yI.mp4,RREEPPLLAACCEE/Z1/B9/Z1B95fjm85yI_small.mp4
Unavailable,35.6220,79.0258,67.11,Above Sea Level,2020-12-19,01:29:34,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z1FoNFwA2YiJ.json,Z1,RREEPPLLAACCEE/Z1/Fo/Z1FoNFwA2YiJ.mp4,RREEPPLLAACCEE/Z1/Fo/Z1FoNFwA2YiJ_small.mp4
Unavailable,28.2722,82.6100,10.445,Above Sea Level,2021-01-07,18:32:54,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z1Lo5h59aFUU.json,Z1,RREEPPLLAACCEE/Z1/Lo/Z1Lo5h59aFUU.mp4,RREEPPLLAACCEE/Z1/Lo/Z1Lo5h59aFUU_small.mp4
Unavailable,39.9884,105.1106,1608.443,Above Sea Level,2021-01-09,17:19:27,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z1VF7KAs3wur.json,Z1,RREEPPLLAACCEE/Z1/VF/Z1VF7KAs3wur.mp4,RREEPPLLAACCEE/Z1/VF/Z1VF7KAs3wur_small.mp4
Unavailable,38.8959,77.0313,12.822,Above Sea Level,2020-12-12,17:15:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Z1i7DS6UAgK3.json,Z1,RREEPPLLAACCEE/Z1/i7/Z1i7DS6UAgK3.mp4,RREEPPLLAACCEE/Z1/i7/Z1i7DS6UAgK3_small.mp4
