Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
blanca,0,0,0,Unavailable,2020-11-30,21:36:53,Unavailable,Unavailable,Unavailable,Unavailable,blanca,blanca,blanca,meta-3B7wsaJVgqIw.json,3B,RREEPPLLAACCEE/3B/7w/3B7wsaJVgqIw.mp4,RREEPPLLAACCEE/3B/7w/3B7wsaJVgqIw_small.mp4
brennanreyes,0,0,0,Unavailable,2020-11-13,17:24:16,Unavailable,Unavailable,Unavailable,Unavailable,brennanreyes,brennanreyes,brennanreyes,meta-3BekNTt4B9kN.json,3B,RREEPPLLAACCEE/3B/ek/3BekNTt4B9kN.mp4,RREEPPLLAACCEE/3B/ek/3BekNTt4B9kN_small.mp4
josephdavidsantos,0,0,0,Unavailable,2020-09-30,23:13:42,Unavailable,Unavailable,Unavailable,Unavailable,josephdavidsantos,josephdavidsantos,josephdavidsantos,meta-3b7SCaW7VlVf.json,3b,RREEPPLLAACCEE/3b/7S/3b7SCaW7VlVf.mp4,RREEPPLLAACCEE/3b/7S/3b7SCaW7VlVf_small.mp4
Unavailable,40.7531,86.3818,0,Unavailable,2020-12-29,13:55:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3B6ovazitWdf.json,3B,RREEPPLLAACCEE/3B/6o/3B6ovazitWdf.mp4,RREEPPLLAACCEE/3B/6o/3B6ovazitWdf_small.mp4
Unavailable,40.3713,74.3910,11.539,Above Sea Level,2020-11-22,04:17:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BA14T8xGnWi.json,3B,RREEPPLLAACCEE/3B/A1/3BA14T8xGnWi.mp4,RREEPPLLAACCEE/3B/A1/3BA14T8xGnWi_small.mp4
Unavailable,35.5935,80.8691,0,Unavailable,2020-12-19,22:47:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BJwNyxwuaVA.json,3B,RREEPPLLAACCEE/3B/Jw/3BJwNyxwuaVA.mp4,RREEPPLLAACCEE/3B/Jw/3BJwNyxwuaVA_small.mp4
Unavailable,42.3981,87.9078,205.498,Above Sea Level,2020-09-11,04:23:40,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BNf95lpVIIs.json,3B,RREEPPLLAACCEE/3B/Nf/3BNf95lpVIIs.mp4,RREEPPLLAACCEE/3B/Nf/3BNf95lpVIIs_small.mp4
Unavailable,35.7351,83.7625,435,Above Sea Level,2020-11-03,03:29:31,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BNmZv4kSJ6F.json,3B,RREEPPLLAACCEE/3B/Nm/3BNmZv4kSJ6F.mp4,RREEPPLLAACCEE/3B/Nm/3BNmZv4kSJ6F_small.mp4
Unavailable,28.4945,81.5322,42.652,Above Sea Level,2020-11-12,07:52:59,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BOK0G4RyGm7.json,3B,RREEPPLLAACCEE/3B/OK/3BOK0G4RyGm7.mp4,RREEPPLLAACCEE/3B/OK/3BOK0G4RyGm7_small.mp4
Unavailable,41.8974,71.3857,18.15,Above Sea Level,2020-11-17,20:59:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BPTxGXls7ZQ.json,3B,RREEPPLLAACCEE/3B/PT/3BPTxGXls7ZQ.mp4,RREEPPLLAACCEE/3B/PT/3BPTxGXls7ZQ_small.mp4
Unavailable,38.9010,77.0364,31.413,Above Sea Level,2020-11-13,20:33:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BS8LuDCIhVK.json,3B,RREEPPLLAACCEE/3B/S8/3BS8LuDCIhVK.mp4,RREEPPLLAACCEE/3B/S8/3BS8LuDCIhVK_small.mp4
Unavailable,39.7167,75.6631,20,Above Sea Level,2020-11-16,21:26:01,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BXIKfTWEWmR.json,3B,RREEPPLLAACCEE/3B/XI/3BXIKfTWEWmR.mp4,RREEPPLLAACCEE/3B/XI/3BXIKfTWEWmR_small.mp4
Unavailable,44.5233,112.1948,0,Unavailable,2020-11-28,18:56:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BiHKmBF0sB0.json,3B,RREEPPLLAACCEE/3B/iH/3BiHKmBF0sB0.mp4,RREEPPLLAACCEE/3B/iH/3BiHKmBF0sB0_small.mp4
Unavailable,42.7792,83.7952,298.414,Above Sea Level,2020-10-24,15:35:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BpNC1UP4C5p.json,3B,RREEPPLLAACCEE/3B/pN/3BpNC1UP4C5p.mp4,RREEPPLLAACCEE/3B/pN/3BpNC1UP4C5p_small.mp4
Unavailable,38.8923,77.0089,20.658,Above Sea Level,2020-11-14,17:32:52,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3Bq2asfrddq8.json,3B,RREEPPLLAACCEE/3B/q2/3Bq2asfrddq8.mp4,RREEPPLLAACCEE/3B/q2/3Bq2asfrddq8_small.mp4
Unavailable,35.6106,82.6165,740.15,Above Sea Level,2020-10-05,01:18:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BtfB0h3xwQf.json,3B,RREEPPLLAACCEE/3B/tf/3BtfB0h3xwQf.mp4,RREEPPLLAACCEE/3B/tf/3BtfB0h3xwQf_small.mp4
Unavailable,36.0360,115.0072,567.688,Above Sea Level,2020-09-14,02:13:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3BvwDNf2af5O.json,3B,RREEPPLLAACCEE/3B/vw/3BvwDNf2af5O.mp4,RREEPPLLAACCEE/3B/vw/3BvwDNf2af5O_small.mp4
Unavailable,39.7657,86.3758,259.045,Above Sea Level,2020-12-08,15:09:39,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3b58WczT4hAf.json,3b,RREEPPLLAACCEE/3b/58/3b58WczT4hAf.mp4,RREEPPLLAACCEE/3b/58/3b58WczT4hAf_small.mp4
Unavailable,39.6334,77.8062,134.555,Above Sea Level,2020-12-16,22:52:19,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bBkQDsU0Qig.json,3b,RREEPPLLAACCEE/3b/Bk/3bBkQDsU0Qig.mp4,RREEPPLLAACCEE/3b/Bk/3bBkQDsU0Qig_small.mp4
Unavailable,40.4116,111.8910,1380.033,Above Sea Level,2020-12-06,04:59:55,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bDHdmqE67KS.json,3b,RREEPPLLAACCEE/3b/DH/3bDHdmqE67KS.mp4,RREEPPLLAACCEE/3b/DH/3bDHdmqE67KS_small.mp4
Unavailable,34.6793,118.9880,1803.604,Above Sea Level,2020-11-14,22:27:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bO57xs1ESiR.json,3b,RREEPPLLAACCEE/3b/O5/3bO57xs1ESiR.mp4,RREEPPLLAACCEE/3b/O5/3bO57xs1ESiR_small.mp4
Unavailable,41.9822,88.3492,239.302,Above Sea Level,2020-11-17,16:33:29,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bYFYrfJxOfr.json,3b,RREEPPLLAACCEE/3b/YF/3bYFYrfJxOfr.mp4,RREEPPLLAACCEE/3b/YF/3bYFYrfJxOfr_small.mp4
Unavailable,28.0739,82.0247,0,Unavailable,2020-11-12,15:24:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bZcwrsZOquO.json,3b,RREEPPLLAACCEE/3b/Zc/3bZcwrsZOquO.mp4,RREEPPLLAACCEE/3b/Zc/3bZcwrsZOquO_small.mp4
Unavailable,35.4668,117.5993,0,Unavailable,2020-10-25,06:20:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bafVbjWeuIC.json,3b,RREEPPLLAACCEE/3b/af/3bafVbjWeuIC.mp4,RREEPPLLAACCEE/3b/af/3bafVbjWeuIC_small.mp4
Unavailable,43.6530,116.9425,688.45,Above Sea Level,2020-11-07,20:55:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bazRDWOUIVm.json,3b,RREEPPLLAACCEE/3b/az/3bazRDWOUIVm.mp4,RREEPPLLAACCEE/3b/az/3bazRDWOUIVm_small.mp4
Unavailable,41.6035,83.1967,180.69,Above Sea Level,2021-01-07,14:34:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bhrzw0Tj81P.json,3b,RREEPPLLAACCEE/3b/hr/3bhrzw0Tj81P.mp4,RREEPPLLAACCEE/3b/hr/3bhrzw0Tj81P_small.mp4
Unavailable,26.4006,80.1096,4.694,Above Sea Level,2020-11-19,20:48:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bkexZ8E2ZkV.json,3b,RREEPPLLAACCEE/3b/ke/3bkexZ8E2ZkV.mp4,RREEPPLLAACCEE/3b/ke/3bkexZ8E2ZkV_small.mp4
Unavailable,33.4424,112.0778,328.77,Above Sea Level,2020-11-06,21:36:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3bpJU386TcT3.json,3b,RREEPPLLAACCEE/3b/pJ/3bpJU386TcT3.mp4,RREEPPLLAACCEE/3b/pJ/3bpJU386TcT3_small.mp4
