Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Lucy,0,0,0,Unavailable,2020-10-25,09:51:50,Unavailable,Unavailable,Unavailable,Unavailable,Lucy,Lucy,Lucy,meta-CUYrWCyshYiD.json,CU,RREEPPLLAACCEE/CU/Yr/CUYrWCyshYiD.mp4,RREEPPLLAACCEE/CU/Yr/CUYrWCyshYiD_small.mp4
miguelperales,0,0,0,Unavailable,2020-12-23,21:17:11,Unavailable,Unavailable,Unavailable,Unavailable,miguelperales,miguelperales,miguelperales,meta-CUvMPjJa0tjT.json,CU,RREEPPLLAACCEE/CU/vM/CUvMPjJa0tjT.mp4,RREEPPLLAACCEE/CU/vM/CUvMPjJa0tjT_small.mp4
caitlincaggiano,0,0,0,Unavailable,2020-11-15,22:52:56,Unavailable,Unavailable,Unavailable,Unavailable,caitlincaggiano,caitlincaggiano,caitlincaggiano,meta-cUeXHckG0xXl.json,cU,RREEPPLLAACCEE/cU/eX/cUeXHckG0xXl.mp4,RREEPPLLAACCEE/cU/eX/cUeXHckG0xXl_small.mp4
tom,0,0,0,Unavailable,2020-05-25,10:37:41,Unavailable,Unavailable,Unavailable,Unavailable,tom,tom,tom,meta-cu6ZnJaH1i13.json,cu,RREEPPLLAACCEE/cu/6Z/cu6ZnJaH1i13.mp4,RREEPPLLAACCEE/cu/6Z/cu6ZnJaH1i13_small.mp4
ianfortin,0,0,0,Unavailable,2020-11-15,18:30:38,Unavailable,Unavailable,Unavailable,Unavailable,ianfortin,ianfortin,ianfortin,meta-cuzQiXLByDbH.json,cu,RREEPPLLAACCEE/cu/zQ/cuzQiXLByDbH.mp4,RREEPPLLAACCEE/cu/zQ/cuzQiXLByDbH_small.mp4
Unavailable,29.4810,81.1275,3.74,Above Sea Level,2020-11-28,21:21:42,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CU415jVapfDx.json,CU,RREEPPLLAACCEE/CU/41/CU415jVapfDx.mp4,RREEPPLLAACCEE/CU/41/CU415jVapfDx_small.mp4
Unavailable,40.6467,80.5683,366.687,Above Sea Level,2021-01-08,01:09:40,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CU4u0iuRDtJX.json,CU,RREEPPLLAACCEE/CU/4u/CU4u0iuRDtJX.mp4,RREEPPLLAACCEE/CU/4u/CU4u0iuRDtJX_small.mp4
Unavailable,47.7885,122.1563,92.685,Above Sea Level,2019-07-13,17:40:08,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CU76BkiGEN8Q.json,CU,RREEPPLLAACCEE/CU/76/CU76BkiGEN8Q.mp4,RREEPPLLAACCEE/CU/76/CU76BkiGEN8Q_small.mp4
Unavailable,36.7128,80.8441,754.271,Above Sea Level,2020-11-13,22:32:04,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CU7UKEwG2xcL.json,CU,RREEPPLLAACCEE/CU/7U/CU7UKEwG2xcL.mp4,RREEPPLLAACCEE/CU/7U/CU7UKEwG2xcL_small.mp4
Unavailable,28.6170,81.4490,21.025,Above Sea Level,2020-11-10,01:27:47,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUHqlWh2a8UJ.json,CU,RREEPPLLAACCEE/CU/Hq/CUHqlWh2a8UJ.mp4,RREEPPLLAACCEE/CU/Hq/CUHqlWh2a8UJ_small.mp4
Unavailable,31.9703,81.2230,9.081,Above Sea Level,2020-11-21,22:56:43,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUJMHf0CmFnW.json,CU,RREEPPLLAACCEE/CU/JM/CUJMHf0CmFnW.mp4,RREEPPLLAACCEE/CU/JM/CUJMHf0CmFnW_small.mp4
Unavailable,29.9418,95.6181,0,Unavailable,2020-07-07,22:05:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUKjyJeRjeSw.json,CU,RREEPPLLAACCEE/CU/Kj/CUKjyJeRjeSw.mp4,RREEPPLLAACCEE/CU/Kj/CUKjyJeRjeSw_small.mp4
Unavailable,30.0715,95.9466,0,Unavailable,2020-08-25,20:35:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUOnXs6MeDVm.json,CU,RREEPPLLAACCEE/CU/On/CUOnXs6MeDVm.mp4,RREEPPLLAACCEE/CU/On/CUOnXs6MeDVm_small.mp4
Unavailable,31.5632,97.1954,165.363,Above Sea Level,2020-12-01,21:47:36,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUS94e7jk8it.json,CU,RREEPPLLAACCEE/CU/S9/CUS94e7jk8it.mp4,RREEPPLLAACCEE/CU/S9/CUS94e7jk8it_small.mp4
Unavailable,32.1849,95.3227,143.67,Above Sea Level,2020-12-11,19:52:00,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUYLqfYQOr8N.json,CU,RREEPPLLAACCEE/CU/YL/CUYLqfYQOr8N.mp4,RREEPPLLAACCEE/CU/YL/CUYLqfYQOr8N_small.mp4
Unavailable,32.2640,107.8147,1342.841,Above Sea Level,2020-11-21,18:49:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CUYPBYA06iiw.json,CU,RREEPPLLAACCEE/CU/YP/CUYPBYA06iiw.mp4,RREEPPLLAACCEE/CU/YP/CUYPBYA06iiw_small.mp4
