Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Melanie,0,0,0,Unavailable,2020-12-10,02:48:07,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-ONdHOSP4aruH.json,ON,RREEPPLLAACCEE/ON/dH/ONdHOSP4aruH.mp4,RREEPPLLAACCEE/ON/dH/ONdHOSP4aruH_small.mp4
marks,0,0,0,Unavailable,2020-11-10,21:39:11,Unavailable,Unavailable,Unavailable,Unavailable,marks,markstout,markstout,meta-ONh6Cf0WLRqp.json,ON,RREEPPLLAACCEE/ON/h6/ONh6Cf0WLRqp.mp4,RREEPPLLAACCEE/ON/h6/ONh6Cf0WLRqp_small.mp4
andrea,0,0,0,Unavailable,2020-12-11,14:10:16,Unavailable,Unavailable,Unavailable,Unavailable,andrea,andrea,andrea,meta-ONymuLPUPy2z.json,ON,RREEPPLLAACCEE/ON/ym/ONymuLPUPy2z.mp4,RREEPPLLAACCEE/ON/ym/ONymuLPUPy2z_small.mp4
qanon,0,0,0,Unavailable,2020-11-12,04:07:23,Canon,,Unavailable,Unavailable,qanon,qanon,qanon,meta-OniBdwB2mdXu.json,On,RREEPPLLAACCEE/On/iB/OniBdwB2mdXu.mp4,RREEPPLLAACCEE/On/iB/OniBdwB2mdXu_small.mp4
dmlon,0,0,0,Unavailable,2020-12-19,00:02:12,Unavailable,,Unavailable,Unavailable,dmlon,dmlon,dmlon,meta-oNSLTxpdEKyq.json,oN,RREEPPLLAACCEE/oN/SL/oNSLTxpdEKyq.mp4,RREEPPLLAACCEE/oN/SL/oNSLTxpdEKyq_small.mp4
arodriguez,0,0,0,Unavailable,2020-10-13,16:52:01,Unavailable,Unavailable,Unavailable,Unavailable,arodriguez,arodriguez,arodriguez,meta-oNboDk4D3B8a.json,oN,RREEPPLLAACCEE/oN/bo/oNboDk4D3B8a.mp4,RREEPPLLAACCEE/oN/bo/oNboDk4D3B8a_small.mp4
marks,0,0,0,Unavailable,2020-11-21,13:20:32,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-oNgYQo1eq2Ho.json,oN,RREEPPLLAACCEE/oN/gY/oNgYQo1eq2Ho.mp4,RREEPPLLAACCEE/oN/gY/oNgYQo1eq2Ho_small.mp4
Unavailable,34.1019,84.0070,315.88,Above Sea Level,2021-01-02,23:18:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ON0mH0iXvox6.json,ON,RREEPPLLAACCEE/ON/0m/ON0mH0iXvox6.mp4,RREEPPLLAACCEE/ON/0m/ON0mH0iXvox6_small.mp4
Unavailable,33.9368,78.5414,14.056,Above Sea Level,2020-11-14,21:33:42,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ON0zpSFI85J3.json,ON,RREEPPLLAACCEE/ON/0z/ON0zpSFI85J3.mp4,RREEPPLLAACCEE/ON/0z/ON0zpSFI85J3_small.mp4
Unavailable,35.5034,81.9819,364.547,Above Sea Level,2020-10-29,12:30:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ON4BNpo4vZ4F.json,ON,RREEPPLLAACCEE/ON/4B/ON4BNpo4vZ4F.mp4,RREEPPLLAACCEE/ON/4B/ON4BNpo4vZ4F_small.mp4
