Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
administrator,0,0,0,Unavailable,2020-09-12,16:42:51,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-VLHcjoautSe7.json,VL,RREEPPLLAACCEE/VL/Hc/VLHcjoautSe7.mp4,RREEPPLLAACCEE/VL/Hc/VLHcjoautSe7_small.mp4
reina,0,0,0,Unavailable,2020-11-02,14:12:17,Unavailable,Unavailable,Unavailable,Unavailable,reina,reina,reina,meta-VLUXivJVuW3n.json,VL,RREEPPLLAACCEE/VL/UX/VLUXivJVuW3n.mp4,RREEPPLLAACCEE/VL/UX/VLUXivJVuW3n_small.mp4
Ling,0,0,0,Unavailable,2020-11-19,15:11:04,Unavailable,Unavailable,Unavailable,Unavailable,Ling,Ling,Ling,meta-VlyK31B7mrPo.json,Vl,RREEPPLLAACCEE/Vl/yK/VlyK31B7mrPo.mp4,RREEPPLLAACCEE/Vl/yK/VlyK31B7mrPo_small.mp4
vince,0,0,0,Unavailable,2020-09-25,04:36:57,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-vlDruItyU6LI.json,vl,RREEPPLLAACCEE/vl/Dr/vlDruItyU6LI.mp4,RREEPPLLAACCEE/vl/Dr/vlDruItyU6LI_small.mp4
David,0,0,0,Unavailable,2020-08-28,15:31:45,Unavailable,Unavailable,Unavailable,Unavailable,David,David,David,meta-vlOZjfTqD4nm.json,vl,RREEPPLLAACCEE/vl/OZ/vlOZjfTqD4nm.mp4,RREEPPLLAACCEE/vl/OZ/vlOZjfTqD4nm_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-14,16:52:52,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-vlUazcrwXnzQ.json,vl,RREEPPLLAACCEE/vl/Ua/vlUazcrwXnzQ.mp4,RREEPPLLAACCEE/vl/Ua/vlUazcrwXnzQ_small.mp4
Unavailable,13.5147,144.8060,7.626,Above Sea Level,2020-12-01,22:29:16,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VL3G2Y1hhTVu.json,VL,RREEPPLLAACCEE/VL/3G/VL3G2Y1hhTVu.mp4,RREEPPLLAACCEE/VL/3G/VL3G2Y1hhTVu_small.mp4
Unavailable,40.7401,73.4370,23.661,Above Sea Level,2020-10-06,02:28:09,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VL3dkili7jUI.json,VL,RREEPPLLAACCEE/VL/3d/VL3dkili7jUI.mp4,RREEPPLLAACCEE/VL/3d/VL3dkili7jUI_small.mp4
Unavailable,38.1468,121.2846,14.027,Above Sea Level,2020-11-03,01:41:18,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VL9E9jtCm6vO.json,VL,RREEPPLLAACCEE/VL/9E/VL9E9jtCm6vO.mp4,RREEPPLLAACCEE/VL/9E/VL9E9jtCm6vO_small.mp4
Unavailable,41.5773,86.9792,235.666,Above Sea Level,2020-11-30,22:27:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VL9WLm0ClWuC.json,VL,RREEPPLLAACCEE/VL/9W/VL9WLm0ClWuC.mp4,RREEPPLLAACCEE/VL/9W/VL9WLm0ClWuC_small.mp4
Unavailable,35.8481,80.8386,257.649,Above Sea Level,2020-08-16,02:07:05,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VLAH3yfYkaEc.json,VL,RREEPPLLAACCEE/VL/AH/VLAH3yfYkaEc.mp4,RREEPPLLAACCEE/VL/AH/VLAH3yfYkaEc_small.mp4
Unavailable,5.7779,35.2030,6.782,Above Sea Level,2020-08-03,20:54:51,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VLBx8FyqTTvh.json,VL,RREEPPLLAACCEE/VL/Bx/VLBx8FyqTTvh.mp4,RREEPPLLAACCEE/VL/Bx/VLBx8FyqTTvh_small.mp4
Unavailable,38.5060,82.7449,176.21,Above Sea Level,2017-09-29,23:23:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VLGpSSfO4bEn.json,VL,RREEPPLLAACCEE/VL/Gp/VLGpSSfO4bEn.mp4,RREEPPLLAACCEE/VL/Gp/VLGpSSfO4bEn_small.mp4
Unavailable,34.2823,119.1858,97.852,Above Sea Level,2020-06-29,21:50:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VLIiBWexFoBN.json,VL,RREEPPLLAACCEE/VL/Ii/VLIiBWexFoBN.mp4,RREEPPLLAACCEE/VL/Ii/VLIiBWexFoBN_small.mp4
