Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Administrator,0,0,0,Unavailable,2020-11-14,12:54:28,Unavailable,Unavailable,Unavailable,Unavailable,Administrator,Administrator,Administrator,meta-WZ0iFYlHShen.json,WZ,RREEPPLLAACCEE/WZ/0i/WZ0iFYlHShen.mp4,RREEPPLLAACCEE/WZ/0i/WZ0iFYlHShen_small.mp4
marks,0,0,0,Unavailable,2020-11-07,01:36:52,Unavailable,Unavailable,Unavailable,Unavailable,markstout,marks,markstout,meta-WzjFOkL5Lv0g.json,Wz,RREEPPLLAACCEE/Wz/jF/WzjFOkL5Lv0g.mp4,RREEPPLLAACCEE/Wz/jF/WzjFOkL5Lv0g_small.mp4
recon,0,0,0,Unavailable,2021-01-10,02:14:17,Unavailable,Unavailable,Unavailable,Unavailable,recon,recon,recon,meta-wZzYcUDQa3VM.json,wZ,RREEPPLLAACCEE/wZ/zY/wZzYcUDQa3VM.mp4,RREEPPLLAACCEE/wZ/zY/wZzYcUDQa3VM_small.mp4
stephenmorton,0,0,0,Unavailable,2020-11-11,16:19:47,Unavailable,Unavailable,Unavailable,Unavailable,stephenmorton,stephenmorton,stephenmorton,meta-wzb9R9dFnIhb.json,wz,RREEPPLLAACCEE/wz/b9/wzb9R9dFnIhb.mp4,RREEPPLLAACCEE/wz/b9/wzb9R9dFnIhb_small.mp4
Rumen,0,0,0,Unavailable,2020-08-19,02:31:25,Unavailable,Unavailable,Unavailable,Unavailable,Rumen,Rumen,Rumen,meta-wzuCMM10p0AB.json,wz,RREEPPLLAACCEE/wz/uC/wzuCMM10p0AB.mp4,RREEPPLLAACCEE/wz/uC/wzuCMM10p0AB_small.mp4
Unavailable,36.0586,115.0738,586.405,Above Sea Level,2020-09-14,09:19:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WZ1wZqX2o554.json,WZ,RREEPPLLAACCEE/WZ/1w/WZ1wZqX2o554.mp4,RREEPPLLAACCEE/WZ/1w/WZ1wZqX2o554_small.mp4
Unavailable,22.7449,43.4414,67.746,Above Sea Level,2020-08-10,21:33:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WZ56drnQefqn.json,WZ,RREEPPLLAACCEE/WZ/56/WZ56drnQefqn.mp4,RREEPPLLAACCEE/WZ/56/WZ56drnQefqn_small.mp4
Unavailable,28.3561,81.5905,32.377,Above Sea Level,2020-11-13,14:12:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WZD5baJKbz1D.json,WZ,RREEPPLLAACCEE/WZ/D5/WZD5baJKbz1D.mp4,RREEPPLLAACCEE/WZ/D5/WZD5baJKbz1D_small.mp4
Unavailable,41.7632,70.6982,2.91,Above Sea Level,2020-11-10,16:42:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WZKtlI0crFtN.json,WZ,RREEPPLLAACCEE/WZ/Kt/WZKtlI0crFtN.mp4,RREEPPLLAACCEE/WZ/Kt/WZKtlI0crFtN_small.mp4
Unavailable,35.2849,94.4110,202.637,Above Sea Level,2020-08-10,19:00:28,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WZL1bvLmkeoQ.json,WZ,RREEPPLLAACCEE/WZ/L1/WZL1bvLmkeoQ.mp4,RREEPPLLAACCEE/WZ/L1/WZL1bvLmkeoQ_small.mp4
