Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
olivierconrardy,0,0,0,Unavailable,2020-02-28,19:56:05,Unavailable,Unavailable,Unavailable,Unavailable,olivierconrardy,olivierconrardy,olivierconrardy,meta-OX1phS8mDISv.json,OX,RREEPPLLAACCEE/OX/1p/OX1phS8mDISv.mp4,RREEPPLLAACCEE/OX/1p/OX1phS8mDISv_small.mp4
anthony072420,0,0,0,Unavailable,2021-01-04,14:15:58,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-OX4t6mZzYEQT.json,OX,RREEPPLLAACCEE/OX/4t/OX4t6mZzYEQT.mp4,RREEPPLLAACCEE/OX/4t/OX4t6mZzYEQT_small.mp4
VG Premiere,0,0,0,Unavailable,2020-12-15,19:42:48,Unavailable,Unavailable,Unavailable,Unavailable,VG Premiere,VG Premiere,VG Premiere,meta-OXMVZbSh4HVJ.json,OX,RREEPPLLAACCEE/OX/MV/OXMVZbSh4HVJ.mp4,RREEPPLLAACCEE/OX/MV/OXMVZbSh4HVJ_small.mp4
Oleksandr,0,0,0,Unavailable,2020-11-23,21:42:21,Unavailable,Unavailable,Unavailable,Unavailable,Oleksandr,Oleksandr,Oleksandr,meta-OxCzRt5DTYjN.json,Ox,RREEPPLLAACCEE/Ox/Cz/OxCzRt5DTYjN.mp4,RREEPPLLAACCEE/Ox/Cz/OxCzRt5DTYjN_small.mp4
Matt,0,0,0,Unavailable,2021-01-03,21:16:03,Unavailable,Unavailable,Unavailable,Unavailable,Matt,Matt,Matt,meta-Oxz6sxl0Qx47.json,Ox,RREEPPLLAACCEE/Ox/z6/Oxz6sxl0Qx47.mp4,RREEPPLLAACCEE/Ox/z6/Oxz6sxl0Qx47_small.mp4
earth,0,0,0,Unavailable,2020-12-04,22:16:38,Unavailable,Unavailable,Unavailable,Unavailable,earth,earth,earth,meta-oX75Pd63KzaJ.json,oX,RREEPPLLAACCEE/oX/75/oX75Pd63KzaJ.mp4,RREEPPLLAACCEE/oX/75/oX75Pd63KzaJ_small.mp4
pablodiaz,0,0,0,Unavailable,2020-09-24,03:24:14,Unavailable,Unavailable,Unavailable,Unavailable,pablodiaz,pablodiaz,pablodiaz,meta-oXSmjwOYVUGG.json,oX,RREEPPLLAACCEE/oX/Sm/oXSmjwOYVUGG.mp4,RREEPPLLAACCEE/oX/Sm/oXSmjwOYVUGG_small.mp4
matthew,0,0,0,Unavailable,2020-11-24,20:56:22,Canon,,,,matthew,matthew,matthew,meta-oXr3NPp7Yo2f.json,oX,RREEPPLLAACCEE/oX/r3/oXr3NPp7Yo2f.mp4,RREEPPLLAACCEE/oX/r3/oXr3NPp7Yo2f_small.mp4
audiovisualccsm-22,0,0,0,Unavailable,2020-09-06,01:39:03,Sony,,,Unavailable,audiovisualccsm-22,audiovisualccsm-22,audiovisualccsm-22,meta-oXtYVX4BVq4F.json,oX,RREEPPLLAACCEE/oX/tY/oXtYVX4BVq4F.mp4,RREEPPLLAACCEE/oX/tY/oXtYVX4BVq4F_small.mp4
michaelwilde,0,0,0,Unavailable,2020-10-09,18:18:40,Unavailable,Unavailable,Unavailable,Unavailable,michaelwilde,michaelwilde,michaelwilde,meta-ox0rrBGUlSW4.json,ox,RREEPPLLAACCEE/ox/0r/ox0rrBGUlSW4.mp4,RREEPPLLAACCEE/ox/0r/ox0rrBGUlSW4_small.mp4
Unavailable,43.0790,79.0779,0,Unavailable,2020-07-20,15:53:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OX0YDB28nelB.json,OX,RREEPPLLAACCEE/OX/0Y/OX0YDB28nelB.mp4,RREEPPLLAACCEE/OX/0Y/OX0YDB28nelB_small.mp4
Unavailable,43.0878,77.5734,172.43,Above Sea Level,2020-12-04,01:55:44,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OX71am4udHcd.json,OX,RREEPPLLAACCEE/OX/71/OX71am4udHcd.mp4,RREEPPLLAACCEE/OX/71/OX71am4udHcd_small.mp4
Unavailable,37.5465,77.4342,50.375,Above Sea Level,2018-08-23,03:32:21,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OX80gGYDDsP5.json,OX,RREEPPLLAACCEE/OX/80/OX80gGYDDsP5.mp4,RREEPPLLAACCEE/OX/80/OX80gGYDDsP5_small.mp4
Unavailable,44.0778,103.2590,0,Unavailable,2020-12-28,16:21:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OXF6kEfjKTTT.json,OX,RREEPPLLAACCEE/OX/F6/OXF6kEfjKTTT.mp4,RREEPPLLAACCEE/OX/F6/OXF6kEfjKTTT_small.mp4
Unavailable,38.0603,93.2707,266.923,Above Sea Level,2020-12-26,20:24:21,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OXFZPMoBlBmz.json,OX,RREEPPLLAACCEE/OX/FZ/OXFZPMoBlBmz.mp4,RREEPPLLAACCEE/OX/FZ/OXFZPMoBlBmz_small.mp4
Unavailable,37.2168,93.3192,0,Unavailable,2020-09-15,01:01:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OXMi36jCjaiA.json,OX,RREEPPLLAACCEE/OX/Mi/OXMi36jCjaiA.mp4,RREEPPLLAACCEE/OX/Mi/OXMi36jCjaiA_small.mp4
Unavailable,40.7485,73.1679,8.737,Above Sea Level,2020-09-29,22:46:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-OXPu4nRRQqx2.json,OX,RREEPPLLAACCEE/OX/Pu/OXPu4nRRQqx2.mp4,RREEPPLLAACCEE/OX/Pu/OXPu4nRRQqx2_small.mp4
