Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
samue,0,0,0,Unavailable,2021-01-05,05:57:55,Unavailable,,Unavailable,Unavailable,samue,samue,samue,meta-TE17l5WqnFqI.json,TE,RREEPPLLAACCEE/TE/17/TE17l5WqnFqI.mp4,RREEPPLLAACCEE/TE/17/TE17l5WqnFqI_small.mp4
jordi,0,0,0,Unavailable,2020-09-03,13:49:05,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-TEPU2DYOV7W5.json,TE,RREEPPLLAACCEE/TE/PU/TEPU2DYOV7W5.mp4,RREEPPLLAACCEE/TE/PU/TEPU2DYOV7W5_small.mp4
Chad and Colleen,0,0,0,Unavailable,2020-09-21,04:35:19,Unavailable,Unavailable,Unavailable,Unavailable,Chad and Colleen,Chad and Colleen,Chad and Colleen,meta-TEf7Ih2Fxg6I.json,TE,RREEPPLLAACCEE/TE/f7/TEf7Ih2Fxg6I.mp4,RREEPPLLAACCEE/TE/f7/TEf7Ih2Fxg6I_small.mp4
admin,0,0,0,Unavailable,2020-10-19,18:25:44,Unavailable,Unavailable,Unavailable,Unavailable,kakorol,kakorol,kakorol,meta-TeSzf8YFD3N6.json,Te,RREEPPLLAACCEE/Te/Sz/TeSzf8YFD3N6.mp4,RREEPPLLAACCEE/Te/Sz/TeSzf8YFD3N6_small.mp4
qanon,0,0,0,Unavailable,2020-10-31,03:56:15,Canon,,Unavailable,Unavailable,qanon,qanon,qanon,meta-TeuDxRPkxGGx.json,Te,RREEPPLLAACCEE/Te/uD/TeuDxRPkxGGx.mp4,RREEPPLLAACCEE/Te/uD/TeuDxRPkxGGx_small.mp4
Shane,0,0,0,Unavailable,2020-12-03,06:35:27,Unavailable,Unavailable,Unavailable,Unavailable,Shane,Shane,Shane,meta-teaS9zU3loqg.json,te,RREEPPLLAACCEE/te/aS/teaS9zU3loqg.mp4,RREEPPLLAACCEE/te/aS/teaS9zU3loqg_small.mp4
Unavailable,47.7384,122.1370,105.642,Above Sea Level,2020-07-28,13:11:21,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TE30EYSjkDxI.json,TE,RREEPPLLAACCEE/TE/30/TE30EYSjkDxI.mp4,RREEPPLLAACCEE/TE/30/TE30EYSjkDxI_small.mp4
Unavailable,34.2628,97.1967,282.636,Above Sea Level,2020-12-12,01:22:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TE5jrnETMRVM.json,TE,RREEPPLLAACCEE/TE/5j/TE5jrnETMRVM.mp4,RREEPPLLAACCEE/TE/5j/TE5jrnETMRVM_small.mp4
Unavailable,43.6219,79.5213,107.527,Above Sea Level,2020-10-31,01:53:21,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TE9Dn4etpOmT.json,TE,RREEPPLLAACCEE/TE/9D/TE9Dn4etpOmT.mp4,RREEPPLLAACCEE/TE/9D/TE9Dn4etpOmT_small.mp4
Unavailable,29.9198,90.0057,0,Unavailable,2020-06-21,00:15:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEAhZpGuIRzg.json,TE,RREEPPLLAACCEE/TE/Ah/TEAhZpGuIRzg.mp4,RREEPPLLAACCEE/TE/Ah/TEAhZpGuIRzg_small.mp4
Unavailable,43.0757,25.3577,381.514,Above Sea Level,2020-11-20,04:16:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEB8imM1Ki4K.json,TE,RREEPPLLAACCEE/TE/B8/TEB8imM1Ki4K.mp4,RREEPPLLAACCEE/TE/B8/TEB8imM1Ki4K_small.mp4
Unavailable,34.5509,112.4731,1640.337,Above Sea Level,2020-11-14,03:32:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEHMFzBZbvlj.json,TE,RREEPPLLAACCEE/TE/HM/TEHMFzBZbvlj.mp4,RREEPPLLAACCEE/TE/HM/TEHMFzBZbvlj_small.mp4
Unavailable,38.4215,121.3849,13.108,Above Sea Level,2020-08-26,01:01:32,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEI0HofEuKZi.json,TE,RREEPPLLAACCEE/TE/I0/TEI0HofEuKZi.mp4,RREEPPLLAACCEE/TE/I0/TEI0HofEuKZi_small.mp4
Unavailable,33.9025,84.3094,316.81,Above Sea Level,2020-06-28,16:51:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEIGKGPtAaiy.json,TE,RREEPPLLAACCEE/TE/IG/TEIGKGPtAaiy.mp4,RREEPPLLAACCEE/TE/IG/TEIGKGPtAaiy_small.mp4
Unavailable,30.3632,88.5463,4.896,Above Sea Level,2020-11-08,16:12:20,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEKePTh8gTJq.json,TE,RREEPPLLAACCEE/TE/Ke/TEKePTh8gTJq.mp4,RREEPPLLAACCEE/TE/Ke/TEKePTh8gTJq_small.mp4
Unavailable,38.2630,104.6131,1422.13,Above Sea Level,2020-06-19,14:35:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEMRwfwzshhV.json,TE,RREEPPLLAACCEE/TE/MR/TEMRwfwzshhV.mp4,RREEPPLLAACCEE/TE/MR/TEMRwfwzshhV_small.mp4
Unavailable,43.0841,75.4088,0,Unavailable,2020-11-08,21:52:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEVNvdcguOvC.json,TE,RREEPPLLAACCEE/TE/VN/TEVNvdcguOvC.mp4,RREEPPLLAACCEE/TE/VN/TEVNvdcguOvC_small.mp4
Unavailable,33.1286,96.6191,196.331,Above Sea Level,2020-11-23,09:50:38,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEaKQPIrQG74.json,TE,RREEPPLLAACCEE/TE/aK/TEaKQPIrQG74.mp4,RREEPPLLAACCEE/TE/aK/TEaKQPIrQG74_small.mp4
Unavailable,35.8482,80.8385,255.653,Above Sea Level,2020-10-14,01:06:34,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEmKzsQRsGSO.json,TE,RREEPPLLAACCEE/TE/mK/TEmKzsQRsGSO.mp4,RREEPPLLAACCEE/TE/mK/TEmKzsQRsGSO_small.mp4
Unavailable,29.8329,95.7143,0,Unavailable,2020-10-13,15:25:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TExZgD3olxHP.json,TE,RREEPPLLAACCEE/TE/xZ/TExZgD3olxHP.mp4,RREEPPLLAACCEE/TE/xZ/TExZgD3olxHP_small.mp4
Unavailable,30.4101,86.7159,3.259,Above Sea Level,2020-12-22,22:54:28,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEylnUMvsHwI.json,TE,RREEPPLLAACCEE/TE/yl/TEylnUMvsHwI.mp4,RREEPPLLAACCEE/TE/yl/TEylnUMvsHwI_small.mp4
Unavailable,33.8173,118.3422,26.221,Above Sea Level,2020-07-04,02:18:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TEzuhzYyxhZE.json,TE,RREEPPLLAACCEE/TE/zu/TEzuhzYyxhZE.mp4,RREEPPLLAACCEE/TE/zu/TEzuhzYyxhZE_small.mp4
Unavailable,42.3387,71.0473,4.657,Above Sea Level,2020-12-07,17:32:21,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te1mIrL1etkm.json,Te,RREEPPLLAACCEE/Te/1m/Te1mIrL1etkm.mp4,RREEPPLLAACCEE/Te/1m/Te1mIrL1etkm_small.mp4
Unavailable,46.9653,123.0464,0,Unavailable,2020-12-05,02:25:30,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te3QsqUM7R8T.json,Te,RREEPPLLAACCEE/Te/3Q/Te3QsqUM7R8T.mp4,RREEPPLLAACCEE/Te/3Q/Te3QsqUM7R8T_small.mp4
Unavailable,33.3939,111.8835,365.992,Above Sea Level,2020-11-10,02:21:35,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te5ZBrTxK0To.json,Te,RREEPPLLAACCEE/Te/5Z/Te5ZBrTxK0To.mp4,RREEPPLLAACCEE/Te/5Z/Te5ZBrTxK0To_small.mp4
Unavailable,33.8808,117.7697,157.656,Above Sea Level,2020-11-27,05:38:19,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te66ZD4a25WC.json,Te,RREEPPLLAACCEE/Te/66/Te66ZD4a25WC.mp4,RREEPPLLAACCEE/Te/66/Te66ZD4a25WC_small.mp4
Unavailable,32.8213,117.1535,116.179,Above Sea Level,2020-11-10,01:17:43,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te6JIVTACr5y.json,Te,RREEPPLLAACCEE/Te/6J/Te6JIVTACr5y.mp4,RREEPPLLAACCEE/Te/6J/Te6JIVTACr5y_small.mp4
Unavailable,35.8482,80.8384,257.676,Above Sea Level,2020-08-22,02:23:04,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te7pydr7pQcd.json,Te,RREEPPLLAACCEE/Te/7p/Te7pydr7pQcd.mp4,RREEPPLLAACCEE/Te/7p/Te7pydr7pQcd_small.mp4
Unavailable,32.2736,111.0061,698.043,Above Sea Level,2020-11-30,17:39:16,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te88xoptbiSn.json,Te,RREEPPLLAACCEE/Te/88/Te88xoptbiSn.mp4,RREEPPLLAACCEE/Te/88/Te88xoptbiSn_small.mp4
Unavailable,51.4269,.9683,48.453,Above Sea Level,2020-08-12,08:08:34,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Te89Qycgaxla.json,Te,RREEPPLLAACCEE/Te/89/Te89Qycgaxla.mp4,RREEPPLLAACCEE/Te/89/Te89Qycgaxla_small.mp4
Unavailable,41.4753,71.4908,19.484,Above Sea Level,2020-11-08,18:20:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TeBW3299qC5Q.json,Te,RREEPPLLAACCEE/Te/BW/TeBW3299qC5Q.mp4,RREEPPLLAACCEE/Te/BW/TeBW3299qC5Q_small.mp4
Unavailable,35.7621,95.4147,218.814,Above Sea Level,2021-01-09,20:35:25,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TeDMaEu5kSvi.json,Te,RREEPPLLAACCEE/Te/DM/TeDMaEu5kSvi.mp4,RREEPPLLAACCEE/Te/DM/TeDMaEu5kSvi_small.mp4
Unavailable,33.9092,117.2410,473.564,Above Sea Level,2020-06-16,06:15:36,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TeI7w14Osqzx.json,Te,RREEPPLLAACCEE/Te/I7/TeI7w14Osqzx.mp4,RREEPPLLAACCEE/Te/I7/TeI7w14Osqzx_small.mp4
Unavailable,38.8505,77.0413,5.451,Above Sea Level,2021-01-08,21:02:41,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TeJaNWHSclHd.json,Te,RREEPPLLAACCEE/Te/Ja/TeJaNWHSclHd.mp4,RREEPPLLAACCEE/Te/Ja/TeJaNWHSclHd_small.mp4
