Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Freddy,0,0,0,Unavailable,2020-07-20,22:07:47,Unavailable,Unavailable,Unavailable,Unavailable,Freddy,Freddy,Freddy,meta-6HIMrtZiiLJB.json,6H,RREEPPLLAACCEE/6H/IM/6HIMrtZiiLJB.mp4,RREEPPLLAACCEE/6H/IM/6HIMrtZiiLJB_small.mp4
apascale,0,0,0,Unavailable,2020-08-14,23:17:49,Unavailable,Unavailable,Unavailable,Unavailable,apascale,andrea,andrea,meta-6HOkSXjeryrZ.json,6H,RREEPPLLAACCEE/6H/Ok/6HOkSXjeryrZ.mp4,RREEPPLLAACCEE/6H/Ok/6HOkSXjeryrZ_small.mp4
paulg,0,0,0,Unavailable,2020-07-28,20:02:09,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-6h7t2Mdzp6v9.json,6h,RREEPPLLAACCEE/6h/7t/6h7t2Mdzp6v9.mp4,RREEPPLLAACCEE/6h/7t/6h7t2Mdzp6v9_small.mp4
rainb,0,0,0,Unavailable,2020-12-17,19:05:52,Unavailable,Unavailable,Unavailable,Unavailable,rainb,rainb,rainb,meta-6hdzbG2v5Tsh.json,6h,RREEPPLLAACCEE/6h/dz/6hdzbG2v5Tsh.mp4,RREEPPLLAACCEE/6h/dz/6hdzbG2v5Tsh_small.mp4
Unavailable,43.1445,77.5860,159.8,Above Sea Level,2020-07-17,17:57:27,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6H337ufmKNXy.json,6H,RREEPPLLAACCEE/6H/33/6H337ufmKNXy.mp4,RREEPPLLAACCEE/6H/33/6H337ufmKNXy_small.mp4
Unavailable,44.7484,20.4186,167.01,Above Sea Level,2020-12-01,10:43:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6H4mdLMPb9Dh.json,6H,RREEPPLLAACCEE/6H/4m/6H4mdLMPb9Dh.mp4,RREEPPLLAACCEE/6H/4m/6H4mdLMPb9Dh_small.mp4
Unavailable,41.3338,77.6517,0,Unavailable,2019-09-04,17:14:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6H6FlhzRxnta.json,6H,RREEPPLLAACCEE/6H/6F/6H6FlhzRxnta.mp4,RREEPPLLAACCEE/6H/6F/6H6FlhzRxnta_small.mp4
Unavailable,31.5631,97.1953,172.566,Above Sea Level,2020-12-02,07:47:23,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6H6uZj3HTorM.json,6H,RREEPPLLAACCEE/6H/6u/6H6uZj3HTorM.mp4,RREEPPLLAACCEE/6H/6u/6H6uZj3HTorM_small.mp4
Unavailable,26.1344,81.8068,0,Unavailable,2020-12-20,15:51:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6H7YXF08GUo0.json,6H,RREEPPLLAACCEE/6H/7Y/6H7YXF08GUo0.mp4,RREEPPLLAACCEE/6H/7Y/6H7YXF08GUo0_small.mp4
Unavailable,32.9195,97.0774,204.483,Above Sea Level,2020-11-18,22:55:16,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6HBn92wpvgLF.json,6H,RREEPPLLAACCEE/6H/Bn/6HBn92wpvgLF.mp4,RREEPPLLAACCEE/6H/Bn/6HBn92wpvgLF_small.mp4
Unavailable,41.5842,87.9812,224.529,Above Sea Level,2020-12-25,01:25:54,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-6HEE4jEAmfYK.json,6H,RREEPPLLAACCEE/6H/EE/6HEE4jEAmfYK.mp4,RREEPPLLAACCEE/6H/EE/6HEE4jEAmfYK_small.mp4
