Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
pearceoshea,0,0,0,Unavailable,2020-09-01,06:57:35,Unavailable,Unavailable,Unavailable,Unavailable,pearceoshea,pearceoshea,pearceoshea,meta-PXPr1l8h1RGH.json,PX,RREEPPLLAACCEE/PX/Pr/PXPr1l8h1RGH.mp4,RREEPPLLAACCEE/PX/Pr/PXPr1l8h1RGH_small.mp4
FilmClass,0,0,0,Unavailable,2020-11-10,04:09:40,Canon,,,,FilmClass,FilmClass,FilmClass,meta-PxpCrdHo9LMQ.json,Px,RREEPPLLAACCEE/Px/pC/PxpCrdHo9LMQ.mp4,RREEPPLLAACCEE/Px/pC/PxpCrdHo9LMQ_small.mp4
santo,0,0,0,Unavailable,2020-07-03,00:52:01,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-pxFSAhfvLoyR.json,px,RREEPPLLAACCEE/px/FS/pxFSAhfvLoyR.mp4,RREEPPLLAACCEE/px/FS/pxFSAhfvLoyR_small.mp4
beenj,0,0,0,Unavailable,2020-10-18,02:38:06,Unavailable,Unavailable,Unavailable,Unavailable,beenj,beenj,beenj,meta-pxYesHRSGPe6.json,px,RREEPPLLAACCEE/px/Ye/pxYesHRSGPe6.mp4,RREEPPLLAACCEE/px/Ye/pxYesHRSGPe6_small.mp4
ACER,0,0,0,Unavailable,2020-12-25,20:20:20,Unavailable,Unavailable,Unavailable,Unavailable,ACER,ACER,ACER,meta-pxyT4Shtuqm3.json,px,RREEPPLLAACCEE/px/yT/pxyT4Shtuqm3.mp4,RREEPPLLAACCEE/px/yT/pxyT4Shtuqm3_small.mp4
Unavailable,36.1156,115.0416,517.352,Above Sea Level,2021-01-02,00:18:58,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PX0FqHTAjkJR.json,PX,RREEPPLLAACCEE/PX/0F/PX0FqHTAjkJR.mp4,RREEPPLLAACCEE/PX/0F/PX0FqHTAjkJR_small.mp4
Unavailable,33.6361,111.9320,460.347,Above Sea Level,2020-11-12,18:28:52,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PX4U0TbVeTaE.json,PX,RREEPPLLAACCEE/PX/4U/PX4U0TbVeTaE.mp4,RREEPPLLAACCEE/PX/4U/PX4U0TbVeTaE_small.mp4
Unavailable,29.7297,95.8199,39.297,Above Sea Level,2021-01-10,07:12:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PX6OJc2xatwb.json,PX,RREEPPLLAACCEE/PX/6O/PX6OJc2xatwb.mp4,RREEPPLLAACCEE/PX/6O/PX6OJc2xatwb_small.mp4
Unavailable,40.8580,73.9308,23.562,Above Sea Level,2021-01-06,18:13:17,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PX8HMCeWitkh.json,PX,RREEPPLLAACCEE/PX/8H/PX8HMCeWitkh.mp4,RREEPPLLAACCEE/PX/8H/PX8HMCeWitkh_small.mp4
Unavailable,33.7703,111.9731,597.001,Above Sea Level,2021-01-08,05:26:06,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PX8Ob7p2vTlk.json,PX,RREEPPLLAACCEE/PX/8O/PX8Ob7p2vTlk.mp4,RREEPPLLAACCEE/PX/8O/PX8Ob7p2vTlk_small.mp4
