Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
macbook,0,0,0,Unavailable,2020-07-03,19:30:19,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-KBECCHJQvAzW.json,KB,RREEPPLLAACCEE/KB/EC/KBECCHJQvAzW.mp4,RREEPPLLAACCEE/KB/EC/KBECCHJQvAzW_small.mp4
Calvi,0,0,0,Unavailable,2020-11-26,01:53:12,Unavailable,,Unavailable,Unavailable,Calvi,Calvi,Calvi,meta-KbeGrkjloTxA.json,Kb,RREEPPLLAACCEE/Kb/eG/KbeGrkjloTxA.mp4,RREEPPLLAACCEE/Kb/eG/KbeGrkjloTxA_small.mp4
rebelnews,0,0,0,Unavailable,2020-11-11,22:13:44,Unavailable,Unavailable,Unavailable,Unavailable,rebelnews,rebelnews,rebelnews,meta-kB3gWXe05TZp.json,kB,RREEPPLLAACCEE/kB/3g/kB3gWXe05TZp.mp4,RREEPPLLAACCEE/kB/3g/kB3gWXe05TZp_small.mp4
zackdeering,0,0,0,Unavailable,2020-07-29,20:31:27,Unavailable,Unavailable,Unavailable,Unavailable,zackdeering,zackdeering,zackdeering,meta-kBAhghUe3HaI.json,kB,RREEPPLLAACCEE/kB/Ah/kBAhghUe3HaI.mp4,RREEPPLLAACCEE/kB/Ah/kBAhghUe3HaI_small.mp4
tricky,0,0,0,Unavailable,2020-05-26,05:33:33,Unavailable,Unavailable,Unavailable,Unavailable,tricky,tricky,tricky,meta-kBBCasKnWjuF.json,kB,RREEPPLLAACCEE/kB/BC/kBBCasKnWjuF.mp4,RREEPPLLAACCEE/kB/BC/kBBCasKnWjuF_small.mp4
paulg,0,0,0,Unavailable,2020-11-21,23:13:07,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-kBHohfHUPlD7.json,kB,RREEPPLLAACCEE/kB/Ho/kBHohfHUPlD7.mp4,RREEPPLLAACCEE/kB/Ho/kBHohfHUPlD7_small.mp4
Unavailable,31.0383,97.4059,151.856,Above Sea Level,2020-11-08,20:16:11,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KB1zhUTdnmWX.json,KB,RREEPPLLAACCEE/KB/1z/KB1zhUTdnmWX.mp4,RREEPPLLAACCEE/KB/1z/KB1zhUTdnmWX_small.mp4
Unavailable,30.4830,90.5351,11.769,Above Sea Level,2020-11-09,03:16:20,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KB5Csgty23Sq.json,KB,RREEPPLLAACCEE/KB/5C/KB5Csgty23Sq.mp4,RREEPPLLAACCEE/KB/5C/KB5Csgty23Sq_small.mp4
Unavailable,33.5713,84.2944,247.793,Above Sea Level,2020-12-04,12:32:30,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KB6tQ00p3pPx.json,KB,RREEPPLLAACCEE/KB/6t/KB6tQ00p3pPx.mp4,RREEPPLLAACCEE/KB/6t/KB6tQ00p3pPx_small.mp4
Unavailable,32.7243,117.1899,4.83,Above Sea Level,2020-06-13,21:37:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBDITIPKxUJy.json,KB,RREEPPLLAACCEE/KB/DI/KBDITIPKxUJy.mp4,RREEPPLLAACCEE/KB/DI/KBDITIPKxUJy_small.mp4
Unavailable,40.7054,74.0081,0,Above Sea Level,2020-05-11,21:40:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBDzVNZkVPZX.json,KB,RREEPPLLAACCEE/KB/Dz/KBDzVNZkVPZX.mp4,RREEPPLLAACCEE/KB/Dz/KBDzVNZkVPZX_small.mp4
Unavailable,42.9133,89.2210,263.599,Above Sea Level,2020-09-19,18:49:30,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBFStHEpirhW.json,KB,RREEPPLLAACCEE/KB/FS/KBFStHEpirhW.mp4,RREEPPLLAACCEE/KB/FS/KBFStHEpirhW_small.mp4
Unavailable,40.3198,79.9067,285.093,Above Sea Level,2020-10-10,00:06:42,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBIPs9qKAgB7.json,KB,RREEPPLLAACCEE/KB/IP/KBIPs9qKAgB7.mp4,RREEPPLLAACCEE/KB/IP/KBIPs9qKAgB7_small.mp4
Unavailable,38.7919,85.7586,177.594,Above Sea Level,2020-06-17,22:53:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBNNS9vlQpqm.json,KB,RREEPPLLAACCEE/KB/NN/KBNNS9vlQpqm.mp4,RREEPPLLAACCEE/KB/NN/KBNNS9vlQpqm_small.mp4
Unavailable,38.8883,77.0345,10.228,Above Sea Level,2020-12-12,18:29:20,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBf5NVUDRFYn.json,KB,RREEPPLLAACCEE/KB/f5/KBf5NVUDRFYn.mp4,RREEPPLLAACCEE/KB/f5/KBf5NVUDRFYn_small.mp4
Unavailable,38.8920,77.0173,3.2,Above Sea Level,2020-11-14,18:52:10,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBi2LV5ZkDfH.json,KB,RREEPPLLAACCEE/KB/i2/KBi2LV5ZkDfH.mp4,RREEPPLLAACCEE/KB/i2/KBi2LV5ZkDfH_small.mp4
Unavailable,35.9423,85.8301,328.829,Above Sea Level,2020-11-10,22:57:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBqg1ekCu30F.json,KB,RREEPPLLAACCEE/KB/qg/KBqg1ekCu30F.mp4,RREEPPLLAACCEE/KB/qg/KBqg1ekCu30F_small.mp4
Unavailable,40.4117,111.8902,1384.72,Above Sea Level,2020-11-06,01:11:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBrOny4uQM80.json,KB,RREEPPLLAACCEE/KB/rO/KBrOny4uQM80.mp4,RREEPPLLAACCEE/KB/rO/KBrOny4uQM80_small.mp4
Unavailable,32.2789,97.7025,225.724,Above Sea Level,2020-11-21,23:51:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBuZA37nI6CE.json,KB,RREEPPLLAACCEE/KB/uZ/KBuZA37nI6CE.mp4,RREEPPLLAACCEE/KB/uZ/KBuZA37nI6CE_small.mp4
Unavailable,26.2461,80.0940,2.167,Above Sea Level,2020-11-14,14:02:27,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KBwtrATb6zAb.json,KB,RREEPPLLAACCEE/KB/wt/KBwtrATb6zAb.mp4,RREEPPLLAACCEE/KB/wt/KBwtrATb6zAb_small.mp4
Unavailable,38.7240,90.2941,176.743,Above Sea Level,2020-11-06,01:33:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kb4GV1yy0RAp.json,Kb,RREEPPLLAACCEE/Kb/4G/Kb4GV1yy0RAp.mp4,RREEPPLLAACCEE/Kb/4G/Kb4GV1yy0RAp_small.mp4
Unavailable,35.7798,90.7707,86.644,Above Sea Level,2019-10-01,23:36:39,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbAgzkEGOAfK.json,Kb,RREEPPLLAACCEE/Kb/Ag/KbAgzkEGOAfK.mp4,RREEPPLLAACCEE/Kb/Ag/KbAgzkEGOAfK_small.mp4
Unavailable,34.8666,112.5203,1533,Above Sea Level,2020-06-16,22:55:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbBlSloZoafG.json,Kb,RREEPPLLAACCEE/Kb/Bl/KbBlSloZoafG.mp4,RREEPPLLAACCEE/Kb/Bl/KbBlSloZoafG_small.mp4
Unavailable,26.2564,49.3881,871.983,Above Sea Level,2020-06-30,20:36:15,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbGunVMmCKqO.json,Kb,RREEPPLLAACCEE/Kb/Gu/KbGunVMmCKqO.mp4,RREEPPLLAACCEE/Kb/Gu/KbGunVMmCKqO_small.mp4
Unavailable,38.8909,77.0106,12.52,Above Sea Level,2021-01-06,20:15:50,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbHJ1yC6Suub.json,Kb,RREEPPLLAACCEE/Kb/HJ/KbHJ1yC6Suub.mp4,RREEPPLLAACCEE/Kb/HJ/KbHJ1yC6Suub_small.mp4
Unavailable,43.6618,79.3907,0,Unavailable,2020-11-29,20:09:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbIZC5oS71NE.json,Kb,RREEPPLLAACCEE/Kb/IZ/KbIZC5oS71NE.mp4,RREEPPLLAACCEE/Kb/IZ/KbIZC5oS71NE_small.mp4
Unavailable,34.1707,97.1491,269.993,Above Sea Level,2020-08-16,21:28:33,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbMal7SvqdB4.json,Kb,RREEPPLLAACCEE/Kb/Ma/KbMal7SvqdB4.mp4,RREEPPLLAACCEE/Kb/Ma/KbMal7SvqdB4_small.mp4
Unavailable,40.5481,74.7370,0,Unavailable,2020-11-10,21:33:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbRWXf2WgR4X.json,Kb,RREEPPLLAACCEE/Kb/RW/KbRWXf2WgR4X.mp4,RREEPPLLAACCEE/Kb/RW/KbRWXf2WgR4X_small.mp4
Unavailable,40.5887,122.4346,211.722,Above Sea Level,2020-06-27,16:28:54,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbUpskoBRABw.json,Kb,RREEPPLLAACCEE/Kb/Up/KbUpskoBRABw.mp4,RREEPPLLAACCEE/Kb/Up/KbUpskoBRABw_small.mp4
Unavailable,36.5224,87.2341,162.346,Above Sea Level,2020-07-10,22:31:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbaQoviMPNQy.json,Kb,RREEPPLLAACCEE/Kb/aQ/KbaQoviMPNQy.mp4,RREEPPLLAACCEE/Kb/aQ/KbaQoviMPNQy_small.mp4
Unavailable,37.7977,122.2829,4.029,Above Sea Level,2020-10-28,12:47:42,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbeBceI3n5mM.json,Kb,RREEPPLLAACCEE/Kb/eB/KbeBceI3n5mM.mp4,RREEPPLLAACCEE/Kb/eB/KbeBceI3n5mM_small.mp4
Unavailable,31.2889,94.7080,83.86,Above Sea Level,2020-10-31,19:11:15,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbqD2B7sMkGx.json,Kb,RREEPPLLAACCEE/Kb/qD/KbqD2B7sMkGx.mp4,RREEPPLLAACCEE/Kb/qD/KbqD2B7sMkGx_small.mp4
Unavailable,26.2460,80.0940,1.88,Above Sea Level,2020-12-13,13:07:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbrbApeVm1et.json,Kb,RREEPPLLAACCEE/Kb/rb/KbrbApeVm1et.mp4,RREEPPLLAACCEE/Kb/rb/KbrbApeVm1et_small.mp4
Unavailable,30.0092,97.8798,0,Unavailable,2020-08-01,05:43:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KbxMFQ6zCcyu.json,Kb,RREEPPLLAACCEE/Kb/xM/KbxMFQ6zCcyu.mp4,RREEPPLLAACCEE/Kb/xM/KbxMFQ6zCcyu_small.mp4
Unavailable,40.6919,75.2334,99.142,Above Sea Level,2020-11-23,18:05:45,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kB0OD2wqDqlf.json,kB,RREEPPLLAACCEE/kB/0O/kB0OD2wqDqlf.mp4,RREEPPLLAACCEE/kB/0O/kB0OD2wqDqlf_small.mp4
Unavailable,42.2757,88.1242,246.564,Above Sea Level,2020-11-18,01:47:13,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kB2EQdOYcgYA.json,kB,RREEPPLLAACCEE/kB/2E/kB2EQdOYcgYA.mp4,RREEPPLLAACCEE/kB/2E/kB2EQdOYcgYA_small.mp4
Unavailable,10.2249,61.5363,15.415,Above Sea Level,2020-11-16,18:07:16,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kB2nPS6H9LoE.json,kB,RREEPPLLAACCEE/kB/2n/kB2nPS6H9LoE.mp4,RREEPPLLAACCEE/kB/2n/kB2nPS6H9LoE_small.mp4
