Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
qqxtt,0,0,0,Unavailable,2020-11-14,06:45:30,Unavailable,Unavailable,Unavailable,Unavailable,qqxtt,qqxtt,qqxtt,meta-SBFNDFPpohd7.json,SB,RREEPPLLAACCEE/SB/FN/SBFNDFPpohd7.mp4,RREEPPLLAACCEE/SB/FN/SBFNDFPpohd7_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-01,15:02:06,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-SBLqqqBB9bG8.json,SB,RREEPPLLAACCEE/SB/Lq/SBLqqqBB9bG8.mp4,RREEPPLLAACCEE/SB/Lq/SBLqqqBB9bG8_small.mp4
Korbin,0,0,0,Unavailable,2020-07-27,03:10:33,Unavailable,Unavailable,Unavailable,Unavailable,Korbin,Korbin,Korbin,meta-SBiWzJ1SO5rO.json,SB,RREEPPLLAACCEE/SB/iW/SBiWzJ1SO5rO.mp4,RREEPPLLAACCEE/SB/iW/SBiWzJ1SO5rO_small.mp4
chris,0,0,0,Unavailable,2020-12-24,00:18:37,Apple,,Unavailable,Unavailable,chris,chris,chris,meta-SBnTZqRJFOME.json,SB,RREEPPLLAACCEE/SB/nT/SBnTZqRJFOME.mp4,RREEPPLLAACCEE/SB/nT/SBnTZqRJFOME_small.mp4
F8005,0,0,0,Unavailable,2020-08-22,08:55:29,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-SBrrEC6m5cAx.json,SB,RREEPPLLAACCEE/SB/rr/SBrrEC6m5cAx.mp4,RREEPPLLAACCEE/SB/rr/SBrrEC6m5cAx_small.mp4
utente,0,0,0,Unavailable,2020-12-23,18:19:51,Unavailable,,Unavailable,Unavailable,utente,utente,utente,meta-SbGoTIcepCZm.json,Sb,RREEPPLLAACCEE/Sb/Go/SbGoTIcepCZm.mp4,RREEPPLLAACCEE/Sb/Go/SbGoTIcepCZm_small.mp4
Nathalia,0,0,0,Unavailable,2020-07-01,15:18:50,Unavailable,Unavailable,Unavailable,Unavailable,Nathalia,Nathalia,Nathalia,meta-sBfyhkjSJaVR.json,sB,RREEPPLLAACCEE/sB/fy/sBfyhkjSJaVR.mp4,RREEPPLLAACCEE/sB/fy/sBfyhkjSJaVR_small.mp4
admin,0,0,0,Unavailable,2020-04-01,02:35:24,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-sBjSvjZGkQKN.json,sB,RREEPPLLAACCEE/sB/jS/sBjSvjZGkQKN.mp4,RREEPPLLAACCEE/sB/jS/sBjSvjZGkQKN_small.mp4
acros,0,0,0,Unavailable,2021-01-08,04:38:23,Unavailable,Unavailable,Unavailable,Unavailable,acros,acros,acros,meta-sbBbvUcw4bLg.json,sb,RREEPPLLAACCEE/sb/Bb/sbBbvUcw4bLg.mp4,RREEPPLLAACCEE/sb/Bb/sbBbvUcw4bLg_small.mp4
Unavailable,25.9266,81.6486,0.46,Above Sea Level,2020-12-07,18:56:38,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SB0QxMR2rarO.json,SB,RREEPPLLAACCEE/SB/0Q/SB0QxMR2rarO.mp4,RREEPPLLAACCEE/SB/0Q/SB0QxMR2rarO_small.mp4
Unavailable,36.0498,79.8313,250.086,Above Sea Level,2020-07-13,06:25:20,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SB45VDy7qKl5.json,SB,RREEPPLLAACCEE/SB/45/SB45VDy7qKl5.mp4,RREEPPLLAACCEE/SB/45/SB45VDy7qKl5_small.mp4
Unavailable,39.9276,79.6856,0,Unavailable,2020-11-12,15:17:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SB90qEwl8331.json,SB,RREEPPLLAACCEE/SB/90/SB90qEwl8331.mp4,RREEPPLLAACCEE/SB/90/SB90qEwl8331_small.mp4
Unavailable,30.0168,99.1291,488.17,Above Sea Level,2020-11-13,15:10:07,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBAkBtU7DVja.json,SB,RREEPPLLAACCEE/SB/Ak/SBAkBtU7DVja.mp4,RREEPPLLAACCEE/SB/Ak/SBAkBtU7DVja_small.mp4
Unavailable,36.0249,115.8873,837.293,Above Sea Level,2020-11-18,22:11:20,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBH06rXi9i43.json,SB,RREEPPLLAACCEE/SB/H0/SBH06rXi9i43.mp4,RREEPPLLAACCEE/SB/H0/SBH06rXi9i43_small.mp4
Unavailable,38.8949,77.0270,9.14,Above Sea Level,2020-12-15,01:33:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBJx1wheCK2B.json,SB,RREEPPLLAACCEE/SB/Jx/SBJx1wheCK2B.mp4,RREEPPLLAACCEE/SB/Jx/SBJx1wheCK2B_small.mp4
Unavailable,33.8139,117.5452,390.747,Above Sea Level,2020-10-31,14:38:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBMfUConXoZu.json,SB,RREEPPLLAACCEE/SB/Mf/SBMfUConXoZu.mp4,RREEPPLLAACCEE/SB/Mf/SBMfUConXoZu_small.mp4
Unavailable,39.6407,86.1536,228.65,Above Sea Level,2020-07-28,00:10:50,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBU4k31Ukst0.json,SB,RREEPPLLAACCEE/SB/U4/SBU4k31Ukst0.mp4,RREEPPLLAACCEE/SB/U4/SBU4k31Ukst0_small.mp4
Unavailable,21.3067,157.8557,4.838,Above Sea Level,2020-12-19,23:02:36,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBWCeODHCDbv.json,SB,RREEPPLLAACCEE/SB/WC/SBWCeODHCDbv.mp4,RREEPPLLAACCEE/SB/WC/SBWCeODHCDbv_small.mp4
Unavailable,39.6913,90.4843,173.63,Above Sea Level,2020-07-05,04:02:17,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBWxWsNixlFv.json,SB,RREEPPLLAACCEE/SB/Wx/SBWxWsNixlFv.mp4,RREEPPLLAACCEE/SB/Wx/SBWxWsNixlFv_small.mp4
Unavailable,32.2983,111.0093,691.314,Above Sea Level,2021-01-01,01:42:11,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBeyBAThewCC.json,SB,RREEPPLLAACCEE/SB/ey/SBeyBAThewCC.mp4,RREEPPLLAACCEE/SB/ey/SBeyBAThewCC_small.mp4
Unavailable,30.1335,95.7789,71.647,Above Sea Level,2020-11-17,15:26:22,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBfOxBC9DmBV.json,SB,RREEPPLLAACCEE/SB/fO/SBfOxBC9DmBV.mp4,RREEPPLLAACCEE/SB/fO/SBfOxBC9DmBV_small.mp4
Unavailable,29.4273,98.4905,190.066,Above Sea Level,2020-11-15,19:04:35,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SBlXVFEXD5LO.json,SB,RREEPPLLAACCEE/SB/lX/SBlXVFEXD5LO.mp4,RREEPPLLAACCEE/SB/lX/SBlXVFEXD5LO_small.mp4
