Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
tours,0,0,0,Unavailable,2020-11-24,18:54:59,Unavailable,Unavailable,Unavailable,Unavailable,tours,tours,tours,meta-Li4EG2ZuOc5J.json,Li,RREEPPLLAACCEE/Li/4E/Li4EG2ZuOc5J.mp4,RREEPPLLAACCEE/Li/4E/Li4EG2ZuOc5J_small.mp4
noahzielinski,0,0,0,Unavailable,2020-11-02,11:53:12,Unavailable,,Unavailable,Unavailable,homebase,homebase,homebase,meta-lISe60udOAmO.json,lI,RREEPPLLAACCEE/lI/Se/lISe60udOAmO.mp4,RREEPPLLAACCEE/lI/Se/lISe60udOAmO_small.mp4
Aaron's,0,0,0,Unavailable,2020-11-20,15:57:12,Unavailable,Unavailable,Unavailable,Unavailable,Aaron's,Aaron's,Aaron's,meta-li5lrgj8Vbg6.json,li,RREEPPLLAACCEE/li/5l/li5lrgj8Vbg6.mp4,RREEPPLLAACCEE/li/5l/li5lrgj8Vbg6_small.mp4
Yanky,0,0,0,Unavailable,2020-09-29,16:36:51,Unavailable,Unavailable,Unavailable,Unavailable,Yanky,Yanky,Yanky,meta-liLXvyE18Z2Z.json,li,RREEPPLLAACCEE/li/LX/liLXvyE18Z2Z.mp4,RREEPPLLAACCEE/li/LX/liLXvyE18Z2Z_small.mp4
noahzielinski,0,0,0,Unavailable,2020-11-02,11:53:12,Unavailable,,Unavailable,Unavailable,homebase,homebase,homebase,meta-liLyyOgMv7fI.json,li,RREEPPLLAACCEE/li/Ly/liLyyOgMv7fI.mp4,RREEPPLLAACCEE/li/Ly/liLyyOgMv7fI_small.mp4
editor01,0,0,0,Unavailable,2020-10-26,17:35:56,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-ligfkjtMvKNO.json,li,RREEPPLLAACCEE/li/gf/ligfkjtMvKNO.mp4,RREEPPLLAACCEE/li/gf/ligfkjtMvKNO_small.mp4
Unavailable,41.1735,111.9305,1522.901,Above Sea Level,2020-11-07,01:11:53,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LI3NSeIGK64J.json,LI,RREEPPLLAACCEE/LI/3N/LI3NSeIGK64J.mp4,RREEPPLLAACCEE/LI/3N/LI3NSeIGK64J_small.mp4
Unavailable,33.9239,80.3462,53.566,Above Sea Level,2020-12-23,09:04:27,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LI3q7BqXf4BW.json,LI,RREEPPLLAACCEE/LI/3q/LI3q7BqXf4BW.mp4,RREEPPLLAACCEE/LI/3q/LI3q7BqXf4BW_small.mp4
Unavailable,35.4596,97.5146,0,Unavailable,2020-08-29,17:23:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LI5defcAwQq6.json,LI,RREEPPLLAACCEE/LI/5d/LI5defcAwQq6.mp4,RREEPPLLAACCEE/LI/5d/LI5defcAwQq6_small.mp4
Unavailable,38.8957,77.0313,6.156,Above Sea Level,2020-11-14,16:52:08,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LI6BLHYHu3Lw.json,LI,RREEPPLLAACCEE/LI/6B/LI6BLHYHu3Lw.mp4,RREEPPLLAACCEE/LI/6B/LI6BLHYHu3Lw_small.mp4
Unavailable,29.5068,95.0939,6.892,Above Sea Level,2020-07-24,00:08:40,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LICJ6On8nlBa.json,LI,RREEPPLLAACCEE/LI/CJ/LICJ6On8nlBa.mp4,RREEPPLLAACCEE/LI/CJ/LICJ6On8nlBa_small.mp4
Unavailable,40.5211,75.5196,137.682,Above Sea Level,2021-01-09,17:51:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIJMp51wX0tm.json,LI,RREEPPLLAACCEE/LI/JM/LIJMp51wX0tm.mp4,RREEPPLLAACCEE/LI/JM/LIJMp51wX0tm_small.mp4
Unavailable,34.7185,86.6765,0,Unavailable,2020-11-14,01:13:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIMinfVIcBnE.json,LI,RREEPPLLAACCEE/LI/Mi/LIMinfVIcBnE.mp4,RREEPPLLAACCEE/LI/Mi/LIMinfVIcBnE_small.mp4
Unavailable,33.8384,117.7929,206.62,Above Sea Level,2020-12-08,03:57:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIPrS1eiHIVj.json,LI,RREEPPLLAACCEE/LI/Pr/LIPrS1eiHIVj.mp4,RREEPPLLAACCEE/LI/Pr/LIPrS1eiHIVj_small.mp4
Unavailable,36.0357,81.2154,659.322,Above Sea Level,2020-10-15,18:24:33,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIZyjwj5WKtB.json,LI,RREEPPLLAACCEE/LI/Zy/LIZyjwj5WKtB.mp4,RREEPPLLAACCEE/LI/Zy/LIZyjwj5WKtB_small.mp4
Unavailable,39.1262,122.8580,0,Unavailable,2020-02-27,20:31:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIdqxkHqOEEq.json,LI,RREEPPLLAACCEE/LI/dq/LIdqxkHqOEEq.mp4,RREEPPLLAACCEE/LI/dq/LIdqxkHqOEEq_small.mp4
Unavailable,35.2701,90.4771,0,Unavailable,2020-12-15,18:41:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIfKixlvp1nl.json,LI,RREEPPLLAACCEE/LI/fK/LIfKixlvp1nl.mp4,RREEPPLLAACCEE/LI/fK/LIfKixlvp1nl_small.mp4
Unavailable,44.2251,105.4586,1416.127,Above Sea Level,2020-11-14,19:41:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIh5rFF8dDdV.json,LI,RREEPPLLAACCEE/LI/h5/LIh5rFF8dDdV.mp4,RREEPPLLAACCEE/LI/h5/LIh5rFF8dDdV_small.mp4
Unavailable,38.8960,77.0318,6.127,Above Sea Level,2020-11-14,15:23:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIk74FToByq9.json,LI,RREEPPLLAACCEE/LI/k7/LIk74FToByq9.mp4,RREEPPLLAACCEE/LI/k7/LIk74FToByq9_small.mp4
Unavailable,34.3712,88.7040,91.356,Above Sea Level,2020-04-29,19:33:31,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LImwkUOkoOqd.json,LI,RREEPPLLAACCEE/LI/mw/LImwkUOkoOqd.mp4,RREEPPLLAACCEE/LI/mw/LImwkUOkoOqd_small.mp4
Unavailable,34.0839,118.3854,69.404,Above Sea Level,2020-11-20,19:57:39,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIoH1hVSfze1.json,LI,RREEPPLLAACCEE/LI/oH/LIoH1hVSfze1.mp4,RREEPPLLAACCEE/LI/oH/LIoH1hVSfze1_small.mp4
Unavailable,38.8959,77.0267,0,Unavailable,2020-12-12,02:21:02,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIr9BHvCFpx5.json,LI,RREEPPLLAACCEE/LI/r9/LIr9BHvCFpx5.mp4,RREEPPLLAACCEE/LI/r9/LIr9BHvCFpx5_small.mp4
Unavailable,36.3435,119.2740,104.651,Above Sea Level,2020-07-27,02:12:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIvQuu9Ol3ZO.json,LI,RREEPPLLAACCEE/LI/vQ/LIvQuu9Ol3ZO.mp4,RREEPPLLAACCEE/LI/vQ/LIvQuu9Ol3ZO_small.mp4
Unavailable,29.4674,98.7472,292.828,Above Sea Level,2020-11-09,03:19:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIyZhGbIfTm7.json,LI,RREEPPLLAACCEE/LI/yZ/LIyZhGbIfTm7.mp4,RREEPPLLAACCEE/LI/yZ/LIyZhGbIfTm7_small.mp4
Unavailable,27.8358,82.6558,3.504,Above Sea Level,2020-12-30,18:49:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LIzKE2wDfhp1.json,LI,RREEPPLLAACCEE/LI/zK/LIzKE2wDfhp1.mp4,RREEPPLLAACCEE/LI/zK/LIzKE2wDfhp1_small.mp4
Unavailable,36.2174,115.1543,0,Unavailable,2020-11-06,02:22:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Li0415jq2zSE.json,Li,RREEPPLLAACCEE/Li/04/Li0415jq2zSE.mp4,RREEPPLLAACCEE/Li/04/Li0415jq2zSE_small.mp4
Unavailable,40.7299,73.8294,0,Unavailable,2020-11-14,20:05:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Li4dVmBm0Atu.json,Li,RREEPPLLAACCEE/Li/4d/Li4dVmBm0Atu.mp4,RREEPPLLAACCEE/Li/4d/Li4dVmBm0Atu_small.mp4
Unavailable,44.8793,122.6599,356.193,Above Sea Level,2020-11-28,21:00:09,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LiCrfIPV2Klm.json,Li,RREEPPLLAACCEE/Li/Cr/LiCrfIPV2Klm.mp4,RREEPPLLAACCEE/Li/Cr/LiCrfIPV2Klm_small.mp4
Unavailable,33.6726,111.8845,547.04,Above Sea Level,2020-08-01,15:58:23,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-LiMn0hlysvBO.json,Li,RREEPPLLAACCEE/Li/Mn/LiMn0hlysvBO.mp4,RREEPPLLAACCEE/Li/Mn/LiMn0hlysvBO_small.mp4
