Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordi,0,0,0,Unavailable,2020-10-17,09:38:04,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-r9LxESfvsOQ7.json,r9,RREEPPLLAACCEE/r9/Lx/r9LxESfvsOQ7.mp4,RREEPPLLAACCEE/r9/Lx/r9LxESfvsOQ7_small.mp4
Unavailable,40.6075,74.0755,0,Unavailable,2020-10-22,01:10:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R95u1auDD6ss.json,R9,RREEPPLLAACCEE/R9/5u/R95u1auDD6ss.mp4,RREEPPLLAACCEE/R9/5u/R95u1auDD6ss_small.mp4
Unavailable,49.1668,97.9522,0,Unavailable,2020-11-20,18:54:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9DzEklO7R84.json,R9,RREEPPLLAACCEE/R9/Dz/R9DzEklO7R84.mp4,RREEPPLLAACCEE/R9/Dz/R9DzEklO7R84_small.mp4
Unavailable,35.8813,93.4650,0,Unavailable,2020-11-03,00:43:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9IdkTS66E9a.json,R9,RREEPPLLAACCEE/R9/Id/R9IdkTS66E9a.mp4,RREEPPLLAACCEE/R9/Id/R9IdkTS66E9a_small.mp4
Unavailable,28.2817,82.1422,0,Unavailable,2019-07-11,23:41:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9PVJk7X0h2t.json,R9,RREEPPLLAACCEE/R9/PV/R9PVJk7X0h2t.mp4,RREEPPLLAACCEE/R9/PV/R9PVJk7X0h2t_small.mp4
Unavailable,27.7222,82.4560,2.448,Above Sea Level,2020-11-18,14:53:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9VSpZ2U54sC.json,R9,RREEPPLLAACCEE/R9/VS/R9VSpZ2U54sC.mp4,RREEPPLLAACCEE/R9/VS/R9VSpZ2U54sC_small.mp4
Unavailable,30.7825,83.2713,61.541,Above Sea Level,2020-12-06,00:03:59,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9aiCl2W6I5E.json,R9,RREEPPLLAACCEE/R9/ai/R9aiCl2W6I5E.mp4,RREEPPLLAACCEE/R9/ai/R9aiCl2W6I5E_small.mp4
Unavailable,47.7492,116.8281,696.842,Above Sea Level,2020-11-19,21:04:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9kRgFQgI1nc.json,R9,RREEPPLLAACCEE/R9/kR/R9kRgFQgI1nc.mp4,RREEPPLLAACCEE/R9/kR/R9kRgFQgI1nc_small.mp4
Unavailable,38.2783,120.3070,1434.369,Above Sea Level,2020-11-09,00:05:27,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9ksY4rF1KS8.json,R9,RREEPPLLAACCEE/R9/ks/R9ksY4rF1KS8.mp4,RREEPPLLAACCEE/R9/ks/R9ksY4rF1KS8_small.mp4
Unavailable,44.3527,69.2868,0,Unavailable,2020-11-13,12:10:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-R9neAoFv9sY3.json,R9,RREEPPLLAACCEE/R9/ne/R9neAoFv9sY3.mp4,RREEPPLLAACCEE/R9/ne/R9neAoFv9sY3_small.mp4
Unavailable,33.1099,96.8504,183.39,Above Sea Level,2021-01-04,22:20:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r93aPtWTXmvv.json,r9,RREEPPLLAACCEE/r9/3a/r93aPtWTXmvv.mp4,RREEPPLLAACCEE/r9/3a/r93aPtWTXmvv_small.mp4
Unavailable,44.0407,71.6277,697.467,Above Sea Level,2021-01-03,20:32:33,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r98qDvsXR9ZQ.json,r9,RREEPPLLAACCEE/r9/8q/r98qDvsXR9ZQ.mp4,RREEPPLLAACCEE/r9/8q/r98qDvsXR9ZQ_small.mp4
Unavailable,32.8755,117.2290,0,Unavailable,2020-11-28,10:21:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9Bt96cbc0fX.json,r9,RREEPPLLAACCEE/r9/Bt/r9Bt96cbc0fX.mp4,RREEPPLLAACCEE/r9/Bt/r9Bt96cbc0fX_small.mp4
Unavailable,25.7480,80.3476,3.074,Above Sea Level,2020-10-22,18:20:18,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9EOuqvxRRBc.json,r9,RREEPPLLAACCEE/r9/EO/r9EOuqvxRRBc.mp4,RREEPPLLAACCEE/r9/EO/r9EOuqvxRRBc_small.mp4
Unavailable,43.2350,77.7948,114.077,Above Sea Level,2021-01-01,03:51:40,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9GAy3SXHAf5.json,r9,RREEPPLLAACCEE/r9/GA/r9GAy3SXHAf5.mp4,RREEPPLLAACCEE/r9/GA/r9GAy3SXHAf5_small.mp4
Unavailable,60.5170,151.0184,59.195,Above Sea Level,2020-11-27,00:19:23,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9HwalzdHHF1.json,r9,RREEPPLLAACCEE/r9/Hw/r9HwalzdHHF1.mp4,RREEPPLLAACCEE/r9/Hw/r9HwalzdHHF1_small.mp4
Unavailable,27.4515,153.0693,3.442,Below Sea Level,2019-05-02,06:57:14,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9Iha95EeKce.json,r9,RREEPPLLAACCEE/r9/Ih/r9Iha95EeKce.mp4,RREEPPLLAACCEE/r9/Ih/r9Iha95EeKce_small.mp4
Unavailable,47.2405,122.7602,9.3,Above Sea Level,2020-12-23,22:45:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9MEEdzFgpy3.json,r9,RREEPPLLAACCEE/r9/ME/r9MEEdzFgpy3.mp4,RREEPPLLAACCEE/r9/ME/r9MEEdzFgpy3_small.mp4
Unavailable,42.7785,83.0000,229.533,Above Sea Level,2020-11-01,16:24:30,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-r9R2lpeP3q0V.json,r9,RREEPPLLAACCEE/r9/R2/r9R2lpeP3q0V.mp4,RREEPPLLAACCEE/r9/R2/r9R2lpeP3q0V_small.mp4
