Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordi,0,0,0,Unavailable,2020-10-27,10:36:00,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-ZS3sB6sjQ37F.json,ZS,RREEPPLLAACCEE/ZS/3s/ZS3sB6sjQ37F.mp4,RREEPPLLAACCEE/ZS/3s/ZS3sB6sjQ37F_small.mp4
brown,0,0,0,Unavailable,2020-08-02,21:34:29,Unavailable,Unavailable,Unavailable,Unavailable,brown,brown,brown,meta-ZSHIheOuMDuZ.json,ZS,RREEPPLLAACCEE/ZS/HI/ZSHIheOuMDuZ.mp4,RREEPPLLAACCEE/ZS/HI/ZSHIheOuMDuZ_small.mp4
Daniel,0,0,0,Unavailable,2020-11-25,21:38:24,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-ZSlOrp1Y6X1s.json,ZS,RREEPPLLAACCEE/ZS/lO/ZSlOrp1Y6X1s.mp4,RREEPPLLAACCEE/ZS/lO/ZSlOrp1Y6X1s_small.mp4
19512,0,0,0,Unavailable,2020-06-25,18:57:34,Unavailable,Unavailable,Unavailable,Unavailable,19512,19512,19512,meta-ZsOvDAwsSrJc.json,Zs,RREEPPLLAACCEE/Zs/Ov/ZsOvDAwsSrJc.mp4,RREEPPLLAACCEE/Zs/Ov/ZsOvDAwsSrJc_small.mp4
paulg,0,0,0,Unavailable,2021-01-01,13:53:23,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-Zsqo2lpKbsly.json,Zs,RREEPPLLAACCEE/Zs/qo/Zsqo2lpKbsly.mp4,RREEPPLLAACCEE/Zs/qo/Zsqo2lpKbsly_small.mp4
J,0,0,0,Unavailable,2020-09-04,02:50:19,Unavailable,Unavailable,Unavailable,Unavailable,J,J,J,meta-zSE7zRqYMaLs.json,zS,RREEPPLLAACCEE/zS/E7/zSE7zRqYMaLs.mp4,RREEPPLLAACCEE/zS/E7/zSE7zRqYMaLs_small.mp4
paulg,0,0,0,Unavailable,2020-12-21,02:13:22,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-zSWNlku6ZPo9.json,zS,RREEPPLLAACCEE/zS/WN/zSWNlku6ZPo9.mp4,RREEPPLLAACCEE/zS/WN/zSWNlku6ZPo9_small.mp4
jake,0,0,0,Unavailable,2020-06-26,01:01:23,Unavailable,Unavailable,Unavailable,Unavailable,jake,jake,jake,meta-zsHMwbicErpW.json,zs,RREEPPLLAACCEE/zs/HM/zsHMwbicErpW.mp4,RREEPPLLAACCEE/zs/HM/zsHMwbicErpW_small.mp4
jason,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,jason,jason,jason,meta-zsW3FkB97T3Z.json,zs,RREEPPLLAACCEE/zs/W3/zsW3FkB97T3Z.mp4,RREEPPLLAACCEE/zs/W3/zsW3FkB97T3Z_small.mp4
jordi,0,0,0,Unavailable,2020-09-13,09:06:34,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-zsoUutrlGBtq.json,zs,RREEPPLLAACCEE/zs/oU/zsoUutrlGBtq.mp4,RREEPPLLAACCEE/zs/oU/zsoUutrlGBtq_small.mp4
