Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordi,0,0,0,Unavailable,2020-10-24,17:00:49,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-ZD31VemLa392.json,ZD,RREEPPLLAACCEE/ZD/31/ZD31VemLa392.mp4,RREEPPLLAACCEE/ZD/31/ZD31VemLa392_small.mp4
Tatiana,0,0,0,Unavailable,2020-12-01,21:58:00,Unavailable,Unavailable,Unavailable,Unavailable,Tatiana,Tatiana,Tatiana,meta-ZDeb3HJZ4Xzl.json,ZD,RREEPPLLAACCEE/ZD/eb/ZDeb3HJZ4Xzl.mp4,RREEPPLLAACCEE/ZD/eb/ZDeb3HJZ4Xzl_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-19,16:24:25,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-zD0Eo4q8h4kp.json,zD,RREEPPLLAACCEE/zD/0E/zD0Eo4q8h4kp.mp4,RREEPPLLAACCEE/zD/0E/zD0Eo4q8h4kp_small.mp4
retina,0,0,0,Unavailable,2020-12-08,04:13:35,Unavailable,Unavailable,Unavailable,Unavailable,retina,retina,retina,meta-zD6RrfFYBjq0.json,zD,RREEPPLLAACCEE/zD/6R/zD6RrfFYBjq0.mp4,RREEPPLLAACCEE/zD/6R/zD6RrfFYBjq0_small.mp4
ryanclo,0,0,0,Unavailable,2020-08-20,19:48:22,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-zDnCyEHW2k1l.json,zD,RREEPPLLAACCEE/zD/nC/zDnCyEHW2k1l.mp4,RREEPPLLAACCEE/zD/nC/zDnCyEHW2k1l_small.mp4
IRAN,0,0,0,Unavailable,2020-12-23,16:37:45,Unavailable,Unavailable,Unavailable,Unavailable,IRAN,IRAN,IRAN,meta-zda1WB16utiO.json,zd,RREEPPLLAACCEE/zd/a1/zda1WB16utiO.mp4,RREEPPLLAACCEE/zd/a1/zda1WB16utiO_small.mp4
qanon,0,0,0,Unavailable,2020-10-31,06:54:11,Canon,,Unavailable,Unavailable,qanon,qanon,qanon,meta-zduHhKPbziqp.json,zd,RREEPPLLAACCEE/zd/uH/zduHhKPbziqp.mp4,RREEPPLLAACCEE/zd/uH/zduHhKPbziqp_small.mp4
Unavailable,38.8903,77.0354,9.496,Above Sea Level,2021-01-09,16:30:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZD5sljEqYtQe.json,ZD,RREEPPLLAACCEE/ZD/5s/ZD5sljEqYtQe.mp4,RREEPPLLAACCEE/ZD/5s/ZD5sljEqYtQe_small.mp4
Unavailable,34.2826,84.1830,343.4,Above Sea Level,2020-12-30,20:03:32,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZD777ZM002xG.json,ZD,RREEPPLLAACCEE/ZD/77/ZD777ZM002xG.mp4,RREEPPLLAACCEE/ZD/77/ZD777ZM002xG_small.mp4
Unavailable,34.0062,118.4848,0,Unavailable,2020-10-07,22:32:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZDCRdMHKcSUL.json,ZD,RREEPPLLAACCEE/ZD/CR/ZDCRdMHKcSUL.mp4,RREEPPLLAACCEE/ZD/CR/ZDCRdMHKcSUL_small.mp4
Unavailable,30.2515,82.5145,48.082,Above Sea Level,2021-01-06,14:47:42,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZDEn6H2tjBcz.json,ZD,RREEPPLLAACCEE/ZD/En/ZDEn6H2tjBcz.mp4,RREEPPLLAACCEE/ZD/En/ZDEn6H2tjBcz_small.mp4
Unavailable,43.6013,84.7685,236.613,Above Sea Level,2020-06-17,03:13:26,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZDKakCHLxpAu.json,ZD,RREEPPLLAACCEE/ZD/Ka/ZDKakCHLxpAu.mp4,RREEPPLLAACCEE/ZD/Ka/ZDKakCHLxpAu_small.mp4
