Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
poyki,0,0,0,Unavailable,2020-11-04,12:51:42,Unavailable,Unavailable,Unavailable,Unavailable,poyki,poyki,poyki,meta-L55pKSV9H06n.json,L5,RREEPPLLAACCEE/L5/5p/L55pKSV9H06n.mp4,RREEPPLLAACCEE/L5/5p/L55pKSV9H06n_small.mp4
jer,0,0,0,Unavailable,2020-12-24,15:50:14,Unavailable,Unavailable,Unavailable,Unavailable,jer,jer,jer,meta-L57oLGzg7LBz.json,L5,RREEPPLLAACCEE/L5/7o/L57oLGzg7LBz.mp4,RREEPPLLAACCEE/L5/7o/L57oLGzg7LBz_small.mp4
Johnson,0,0,0,Unavailable,2020-12-06,00:18:59,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-L5oTbQoFUetc.json,L5,RREEPPLLAACCEE/L5/oT/L5oTbQoFUetc.mp4,RREEPPLLAACCEE/L5/oT/L5oTbQoFUetc_small.mp4
Unavailable,37.6034,84.5629,302.279,Above Sea Level,2021-01-10,03:05:19,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L506Ttd1gq0i.json,L5,RREEPPLLAACCEE/L5/06/L506Ttd1gq0i.mp4,RREEPPLLAACCEE/L5/06/L506Ttd1gq0i_small.mp4
Unavailable,39.7627,75.0130,40.642,Above Sea Level,2020-07-29,18:11:22,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L517cLy27lPf.json,L5,RREEPPLLAACCEE/L5/17/L517cLy27lPf.mp4,RREEPPLLAACCEE/L5/17/L517cLy27lPf_small.mp4
Unavailable,40.5854,124.1557,30.299,Above Sea Level,2020-11-18,03:29:55,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L5266R5xi10t.json,L5,RREEPPLLAACCEE/L5/26/L5266R5xi10t.mp4,RREEPPLLAACCEE/L5/26/L5266R5xi10t_small.mp4
Unavailable,40.3196,79.9065,285.731,Above Sea Level,2020-09-15,23:23:31,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L55y4VTP3mrI.json,L5,RREEPPLLAACCEE/L5/5y/L55y4VTP3mrI.mp4,RREEPPLLAACCEE/L5/5y/L55y4VTP3mrI_small.mp4
Unavailable,38.8908,77.0124,5.031,Above Sea Level,2021-01-06,22:26:50,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L581HkTRJuQ1.json,L5,RREEPPLLAACCEE/L5/81/L581HkTRJuQ1.mp4,RREEPPLLAACCEE/L5/81/L581HkTRJuQ1_small.mp4
Unavailable,38.5831,109.4770,0,Unavailable,2020-07-22,17:10:35,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L5I0p8cQyva3.json,L5,RREEPPLLAACCEE/L5/I0/L5I0p8cQyva3.mp4,RREEPPLLAACCEE/L5/I0/L5I0p8cQyva3_small.mp4
Unavailable,31.9224,102.2693,898.06,Above Sea Level,2020-03-21,20:02:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L5It9z4vueJV.json,L5,RREEPPLLAACCEE/L5/It/L5It9z4vueJV.mp4,RREEPPLLAACCEE/L5/It/L5It9z4vueJV_small.mp4
Unavailable,38.8963,77.0474,18.948,Above Sea Level,2021-01-08,15:35:20,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L5LAErfLatjG.json,L5,RREEPPLLAACCEE/L5/LA/L5LAErfLatjG.mp4,RREEPPLLAACCEE/L5/LA/L5LAErfLatjG_small.mp4
Unavailable,49.8911,119.4872,349.575,Above Sea Level,2020-12-12,21:52:33,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-L5LnBaQmb0PX.json,L5,RREEPPLLAACCEE/L5/Ln/L5LnBaQmb0PX.mp4,RREEPPLLAACCEE/L5/Ln/L5LnBaQmb0PX_small.mp4
