Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
FLIZY ARMANI,0,0,0,Unavailable,2020-09-13,19:58:48,Unavailable,Unavailable,Unavailable,Unavailable,FLIZY ARMANI,FLIZY ARMANI,FLIZY ARMANI,meta-ISfxFOIf3SB3.json,IS,RREEPPLLAACCEE/IS/fx/ISfxFOIf3SB3.mp4,RREEPPLLAACCEE/IS/fx/ISfxFOIf3SB3_small.mp4
ronal,0,0,0,Unavailable,2020-12-29,16:59:29,Canon,,,,ronal,ronal,ronal,meta-Is2gd1728ltP.json,Is,RREEPPLLAACCEE/Is/2g/Is2gd1728ltP.mp4,RREEPPLLAACCEE/Is/2g/Is2gd1728ltP_small.mp4
editor01,0,0,0,Unavailable,2020-10-26,20:11:48,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-iS6pcllDYDCc.json,iS,RREEPPLLAACCEE/iS/6p/iS6pcllDYDCc.mp4,RREEPPLLAACCEE/iS/6p/iS6pcllDYDCc_small.mp4
robertkeller,0,0,0,Unavailable,2020-03-23,00:52:02,Unavailable,Unavailable,Unavailable,Unavailable,robertkeller,robertkeller,robertkeller,meta-iSgqTynlekGl.json,iS,RREEPPLLAACCEE/iS/gq/iSgqTynlekGl.mp4,RREEPPLLAACCEE/iS/gq/iSgqTynlekGl_small.mp4
Dell,0,0,0,Unavailable,2020-06-29,07:34:42,NIKON CORPORATION,,Unavailable,Unavailable,choicestudio_elena,choicestudio_elena,yanisburkov,meta-iSlpLbIPpGdg.json,iS,RREEPPLLAACCEE/iS/lp/iSlpLbIPpGdg.mp4,RREEPPLLAACCEE/iS/lp/iSlpLbIPpGdg_small.mp4
Yuling,0,0,0,Unavailable,2020-12-10,13:29:32,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-is9VGN8FMjJr.json,is,RREEPPLLAACCEE/is/9V/is9VGN8FMjJr.mp4,RREEPPLLAACCEE/is/9V/is9VGN8FMjJr_small.mp4
ilha02,0,0,0,Unavailable,2020-07-02,12:48:40,Unavailable,Unavailable,Unavailable,Unavailable,ilha02,ilha02,ilha02,meta-iszMIvFKqBar.json,is,RREEPPLLAACCEE/is/zM/iszMIvFKqBar.mp4,RREEPPLLAACCEE/is/zM/iszMIvFKqBar_small.mp4
Unavailable,32.6583,97.4398,201.854,Above Sea Level,2020-11-01,00:23:20,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IS0tvbjCvoO5.json,IS,RREEPPLLAACCEE/IS/0t/IS0tvbjCvoO5.mp4,RREEPPLLAACCEE/IS/0t/IS0tvbjCvoO5_small.mp4
Unavailable,36.8411,76.1203,6.142,Above Sea Level,2021-01-06,17:59:24,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IS5BncjDgY5B.json,IS,RREEPPLLAACCEE/IS/5B/IS5BncjDgY5B.mp4,RREEPPLLAACCEE/IS/5B/IS5BncjDgY5B_small.mp4
Unavailable,34.1016,118.3395,118.528,Above Sea Level,2020-08-22,18:28:28,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ISEARINxMRWn.json,IS,RREEPPLLAACCEE/IS/EA/ISEARINxMRWn.mp4,RREEPPLLAACCEE/IS/EA/ISEARINxMRWn_small.mp4
Unavailable,33.0131,96.9911,153.073,Above Sea Level,2020-12-31,01:27:45,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ISI5ezGsogqG.json,IS,RREEPPLLAACCEE/IS/I5/ISI5ezGsogqG.mp4,RREEPPLLAACCEE/IS/I5/ISI5ezGsogqG_small.mp4
