Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Mark,0,0,0,Unavailable,2017-08-01,19:51:25,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-KMHWoBi4H74h.json,KM,RREEPPLLAACCEE/KM/HW/KMHWoBi4H74h.mp4,RREEPPLLAACCEE/KM/HW/KMHWoBi4H74h_small.mp4
Mey-lin,0,0,0,Unavailable,2017-11-28,05:33:15,Unavailable,Unavailable,Unavailable,Unavailable,Mey-lin,Mey-lin,Mey-lin,meta-Km00dWqryGtF.json,Km,RREEPPLLAACCEE/Km/00/Km00dWqryGtF.mp4,RREEPPLLAACCEE/Km/00/Km00dWqryGtF_small.mp4
ACER,0,0,0,Unavailable,2020-12-22,17:09:00,Unavailable,Unavailable,Unavailable,Unavailable,ACER,ACER,ACER,meta-Km08dybtAj3N.json,Km,RREEPPLLAACCEE/Km/08/Km08dybtAj3N.mp4,RREEPPLLAACCEE/Km/08/Km08dybtAj3N_small.mp4
markstout,0,0,0,Unavailable,2020-11-15,02:33:56,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-Km7aQbceUABs.json,Km,RREEPPLLAACCEE/Km/7a/Km7aQbceUABs.mp4,RREEPPLLAACCEE/Km/7a/Km7aQbceUABs_small.mp4
Andrés,0,0,0,Unavailable,2020-12-11,12:04:19,Unavailable,Unavailable,Unavailable,Unavailable,Andrés,Andrés,Andrés,meta-KmQmtyiIEhV8.json,Km,RREEPPLLAACCEE/Km/Qm/KmQmtyiIEhV8.mp4,RREEPPLLAACCEE/Km/Qm/KmQmtyiIEhV8_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-21,14:35:31,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-kMN4mw0K7FGx.json,kM,RREEPPLLAACCEE/kM/N4/kMN4mw0K7FGx.mp4,RREEPPLLAACCEE/kM/N4/kMN4mw0K7FGx_small.mp4
markmarianelli,0,0,0,Unavailable,2020-09-04,18:26:40,Unavailable,Unavailable,Unavailable,Unavailable,markmarianelli,markmarianelli,markmarianelli,meta-kMbYKSp36ew9.json,kM,RREEPPLLAACCEE/kM/bY/kMbYKSp36ew9.mp4,RREEPPLLAACCEE/kM/bY/kMbYKSp36ew9_small.mp4
jdrez,0,0,0,Unavailable,2020-10-30,21:01:13,Unavailable,Unavailable,Unavailable,Unavailable,jdrez,jdrez,jdrez,meta-kMdqtNSz0Veh.json,kM,RREEPPLLAACCEE/kM/dq/kMdqtNSz0Veh.mp4,RREEPPLLAACCEE/kM/dq/kMdqtNSz0Veh_small.mp4
davidfillingim,0,0,0,Unavailable,2020-11-20,21:18:10,Unavailable,Unavailable,Unavailable,Unavailable,davidfillingim,davidfillingim,davidfillingim,meta-kMw9reQMZ2YE.json,kM,RREEPPLLAACCEE/kM/w9/kMw9reQMZ2YE.mp4,RREEPPLLAACCEE/kM/w9/kMw9reQMZ2YE_small.mp4
user,0,0,0,Unavailable,2020-07-22,19:07:03,Unavailable,Unavailable,Unavailable,Unavailable,user,user,user,meta-kMx6s2AuFAMJ.json,kM,RREEPPLLAACCEE/kM/x6/kMx6s2AuFAMJ.mp4,RREEPPLLAACCEE/kM/x6/kMx6s2AuFAMJ_small.mp4
paulg,0,0,0,Unavailable,2020-11-20,01:36:12,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-km93VkH59869.json,km,RREEPPLLAACCEE/km/93/km93VkH59869.mp4,RREEPPLLAACCEE/km/93/km93VkH59869_small.mp4
susanfeinberg,0,0,0,Unavailable,2020-09-02,01:27:17,Unavailable,Unavailable,Unavailable,Unavailable,susanfeinberg,susanfeinberg,susanfeinberg,meta-kmp8NE8XfYp6.json,km,RREEPPLLAACCEE/km/p8/kmp8NE8XfYp6.mp4,RREEPPLLAACCEE/km/p8/kmp8NE8XfYp6_small.mp4
Unavailable,36.9462,88.7260,115.4,Above Sea Level,2020-11-26,23:50:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KM360U25PN4Z.json,KM,RREEPPLLAACCEE/KM/36/KM360U25PN4Z.mp4,RREEPPLLAACCEE/KM/36/KM360U25PN4Z_small.mp4
Unavailable,38.5676,121.5069,11.011,Above Sea Level,2020-11-14,00:12:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KM7t3ajYmf50.json,KM,RREEPPLLAACCEE/KM/7t/KM7t3ajYmf50.mp4,RREEPPLLAACCEE/KM/7t/KM7t3ajYmf50_small.mp4
Unavailable,36.9764,121.9913,25.063,Above Sea Level,2020-12-06,03:03:24,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMA2OM0oDSRS.json,KM,RREEPPLLAACCEE/KM/A2/KMA2OM0oDSRS.mp4,RREEPPLLAACCEE/KM/A2/KMA2OM0oDSRS_small.mp4
Unavailable,34.1930,118.1991,327.13,Above Sea Level,2020-09-30,19:45:26,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMAW83Komvck.json,KM,RREEPPLLAACCEE/KM/AW/KMAW83Komvck.mp4,RREEPPLLAACCEE/KM/AW/KMAW83Komvck_small.mp4
Unavailable,40.7452,73.2588,14.7,Above Sea Level,2020-10-16,22:05:50,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMG4LqNqljSb.json,KM,RREEPPLLAACCEE/KM/G4/KMG4LqNqljSb.mp4,RREEPPLLAACCEE/KM/G4/KMG4LqNqljSb_small.mp4
Unavailable,36.3000,115.2610,746.675,Above Sea Level,2020-12-16,00:47:21,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMGNk8nVmev2.json,KM,RREEPPLLAACCEE/KM/GN/KMGNk8nVmev2.mp4,RREEPPLLAACCEE/KM/GN/KMGNk8nVmev2_small.mp4
Unavailable,33.2561,111.6045,436.785,Above Sea Level,2020-11-09,04:27:53,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMNornxsA6rR.json,KM,RREEPPLLAACCEE/KM/No/KMNornxsA6rR.mp4,RREEPPLLAACCEE/KM/No/KMNornxsA6rR_small.mp4
Unavailable,32.5914,97.1546,199,Above Sea Level,2020-09-20,03:32:56,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMNxtvNYsof1.json,KM,RREEPPLLAACCEE/KM/Nx/KMNxtvNYsof1.mp4,RREEPPLLAACCEE/KM/Nx/KMNxtvNYsof1_small.mp4
Unavailable,39.1143,76.8417,0,Unavailable,2020-12-16,17:01:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMUVgd7B5bw5.json,KM,RREEPPLLAACCEE/KM/UV/KMUVgd7B5bw5.mp4,RREEPPLLAACCEE/KM/UV/KMUVgd7B5bw5_small.mp4
Unavailable,33.7718,118.1813,11.86,Above Sea Level,2020-06-25,02:48:49,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMXedWgVeMGj.json,KM,RREEPPLLAACCEE/KM/Xe/KMXedWgVeMGj.mp4,RREEPPLLAACCEE/KM/Xe/KMXedWgVeMGj_small.mp4
Unavailable,41.9231,71.1593,0,Unavailable,2020-12-09,13:48:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMYfT4vQKu4I.json,KM,RREEPPLLAACCEE/KM/Yf/KMYfT4vQKu4I.mp4,RREEPPLLAACCEE/KM/Yf/KMYfT4vQKu4I_small.mp4
Unavailable,40.7452,73.2589,14.7,Above Sea Level,2020-08-11,02:11:03,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMsL14Sap5Zp.json,KM,RREEPPLLAACCEE/KM/sL/KMsL14Sap5Zp.mp4,RREEPPLLAACCEE/KM/sL/KMsL14Sap5Zp_small.mp4
Unavailable,38.8910,77.0093,17.024,Above Sea Level,2021-01-06,19:48:35,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMyt1obG9scS.json,KM,RREEPPLLAACCEE/KM/yt/KMyt1obG9scS.mp4,RREEPPLLAACCEE/KM/yt/KMyt1obG9scS_small.mp4
Unavailable,33.8753,117.6618,159.079,Above Sea Level,2020-08-24,04:30:54,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KMz2TvYYX8r6.json,KM,RREEPPLLAACCEE/KM/z2/KMz2TvYYX8r6.mp4,RREEPPLLAACCEE/KM/z2/KMz2TvYYX8r6_small.mp4
Unavailable,38.2179,81.4416,176.848,Above Sea Level,2020-11-14,21:38:44,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Km1hxYLKFLTf.json,Km,RREEPPLLAACCEE/Km/1h/Km1hxYLKFLTf.mp4,RREEPPLLAACCEE/Km/1h/Km1hxYLKFLTf_small.mp4
Unavailable,35.4642,97.5095,363.284,Above Sea Level,2020-08-22,18:36:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Km2DFqAD0Gms.json,Km,RREEPPLLAACCEE/Km/2D/Km2DFqAD0Gms.mp4,RREEPPLLAACCEE/Km/2D/Km2DFqAD0Gms_small.mp4
Unavailable,38.8901,77.0108,16.702,Above Sea Level,2021-01-06,18:36:54,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Km2S7d92uPH8.json,Km,RREEPPLLAACCEE/Km/2S/Km2S7d92uPH8.mp4,RREEPPLLAACCEE/Km/2S/Km2S7d92uPH8_small.mp4
Unavailable,40.5850,124.1567,10,Above Sea Level,2021-01-04,20:20:29,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Km6mtPI43OsA.json,Km,RREEPPLLAACCEE/Km/6m/Km6mtPI43OsA.mp4,RREEPPLLAACCEE/Km/6m/Km6mtPI43OsA_small.mp4
Unavailable,36.2794,115.1152,624.619,Above Sea Level,2020-12-11,01:49:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmFl4uB36wco.json,Km,RREEPPLLAACCEE/Km/Fl/KmFl4uB36wco.mp4,RREEPPLLAACCEE/Km/Fl/KmFl4uB36wco_small.mp4
Unavailable,40.6729,75.4218,120.993,Above Sea Level,2020-10-26,20:07:30,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmI7CTOTUJ1b.json,Km,RREEPPLLAACCEE/Km/I7/KmI7CTOTUJ1b.mp4,RREEPPLLAACCEE/Km/I7/KmI7CTOTUJ1b_small.mp4
Unavailable,41.7725,88.1590,212.005,Above Sea Level,2020-11-27,00:23:47,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmJq8k2mi36m.json,Km,RREEPPLLAACCEE/Km/Jq/KmJq8k2mi36m.mp4,RREEPPLLAACCEE/Km/Jq/KmJq8k2mi36m_small.mp4
Unavailable,50.8078,4.3535,133.11,Above Sea Level,2020-11-26,23:24:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmMeS5wezY2n.json,Km,RREEPPLLAACCEE/Km/Me/KmMeS5wezY2n.mp4,RREEPPLLAACCEE/Km/Me/KmMeS5wezY2n_small.mp4
Unavailable,38.7239,90.2940,177.314,Above Sea Level,2021-01-01,22:16:54,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmOf17yk6vCJ.json,Km,RREEPPLLAACCEE/Km/Of/KmOf17yk6vCJ.mp4,RREEPPLLAACCEE/Km/Of/KmOf17yk6vCJ_small.mp4
Unavailable,32.7550,97.3302,197.499,Above Sea Level,2020-11-14,19:16:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmQnzk9rhjxh.json,Km,RREEPPLLAACCEE/Km/Qn/KmQnzk9rhjxh.mp4,RREEPPLLAACCEE/Km/Qn/KmQnzk9rhjxh_small.mp4
Unavailable,33.1171,117.2378,91.593,Above Sea Level,2020-12-09,02:11:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmSJgaIBxDEI.json,Km,RREEPPLLAACCEE/Km/SJ/KmSJgaIBxDEI.mp4,RREEPPLLAACCEE/Km/SJ/KmSJgaIBxDEI_small.mp4
Unavailable,41.5991,81.4207,221.601,Above Sea Level,2020-05-18,23:40:38,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmV16Ls2zngp.json,Km,RREEPPLLAACCEE/Km/V1/KmV16Ls2zngp.mp4,RREEPPLLAACCEE/Km/V1/KmV16Ls2zngp_small.mp4
Unavailable,39.3414,123.3154,590.543,Above Sea Level,2021-01-09,13:12:09,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmVDYWYzfwnx.json,Km,RREEPPLLAACCEE/Km/VD/KmVDYWYzfwnx.mp4,RREEPPLLAACCEE/Km/VD/KmVDYWYzfwnx_small.mp4
Unavailable,25.1963,55.2758,1.959,Above Sea Level,2020-09-14,08:48:27,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmcYspHinevP.json,Km,RREEPPLLAACCEE/Km/cY/KmcYspHinevP.mp4,RREEPPLLAACCEE/Km/cY/KmcYspHinevP_small.mp4
Unavailable,39.9533,75.7657,138.58,Above Sea Level,2020-11-15,15:13:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kme9izlU5vg7.json,Km,RREEPPLLAACCEE/Km/e9/Kme9izlU5vg7.mp4,RREEPPLLAACCEE/Km/e9/Kme9izlU5vg7_small.mp4
Unavailable,33.4697,112.0962,331.68,Above Sea Level,2020-02-20,17:13:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmfCVpoXMcid.json,Km,RREEPPLLAACCEE/Km/fC/KmfCVpoXMcid.mp4,RREEPPLLAACCEE/Km/fC/KmfCVpoXMcid_small.mp4
Unavailable,35.0337,80.8627,186.54,Above Sea Level,2020-10-19,20:13:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmhP0FUkq6Fo.json,Km,RREEPPLLAACCEE/Km/hP/KmhP0FUkq6Fo.mp4,RREEPPLLAACCEE/Km/hP/KmhP0FUkq6Fo_small.mp4
Unavailable,35.7812,78.6381,107.136,Above Sea Level,2020-11-12,21:36:34,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kmjh4si51F20.json,Km,RREEPPLLAACCEE/Km/jh/Kmjh4si51F20.mp4,RREEPPLLAACCEE/Km/jh/Kmjh4si51F20_small.mp4
Unavailable,40.0654,85.6643,276.373,Above Sea Level,2020-11-16,03:15:33,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-KmkTqTqMaQL4.json,Km,RREEPPLLAACCEE/Km/kT/KmkTqTqMaQL4.mp4,RREEPPLLAACCEE/Km/kT/KmkTqTqMaQL4_small.mp4
Unavailable,38.8897,77.0106,15.22,Above Sea Level,2021-01-06,19:45:13,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Kmm034ViQJyl.json,Km,RREEPPLLAACCEE/Km/m0/Kmm034ViQJyl.mp4,RREEPPLLAACCEE/Km/m0/Kmm034ViQJyl_small.mp4
Unavailable,54.6360,5.9311,41.726,Above Sea Level,2020-11-01,21:01:48,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-kM0x8V3cYf5N.json,kM,RREEPPLLAACCEE/kM/0x/kM0x8V3cYf5N.mp4,RREEPPLLAACCEE/kM/0x/kM0x8V3cYf5N_small.mp4
