Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
HOME,0,0,0,Unavailable,2020-07-16,18:33:34,Unavailable,Unavailable,Unavailable,Unavailable,HOME,HOME,HOME,meta-RKbheWqj0wxS.json,RK,RREEPPLLAACCEE/RK/bh/RKbheWqj0wxS.mp4,RREEPPLLAACCEE/RK/bh/RKbheWqj0wxS_small.mp4
marciohenriquecaruso,0,0,0,Unavailable,2020-09-05,16:12:05,Unavailable,Unavailable,Unavailable,Unavailable,marciohenriquecaruso,marciohenriquecaruso,marciohenriquecaruso,meta-RKypRp0RHuQ1.json,RK,RREEPPLLAACCEE/RK/yp/RKypRp0RHuQ1.mp4,RREEPPLLAACCEE/RK/yp/RKypRp0RHuQ1_small.mp4
zsr9c,0,0,0,Unavailable,2020-12-21,06:22:48,Unavailable,Unavailable,Unavailable,Unavailable,zsr9c,zsr9c,zsr9c,meta-RkFcZakX6xgi.json,Rk,RREEPPLLAACCEE/Rk/Fc/RkFcZakX6xgi.mp4,RREEPPLLAACCEE/Rk/Fc/RkFcZakX6xgi_small.mp4
paulturner,0,0,0,Unavailable,2019-04-08,17:04:30,Unavailable,,Unavailable,Unavailable,paulturner,paulturner,paulturner,meta-rK75cBTRnzin.json,rK,RREEPPLLAACCEE/rK/75/rK75cBTRnzin.mp4,RREEPPLLAACCEE/rK/75/rK75cBTRnzin_small.mp4
scottlaptop3,0,0,0,Unavailable,2021-01-05,05:11:26,Unavailable,Unavailable,Unavailable,Unavailable,scottlaptop3,scottlaptop3,scottlaptop3,meta-rk2qMByJTGPM.json,rk,RREEPPLLAACCEE/rk/2q/rk2qMByJTGPM.mp4,RREEPPLLAACCEE/rk/2q/rk2qMByJTGPM_small.mp4
gavinmcinnes,0,0,0,Unavailable,2020-09-29,17:38:32,Panasonic,,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-rkP6HhPhPIrG.json,rk,RREEPPLLAACCEE/rk/P6/rkP6HhPhPIrG.mp4,RREEPPLLAACCEE/rk/P6/rkP6HhPhPIrG_small.mp4
Unavailable,33.5437,117.6431,130.328,Above Sea Level,2020-11-14,20:45:11,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RK1xt7EAeiRi.json,RK,RREEPPLLAACCEE/RK/1x/RK1xt7EAeiRi.mp4,RREEPPLLAACCEE/RK/1x/RK1xt7EAeiRi_small.mp4
Unavailable,39.5063,77.5838,216.723,Above Sea Level,2020-11-14,21:35:48,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RK2QpC985ocR.json,RK,RREEPPLLAACCEE/RK/2Q/RK2QpC985ocR.mp4,RREEPPLLAACCEE/RK/2Q/RK2QpC985ocR_small.mp4
Unavailable,33.3960,111.7837,376.836,Above Sea Level,2021-01-02,04:20:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RK4f2QFCJdtv.json,RK,RREEPPLLAACCEE/RK/4f/RK4f2QFCJdtv.mp4,RREEPPLLAACCEE/RK/4f/RK4f2QFCJdtv_small.mp4
Unavailable,41.5417,93.6379,284,Above Sea Level,2020-05-03,23:25:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKGYJjxUejsa.json,RK,RREEPPLLAACCEE/RK/GY/RKGYJjxUejsa.mp4,RREEPPLLAACCEE/RK/GY/RKGYJjxUejsa_small.mp4
Unavailable,28.3033,82.6494,9.775,Above Sea Level,2020-11-15,17:02:36,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKJ1L4fkC6Bd.json,RK,RREEPPLLAACCEE/RK/J1/RKJ1L4fkC6Bd.mp4,RREEPPLLAACCEE/RK/J1/RKJ1L4fkC6Bd_small.mp4
Unavailable,42.6888,71.6233,100.7,Above Sea Level,2020-06-25,22:07:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKKYRSVzmvum.json,RK,RREEPPLLAACCEE/RK/KY/RKKYRSVzmvum.mp4,RREEPPLLAACCEE/RK/KY/RKKYRSVzmvum_small.mp4
Unavailable,29.6626,84.8599,4.031,Above Sea Level,2020-03-08,11:46:44,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKTiqNciOaoO.json,RK,RREEPPLLAACCEE/RK/Ti/RKTiqNciOaoO.mp4,RREEPPLLAACCEE/RK/Ti/RKTiqNciOaoO_small.mp4
Unavailable,38.8880,94.7206,322.563,Above Sea Level,2020-10-16,00:25:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKrpeeQm1pEs.json,RK,RREEPPLLAACCEE/RK/rp/RKrpeeQm1pEs.mp4,RREEPPLLAACCEE/RK/rp/RKrpeeQm1pEs_small.mp4
Unavailable,32.8857,101.1567,0,Unavailable,2020-11-02,17:02:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKsreLZxkOW4.json,RK,RREEPPLLAACCEE/RK/sr/RKsreLZxkOW4.mp4,RREEPPLLAACCEE/RK/sr/RKsreLZxkOW4_small.mp4
Unavailable,41.1374,85.1847,257.408,Above Sea Level,2021-01-09,17:53:08,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKvOYbBAZ6em.json,RK,RREEPPLLAACCEE/RK/vO/RKvOYbBAZ6em.mp4,RREEPPLLAACCEE/RK/vO/RKvOYbBAZ6em_small.mp4
Unavailable,28.8555,81.6903,18.3,Above Sea Level,2020-06-14,21:18:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKxAHNsiSzuK.json,RK,RREEPPLLAACCEE/RK/xA/RKxAHNsiSzuK.mp4,RREEPPLLAACCEE/RK/xA/RKxAHNsiSzuK_small.mp4
Unavailable,39.2340,74.8915,5.454,Above Sea Level,2020-09-27,04:17:47,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RKxIGVeofloj.json,RK,RREEPPLLAACCEE/RK/xI/RKxIGVeofloj.mp4,RREEPPLLAACCEE/RK/xI/RKxIGVeofloj_small.mp4
Unavailable,39.1954,77.2813,146.638,Above Sea Level,2020-07-22,05:01:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkD2d6w0A9nf.json,Rk,RREEPPLLAACCEE/Rk/D2/RkD2d6w0A9nf.mp4,RREEPPLLAACCEE/Rk/D2/RkD2d6w0A9nf_small.mp4
Unavailable,29.5784,95.2801,14.427,Above Sea Level,2020-12-21,16:12:33,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkDwVcgnBBbO.json,Rk,RREEPPLLAACCEE/Rk/Dw/RkDwVcgnBBbO.mp4,RREEPPLLAACCEE/Rk/Dw/RkDwVcgnBBbO_small.mp4
Unavailable,32.7322,96.5423,133.949,Above Sea Level,2020-12-04,05:38:02,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkIxxuewQoUo.json,Rk,RREEPPLLAACCEE/Rk/Ix/RkIxxuewQoUo.mp4,RREEPPLLAACCEE/Rk/Ix/RkIxxuewQoUo_small.mp4
Unavailable,26.5969,80.0498,2.541,Above Sea Level,2020-09-18,01:11:05,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkJ6k68oyoqH.json,Rk,RREEPPLLAACCEE/Rk/J6/RkJ6k68oyoqH.mp4,RREEPPLLAACCEE/Rk/J6/RkJ6k68oyoqH_small.mp4
Unavailable,29.4588,82.5929,0,Unavailable,2020-11-08,22:23:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkOIOqEvC3L7.json,Rk,RREEPPLLAACCEE/Rk/OI/RkOIOqEvC3L7.mp4,RREEPPLLAACCEE/Rk/OI/RkOIOqEvC3L7_small.mp4
Unavailable,45.2157,93.6330,0,Unavailable,2020-11-29,00:52:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkQnV9TrGEDB.json,Rk,RREEPPLLAACCEE/Rk/Qn/RkQnV9TrGEDB.mp4,RREEPPLLAACCEE/Rk/Qn/RkQnV9TrGEDB_small.mp4
Unavailable,37.7836,121.9822,156.178,Above Sea Level,2020-11-14,00:09:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkXBug7HK3tq.json,Rk,RREEPPLLAACCEE/Rk/XB/RkXBug7HK3tq.mp4,RREEPPLLAACCEE/Rk/XB/RkXBug7HK3tq_small.mp4
Unavailable,36.2797,115.1148,620.84,Above Sea Level,2019-04-29,19:01:54,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkYjY0OUFZGs.json,Rk,RREEPPLLAACCEE/Rk/Yj/RkYjY0OUFZGs.mp4,RREEPPLLAACCEE/Rk/Yj/RkYjY0OUFZGs_small.mp4
Unavailable,45.6902,93.3477,300.029,Above Sea Level,2020-11-26,00:32:08,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkYn59068iVi.json,Rk,RREEPPLLAACCEE/Rk/Yn/RkYn59068iVi.mp4,RREEPPLLAACCEE/Rk/Yn/RkYn59068iVi_small.mp4
Unavailable,44.7786,85.6942,0,Unavailable,2020-06-26,16:30:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkgsodoPRPXv.json,Rk,RREEPPLLAACCEE/Rk/gs/RkgsodoPRPXv.mp4,RREEPPLLAACCEE/Rk/gs/RkgsodoPRPXv_small.mp4
Unavailable,30.1647,81.7024,0,Unavailable,2020-12-19,20:29:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkgtySq7LyjW.json,Rk,RREEPPLLAACCEE/Rk/gt/RkgtySq7LyjW.mp4,RREEPPLLAACCEE/Rk/gt/RkgtySq7LyjW_small.mp4
Unavailable,20.4760,40.3638,8.52,Above Sea Level,2020-02-24,00:28:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Rkq8p3pwAuSQ.json,Rk,RREEPPLLAACCEE/Rk/q8/Rkq8p3pwAuSQ.mp4,RREEPPLLAACCEE/Rk/q8/Rkq8p3pwAuSQ_small.mp4
Unavailable,40.7703,111.9249,1289.296,Above Sea Level,2020-11-01,21:27:29,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkuXxlcTFWjE.json,Rk,RREEPPLLAACCEE/Rk/uX/RkuXxlcTFWjE.mp4,RREEPPLLAACCEE/Rk/uX/RkuXxlcTFWjE_small.mp4
Unavailable,35.7331,81.6721,347.52,Above Sea Level,2020-06-05,16:39:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RkwlwCSRcyEA.json,Rk,RREEPPLLAACCEE/Rk/wl/RkwlwCSRcyEA.mp4,RREEPPLLAACCEE/Rk/wl/RkwlwCSRcyEA_small.mp4
Unavailable,39.1275,76.8392,82.371,Above Sea Level,2020-10-30,03:20:52,Apple,iPad Pro (11-inch),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rK019MykCO0w.json,rK,RREEPPLLAACCEE/rK/01/rK019MykCO0w.mp4,RREEPPLLAACCEE/rK/01/rK019MykCO0w_small.mp4
Unavailable,41.0414,72.4547,25.563,Above Sea Level,2018-09-08,23:45:09,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rK0TSYWcUtP6.json,rK,RREEPPLLAACCEE/rK/0T/rK0TSYWcUtP6.mp4,RREEPPLLAACCEE/rK/0T/rK0TSYWcUtP6_small.mp4
Unavailable,40.6697,73.3798,4.38,Above Sea Level,2020-11-19,01:16:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rK2RzPCTiiUi.json,rK,RREEPPLLAACCEE/rK/2R/rK2RzPCTiiUi.mp4,RREEPPLLAACCEE/rK/2R/rK2RzPCTiiUi_small.mp4
Unavailable,27.2944,80.3399,5.248,Above Sea Level,2020-11-25,22:45:12,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rK2f62MCV2Qw.json,rK,RREEPPLLAACCEE/rK/2f/rK2f62MCV2Qw.mp4,RREEPPLLAACCEE/rK/2f/rK2f62MCV2Qw_small.mp4
Unavailable,35.2848,80.4248,208.161,Above Sea Level,2020-08-26,13:40:28,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rK69PnxQ5JtA.json,rK,RREEPPLLAACCEE/rK/69/rK69PnxQ5JtA.mp4,RREEPPLLAACCEE/rK/69/rK69PnxQ5JtA_small.mp4
Unavailable,44.0799,123.0587,130.42,Above Sea Level,2020-09-26,20:44:19,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKBi6jnLljj9.json,rK,RREEPPLLAACCEE/rK/Bi/rKBi6jnLljj9.mp4,RREEPPLLAACCEE/rK/Bi/rKBi6jnLljj9_small.mp4
Unavailable,42.4616,123.3207,340.021,Above Sea Level,2020-10-04,01:44:03,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKFeAAzIQJT4.json,rK,RREEPPLLAACCEE/rK/Fe/rKFeAAzIQJT4.mp4,RREEPPLLAACCEE/rK/Fe/rKFeAAzIQJT4_small.mp4
Unavailable,19.5210,155.9187,499.96,Above Sea Level,2020-03-26,21:44:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKGtcdcENEZS.json,rK,RREEPPLLAACCEE/rK/Gt/rKGtcdcENEZS.mp4,RREEPPLLAACCEE/rK/Gt/rKGtcdcENEZS_small.mp4
Unavailable,33.4481,112.0963,328.562,Above Sea Level,2020-11-07,20:07:58,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKIiT0jlEojp.json,rK,RREEPPLLAACCEE/rK/Ii/rKIiT0jlEojp.mp4,RREEPPLLAACCEE/rK/Ii/rKIiT0jlEojp_small.mp4
Unavailable,38.8961,77.0319,41.476,Above Sea Level,2020-11-15,01:43:46,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKJwRzBp0ubQ.json,rK,RREEPPLLAACCEE/rK/Jw/rKJwRzBp0ubQ.mp4,RREEPPLLAACCEE/rK/Jw/rKJwRzBp0ubQ_small.mp4
Unavailable,38.7240,90.2941,176.766,Above Sea Level,2020-12-15,20:34:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKLC6VlcNznN.json,rK,RREEPPLLAACCEE/rK/LC/rKLC6VlcNznN.mp4,RREEPPLLAACCEE/rK/LC/rKLC6VlcNznN_small.mp4
Unavailable,39.7544,75.5691,0,Unavailable,2020-11-07,01:29:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKUeoMzsZGPu.json,rK,RREEPPLLAACCEE/rK/Ue/rKUeoMzsZGPu.mp4,RREEPPLLAACCEE/rK/Ue/rKUeoMzsZGPu_small.mp4
Unavailable,40.3198,79.9067,284.927,Above Sea Level,2020-10-14,02:58:59,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-rKUtejB4cLJK.json,rK,RREEPPLLAACCEE/rK/Ut/rKUtejB4cLJK.mp4,RREEPPLLAACCEE/rK/Ut/rKUtejB4cLJK_small.mp4
