Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Coby,0,0,0,Unavailable,2020-12-07,20:27:30,Unavailable,Unavailable,Unavailable,Unavailable,Coby,Coby,Coby,meta-IGrsE36TC153.json,IG,RREEPPLLAACCEE/IG/rs/IGrsE36TC153.mp4,RREEPPLLAACCEE/IG/rs/IGrsE36TC153_small.mp4
Paul,0,0,0,Unavailable,2020-09-14,14:52:57,Unavailable,Unavailable,Unavailable,Unavailable,Paul,Paul,Paul,meta-iGsLr8qLc6LI.json,iG,RREEPPLLAACCEE/iG/sL/iGsLr8qLc6LI.mp4,RREEPPLLAACCEE/iG/sL/iGsLr8qLc6LI_small.mp4
Yuling,0,0,0,Unavailable,2020-12-20,00:21:22,Unavailable,Unavailable,Unavailable,Unavailable,xuchenwu,xuchenwu,xuchenwu,meta-igeB8rBdvojn.json,ig,RREEPPLLAACCEE/ig/eB/igeB8rBdvojn.mp4,RREEPPLLAACCEE/ig/eB/igeB8rBdvojn_small.mp4
Unavailable,29.8208,95.5314,25.667,Above Sea Level,2020-07-22,01:57:14,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IG1eT36QzpNp.json,IG,RREEPPLLAACCEE/IG/1e/IG1eT36QzpNp.mp4,RREEPPLLAACCEE/IG/1e/IG1eT36QzpNp_small.mp4
Unavailable,40.5789,122.3914,167.916,Above Sea Level,2021-01-09,02:58:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IG46iPvQVbxw.json,IG,RREEPPLLAACCEE/IG/46/IG46iPvQVbxw.mp4,RREEPPLLAACCEE/IG/46/IG46iPvQVbxw_small.mp4
Unavailable,28.5528,81.4688,0,Unavailable,2020-11-11,02:54:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IG6m3VKDYo1a.json,IG,RREEPPLLAACCEE/IG/6m/IG6m3VKDYo1a.mp4,RREEPPLLAACCEE/IG/6m/IG6m3VKDYo1a_small.mp4
Unavailable,55.7838,118.8338,613.44,Above Sea Level,2020-07-16,07:53:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IG8p4H9Pod4X.json,IG,RREEPPLLAACCEE/IG/8p/IG8p4H9Pod4X.mp4,RREEPPLLAACCEE/IG/8p/IG8p4H9Pod4X_small.mp4
Unavailable,35.9254,86.8260,222.549,Above Sea Level,2020-12-25,16:48:09,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IG9yyOqdxayS.json,IG,RREEPPLLAACCEE/IG/9y/IG9yyOqdxayS.mp4,RREEPPLLAACCEE/IG/9y/IG9yyOqdxayS_small.mp4
Unavailable,32.8755,117.2290,0,Unavailable,2020-11-28,10:21:40,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IGAHLx5KyRBD.json,IG,RREEPPLLAACCEE/IG/AH/IGAHLx5KyRBD.mp4,RREEPPLLAACCEE/IG/AH/IGAHLx5KyRBD_small.mp4
Unavailable,36.0717,95.9114,228.27,Above Sea Level,2020-08-05,23:26:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IGCCB10thvNT.json,IG,RREEPPLLAACCEE/IG/CC/IGCCB10thvNT.mp4,RREEPPLLAACCEE/IG/CC/IGCCB10thvNT_small.mp4
